"6.45 - POPULAÇÃO RESIDENTE, DESEMPREGADA EM SENTIDO RESTRITO, SEGUNDO O GRUPO ETÁRIO, POR PRINCIPAL MEIO DE VIDA E SEXO",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Zona Geográfica   ,Total,De 15 a 19 anos,De 20 a 24 anos,De 25 a 29 anos,De 30 a 34 anos,De 35 a 39 anos,De 40 a 44 anos,De 45 a 49 anos,De 50 a 54 anos,De 55 a 59 anos,De 60 a 64 anos,De 65 ou mais anos,
        Reforma/ Pensão    HM,4956,1,10,10,231,337,487,773,1051,1168,850,38,
                           H,1477,0,6,5,122,109,151,194,233,317,316,24,
        Subsidio de desemprego    HM,198664,516,7431,15160,22244,25055,25242,28094,30559,29294,15005,64,
                                  H,100271,279,3648,6951,9628,11105,12072,14224,16032,17077,9229,26,
        Subsidio por acidente de trabalho ou doença profissional    HM,963,6,48,72,104,116,141,142,158,121,55,0,
                                                                    H,614,2,29,40,65,68,89,92,102,89,38,0,
        Rendimento social de inserção    HM,42395,828,3760,4557,5390,6282,6001,5727,4897,3377,1562,14,
                                         H,18653,362,1458,1700,2032,2459,2574,2736,2593,1863,872,4,
"        Outro subsídio temporário (doença, maternidade, etc.)    HM",4312,149,696,899,889,633,335,240,214,182,75,0,
                                                                 H,721,19,60,65,84,83,97,92,87,96,38,0,
        Rendimento da propriedade ou da empresa    HM,1987,10,60,112,169,191,235,326,363,300,219,2,
                                                   H,1148,4,22,66,89,104,129,175,229,186,143,1,
        Apoio social    HM,6948,452,967,727,768,872,863,811,739,507,240,2,
                        H,3003,194,408,300,291,342,335,379,344,280,129,1,
        A cargo da família    HM,221197,25665,52230,32522,21934,20570,19118,17976,15795,10518,4765,104,
                              H,103630,13937,26537,16591,10040,8760,7701,7133,6271,4464,2177,19,
        Outro    HM,49614,1924,5064,5480,5931,6536,6471,6457,5848,4021,1861,21,
                 H,25065,975,2366,2561,2736,3040,3146,3316,3276,2433,1207,9,
      Norte      HM,254182,12360,31259,29114,27809,29626,29149,30832,30155,23780,10039,59,
                     H,120019,6529,14570,13455,11988,12514,12818,14152,14616,13220,6134,23,
          Trabalho      HM,31372,550,3789,5228,4892,4380,3647,3386,2711,2005,778,6,
                        H,17434,286,1911,2567,2513,2410,2130,2053,1683,1321,556,4,
          Reforma/ Pensão      HM,1920,0,4,4,86,125,200,320,468,429,272,12,
                               H,537,0,1,3,49,35,52,66,90,124,109,8,
          Subsidio de desemprego      HM,87603,254,3339,6453,9063,10553,10990,12879,14486,13611,5959,16,
                                      H,43458,136,1637,2912,3769,4467,5039,6269,7402,7968,3850,9,
          Subsidio por acidente de trabalho ou doença profissional      HM,432,3,20,32,53,47,60,60,88,48,21,0,
                                                                        H,282,2,12,19,36,28,38,41,57,38,11,0,
          Rendimento social de inserção      HM,21449,407,2011,2254,2503,3123,3131,3052,2582,1683,700,3,
                                             H,9072,160,752,817,915,1141,1270,1410,1293,915,399,0,
"          Outro subsídio temporário (doença, maternidade, etc.)      HM",1474,40,210,324,290,211,118,97,93,61,30,0,
                                                                     H,300,8,20,31,28,29,45,43,43,39,14,0,
          Rendimento da propriedade ou da empresa      HM,781,3,29,53,58,87,84,129,135,114,89,0,
                                                       H,441,1,11,32,27,41,43,71,89,71,55,0,
          Apoio social      HM,2804,150,401,284,273,353,351,377,322,210,83,0,
                            H,1147,73,156,117,96,124,116,167,135,118,45,0,
          A cargo da família      HM,86913,10207,19443,12404,8367,8210,7957,7796,6884,4089,1536,20,
                                  H,38168,5495,9188,6020,3591,3168,2926,2773,2552,1722,731,2,
          Outro      HM,19434,746,2013,2078,2224,2537,2611,2736,2386,1530,571,2,
                     H,9180,368,882,937,964,1071,1159,1259,1272,904,364,0,
      Centro      HM,116014,5286,15632,14964,13951,13277,12530,12619,12082,10287,5335,51,
                     H,55259,2857,7498,6912,6027,5613,5475,5991,5975,5737,3157,17,
          Trabalho      HM,19256,263,2156,3358,3194,2642,2277,2005,1576,1252,529,4,
                        H,10254,136,1062,1570,1568,1386,1252,1150,971,821,336,2,
          Reforma/ Pensão      HM,961,0,0,3,47,77,100,148,198,216,166,6,
                               H,275,0,0,1,22,24,33,33,49,55,54,4,
          Subsidio de desemprego      HM,35512,88,1192,2775,4122,4263,4313,4919,5402,5377,3041,20,
                                      H,17507,49,572,1221,1714,1736,1849,2444,2795,3190,1931,6,
          Subsidio por acidente de trabalho ou doença profissional      HM,176,0,15,12,13,20,29,27,21,28,11,0,
                                                                        H,120,0,9,8,8,11,22,13,18,20,11,0,
          Rendimento social de inserção      HM,5573,94,431,580,766,806,770,770,641,499,214,2,
                                             H,2419,42,167,225,296,301,310,353,344,264,116,1,
"          Outro subsídio temporário (doença, maternidade, etc.)      HM",868,24,134,168,220,124,78,42,28,33,17,0,
                                                                     H,119,1,9,8,18,19,18,14,10,13,9,0,
          Rendimento da propriedade ou da empresa      HM,376,3,10,12,34,38,47,69,60,58,45,0,
                                                       H,226,2,3,7,18,23,28,41,35,36,33,0,
          Apoio social      HM,1273,67,174,162,137,161,146,146,142,93,45,0,
                            H,536,24,83,62,46,67,53,62,65,49,25,0,
          A cargo da família      HM,42322,4377,10532,6805,4237,3930,3534,3221,2910,1909,851,16,
                                  H,19053,2407,5148,3347,1823,1541,1337,1227,1086,773,362,2,
          Outro      HM,9697,370,988,1089,1181,1216,1236,1272,1104,822,416,3,
                     H,4750,196,445,463,514,505,573,654,602,516,280,2,
      Lisboa      HM,181782,9982,24340,22042,22307,22518,20208,19046,17788,15103,8308,140,
                     H,94133,5245,12912,11164,10853,11199,10457,10119,9470,8137,4523,54,
          Trabalho      HM,33032,540,3650,5294,5597,5021,4067,3398,2563,1892,994,16,
                        H,18336,266,1844,2658,2965,2753,2365,2066,1590,1203,616,10,
          Reforma/ Pensão      HM,1533,1,4,2,70,103,142,226,279,370,318,18,
                               H,482,0,4,1,32,38,52,68,68,91,117,11,
          Subsidio de desemprego      HM,52330,114,1920,4033,6263,7294,6880,7079,7383,7288,4051,25,
                                      H,27361,61,957,1935,2886,3538,3638,3847,4056,4129,2305,9,
          Subsidio por acidente de trabalho ou doença profissional      HM,265,2,11,19,29,34,39,41,39,34,17,0,
                                                                        H,157,0,6,8,14,20,22,28,22,24,13,0,
          Rendimento social de inserção      HM,10754,214,845,1180,1421,1635,1473,1382,1252,869,474,9,
                                             H,5048,109,341,428,553,717,724,717,724,484,248,3,
"          Outro subsídio temporário (doença, maternidade, etc.)      HM",1417,59,246,280,268,223,111,81,61,70,18,0,
                                                                     H,236,7,22,21,31,31,27,30,23,35,9,0,
          Rendimento da propriedade ou da empresa      HM,583,3,12,36,49,43,80,82,117,92,67,2,
                                                       H,335,1,5,20,30,26,46,36,74,55,41,1,
          Apoio social      HM,1999,177,264,196,237,250,250,203,194,150,76,2,
                            H,912,72,108,82,99,109,107,106,102,84,42,1,
          A cargo da família      HM,65663,8257,15935,9438,6597,5964,5338,4852,4271,3225,1732,54,
                                  H,33480,4415,8863,5225,3319,2911,2467,2232,1877,1375,784,12,
          Outro      HM,14206,615,1453,1564,1776,1951,1828,1702,1629,1113,561,14,
                     H,7786,314,762,786,924,1056,1009,989,934,657,348,7,
      Alentejo      HM,43963,1977,5934,5502,5327,5016,4919,4748,4558,3809,2152,21,
                     H,21640,1092,2917,2654,2405,2256,2301,2302,2358,2146,1202,7,
          Trabalho      HM,8312,122,828,1268,1242,1086,1047,949,842,616,308,4,
                        H,4583,67,441,639,643,591,562,541,510,387,201,1,
          Reforma/ Pensão      HM,342,0,1,1,20,18,33,48,66,95,58,2,
                               H,101,0,0,0,14,4,11,15,11,25,20,1,
          Subsidio de desemprego      HM,12672,32,492,1037,1449,1514,1621,1720,1852,1811,1141,3,
                                      H,6576,17,237,487,649,678,834,888,1018,1097,669,2,
          Subsidio por acidente de trabalho ou doença profissional      HM,55,1,2,3,7,6,11,6,6,10,3,0,
                                                                        H,32,0,2,2,5,4,5,4,3,6,1,0,
          Rendimento social de inserção      HM,3066,92,350,367,486,470,403,339,272,191,96,0,
                                             H,1363,40,145,154,180,186,164,163,150,120,61,0,
"          Outro subsídio temporário (doença, maternidade, etc.)      HM",313,14,60,73,65,42,15,11,16,11,6,0,
                                                                     H,31,1,5,3,3,1,3,2,6,4,3,0,
          Rendimento da propriedade ou da empresa      HM,127,0,5,6,17,13,14,22,27,13,10,0,
                                                       H,70,0,2,5,8,7,7,12,14,8,7,0,
          Apoio social      HM,505,37,88,56,62,69,58,52,39,28,16,0,
                            H,228,17,44,27,24,27,27,23,18,15,6,0,
          A cargo da família      HM,15197,1567,3761,2281,1568,1339,1302,1220,1054,732,362,11,
                                  H,6964,895,1886,1128,711,549,495,466,403,292,136,3,
          Outro      HM,3374,112,347,410,411,459,415,381,384,302,152,1,
                     H,1692,55,155,209,168,209,193,188,225,192,98,0,
      Algarve      HM,34770,1525,4302,4228,4385,4399,4172,3964,3415,2750,1625,5,
                     H,18294,865,2313,2112,2134,2198,2118,2100,1915,1575,963,1,
          Trabalho      HM,7703,104,778,1163,1194,1115,1047,925,682,476,218,1,
                        H,4156,61,418,584,631,570,566,513,413,278,121,1,
          Reforma/ Pensão      HM,200,0,1,0,8,14,12,31,40,58,36,0,
                               H,82,0,1,0,5,8,3,12,15,22,16,0,
          Subsidio de desemprego      HM,10547,28,488,862,1347,1431,1438,1497,1436,1207,813,0,
                                      H,5369,16,245,396,610,686,712,776,761,693,474,0,
          Subsidio por acidente de trabalho ou doença profissional      HM,35,0,0,6,2,9,2,8,4,1,3,0,
                                                                        H,23,0,0,3,2,5,2,6,2,1,2,0,
          Rendimento social de inserção      HM,1553,21,123,176,214,248,224,184,150,135,78,0,
                                             H,751,11,53,76,88,114,106,93,82,80,48,0,
"          Outro subsídio temporário (doença, maternidade, etc.)      HM",240,12,46,54,46,33,13,9,16,7,4,0,
                                                                     H,35,2,4,2,4,3,4,3,5,5,3,0,
          Rendimento da propriedade ou da empresa      HM,120,1,4,5,11,10,10,24,24,23,8,0,
                                                       H,76,0,1,2,6,7,5,15,17,16,7,0,
          Apoio social      HM,367,21,40,29,59,39,58,33,42,26,20,0,
                            H,180,8,17,12,26,15,32,21,24,14,11,0,
          A cargo da família      HM,11102,1257,2559,1594,1165,1127,987,887,676,563,284,3,
                                  H,5965,725,1452,871,596,591,476,435,353,302,164,0,
          Outro      HM,2903,81,263,339,339,373,381,366,345,254,161,1,
                     H,1657,42,122,166,166,199,212,226,243,164,117,0,
    Região Autónoma dos Açores    HM,12793,1283,2741,2201,1683,1438,1139,1027,729,407,142,3,
                 H,7194,700,1392,1204,931,803,674,618,479,290,102,1,
        Trabalho    HM,1938,47,320,406,311,264,211,171,116,63,28,1,
                    H,1213,23,162,243,198,175,139,114,85,54,20,0,
        Reforma/ Pensão    HM,93,0,1,0,9,7,12,17,21,20,6,0,
                           H,41,0,0,0,4,2,3,6,10,11,5,0,
        Subsidio de desemprego    HM,2541,30,240,400,380,366,333,313,257,160,62,0,
                                  H,1576,22,135,228,221,200,204,206,187,123,50,0,
        Subsidio por acidente de trabalho ou doença profissional    HM,13,0,2,2,0,2,3,2,2,0,0,0,
                                                                    H,9,0,1,1,0,2,2,1,2,0,0,0,
        Rendimento social de inserção    HM,1173,54,157,205,201,186,147,125,70,21,7,0,
                                         H,526,22,53,76,83,72,82,75,45,14,4,0,
"        Outro subsídio temporário (doença, maternidade, etc.)    HM",78,6,16,12,11,7,12,4,3,6,1,0,
                                                                 H,14,0,1,1,3,0,3,2,1,2,1,0,
        Rendimento da propriedade ou da empresa    HM,28,0,5,5,4,2,1,4,3,2,2,0,
                                                   H,15,0,2,2,3,1,1,1,2,1,2,0,
        Apoio social    HM,199,18,24,37,23,22,25,28,11,10,1,0,
                        H,108,9,8,20,11,11,16,16,7,9,1,0,
        A cargo da família    HM,5844,1055,1779,993,624,487,315,282,187,91,29,2,
                              H,3195,590,951,564,331,283,171,147,95,49,13,1,
        Outro    HM,886,73,197,141,120,95,80,81,59,34,6,0,
                 H,497,34,79,69,77,57,53,50,45,27,6,0,
      Região Autónoma dos Açores      HM,12793,1283,2741,2201,1683,1438,1139,1027,729,407,142,3,
                     H,7194,700,1392,1204,931,803,674,618,479,290,102,1,
          Trabalho      HM,1938,47,320,406,311,264,211,171,116,63,28,1,
                        H,1213,23,162,243,198,175,139,114,85,54,20,0,
          Reforma/ Pensão      HM,93,0,1,0,9,7,12,17,21,20,6,0,
                               H,41,0,0,0,4,2,3,6,10,11,5,0,
          Subsidio de desemprego      HM,2541,30,240,400,380,366,333,313,257,160,62,0,
                                      H,1576,22,135,228,221,200,204,206,187,123,50,0,
          Subsidio por acidente de trabalho ou doença profissional      HM,13,0,2,2,0,2,3,2,2,0,0,0,
                                                                        H,9,0,1,1,0,2,2,1,2,0,0,0,
          Rendimento social de inserção      HM,1173,54,157,205,201,186,147,125,70,21,7,0,
                                             H,526,22,53,76,83,72,82,75,45,14,4,0,
"          Outro subsídio temporário (doença, maternidade, etc.)      HM",78,6,16,12,11,7,12,4,3,6,1,0,
                                                                     H,14,0,1,1,3,0,3,2,1,2,1,0,
          Rendimento da propriedade ou da empresa      HM,28,0,5,5,4,2,1,4,3,2,2,0,
                                                       H,15,0,2,2,3,1,1,1,2,1,2,0,
          Apoio social      HM,199,18,24,37,23,22,25,28,11,10,1,0,
                            H,108,9,8,20,11,11,16,16,7,9,1,0,
          A cargo da família      HM,5844,1055,1779,993,624,487,315,282,187,91,29,2,
                                  H,3195,590,951,564,331,283,171,147,95,49,13,1,
          Outro      HM,886,73,197,141,120,95,80,81,59,34,6,0,
                     H,497,34,79,69,77,57,53,50,45,27,6,0,
    Região Autónoma da Madeira    HM,18676,977,2978,2853,2471,2312,2136,2043,1563,952,387,4,
                 H,11061,543,1585,1569,1469,1385,1297,1266,1025,647,271,4,
        Trabalho    HM,2179,39,314,407,354,324,256,222,157,80,25,1,
                    H,1322,20,148,225,224,206,164,144,107,59,24,1,
        Reforma/ Pensão    HM,122,0,0,0,2,5,12,20,34,34,14,1,
                           H,45,0,0,0,1,0,3,5,13,15,7,1,
        Subsidio de desemprego    HM,6159,28,430,769,878,947,840,870,715,473,207,2,
                                  H,3916,16,237,444,526,596,537,568,500,345,145,2,
        Subsidio por acidente de trabalho ou doença profissional    HM,20,0,0,2,2,2,6,5,2,1,0,0,
                                                                    H,16,0,0,2,2,2,3,4,2,1,0,0,
        Rendimento social de inserção    HM,745,14,53,74,104,114,113,102,93,50,28,0,
                                         H,345,8,15,23,44,49,57,59,46,25,19,0,
"        Outro subsídio temporário (doença, maternidade, etc.)    HM",82,3,24,18,9,10,4,5,3,3,3,0,
                                                                 H,19,0,2,4,3,1,2,3,1,2,1,0,
        Rendimento da propriedade ou da empresa    HM,41,0,1,5,2,3,6,9,6,8,1,0,
                                                   H,27,0,0,3,0,2,5,6,5,6,0,0,
        Apoio social    HM,258,20,32,31,23,29,36,47,26,11,3,0,
                        H,110,6,9,11,9,16,12,22,16,7,2,0,
        A cargo da família    HM,7438,811,1937,1305,875,664,621,573,373,204,75,0,
                              H,4208,458,1066,711,518,378,356,327,222,123,49,0,
        Outro    HM,1632,62,187,242,222,214,242,190,154,88,31,0,
                 H,1053,35,108,146,142,135,158,128,113,64,24,0,
      Região Autónoma da Madeira      HM,18676,977,2978,2853,2471,2312,2136,2043,1563,952,387,4,
                     H,11061,543,1585,1569,1469,1385,1297,1266,1025,647,271,4,
          Trabalho      HM,2179,39,314,407,354,324,256,222,157,80,25,1,
                        H,1322,20,148,225,224,206,164,144,107,59,24,1,
          Reforma/ Pensão      HM,122,0,0,0,2,5,12,20,34,34,14,1,
                               H,45,0,0,0,1,0,3,5,13,15,7,1,
          Subsidio de desemprego      HM,6159,28,430,769,878,947,840,870,715,473,207,2,
                                      H,3916,16,237,444,526,596,537,568,500,345,145,2,
          Subsidio por acidente de trabalho ou doença profissional      HM,20,0,0,2,2,2,6,5,2,1,0,0,
                                                                        H,16,0,0,2,2,2,3,4,2,1,0,0,
          Rendimento social de inserção      HM,745,14,53,74,104,114,113,102,93,50,28,0,
                                             H,345,8,15,23,44,49,57,59,46,25,19,0,
"          Outro subsídio temporário (doença, maternidade, etc.)      HM",82,3,24,18,9,10,4,5,3,3,3,0,
                                                                     H,19,0,2,4,3,1,2,3,1,2,1,0,
          Rendimento da propriedade ou da empresa      HM,41,0,1,5,2,3,6,9,6,8,1,0,
                                                       H,27,0,0,3,0,2,5,6,5,6,0,0,
          Apoio social      HM,258,20,32,31,23,29,36,47,26,11,3,0,
                            H,110,6,9,11,9,16,12,22,16,7,2,0,
          A cargo da família      HM,7438,811,1937,1305,875,664,621,573,373,204,75,0,
                                  H,4208,458,1066,711,518,378,356,327,222,123,49,0,
          Outro      HM,1632,62,187,242,222,214,242,190,154,88,31,0,
                     H,1053,35,108,146,142,135,158,128,113,64,24,0,
