"4.16 - FAMÍLIAS CLÁSSICAS EM ALOJAMENTOS FAMILIARES, SEGUNDO O TIPO DE ALOJAMENTO FAMILIAR OCUPADO, O REGIME DE PROPRIEDADE E O TIPO DE OCUPAÇÃO DOS ALOJAMENTOS CLÁSSICOS E CONDIÇÕES DE HABITABILIDADE, POR TIPO DE FAMÍLIA NA BASE DA ESTRUTURA ETÁRIA E NÚMERO DE CRIANÇAS",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Total ,Tipo de alojamento familiar,,,Regime de propriedade dos alojamentos familiares clássicos,,,,Tipo de ocupação alojamentos clássicos,,Em alojamentos clássicos super-lotados,Em aloj. não clássicos,,
        Uma pessoa do sexo feminino com idade entre 15 e 24 anos,2769,2765,0,4,789,13,1530,433,2305,460,420,4,,
        Uma pessoa do sexo feminino com idade entre 25 e 64 anos,59684,59635,6,43,35968,452,17976,5239,58190,1445,2606,49,,
        Uma pessoa do sexo feminino com 65 ou mais anos,85113,85068,6,39,56537,389,21222,6920,84018,1050,2915,45,,
"        Uma pessoa do sexo masculino com 15 ou mais anos, com 1 ou mais pessoas de idade inferior a 15 anos",2058,2055,2,1,1286,24,522,223,2019,36,311,3,,
"        Uma pessoa do sexo feminino com 15 ou mais anos, com 1 ou mais pessoas de idade inferior a 15 anos",23738,23704,12,22,11415,192,9514,2583,23210,494,5294,34,,
"        Duas pessoas, ambas com idade entre 15 e 24 anos",3163,3135,20,8,895,23,1697,520,3043,92,236,28,,
"        Duas pessoas, ambas com idade entre 25 e 64 anos",162523,162394,39,90,112632,1375,36284,12103,160553,1841,4736,129,,
"        Duas pessoas, uma com idade entre 15 e 24 e outra de 25 a 64 anos",25505,25461,22,22,13386,286,9159,2630,25090,371,2602,44,,
"        Duas pessoas, ambas ou pelo menos uma com 65 ou mais anos",181341,181275,13,53,140749,1000,31833,7693,179616,1659,5282,66,,
"        Duas pessoas, ambas com 15 ou mais anos, com outras de idade inferior a 15 anos",238153,237865,108,180,170111,2458,41113,24183,235253,2612,36628,288,,
        Uma pessoa de idade inferior a 15 anos,142534,142408,29,97,100087,1518,25981,14822,140803,1605,14842,126,,
        Duas pessoas de idade inferior a 15 anos,84911,84813,33,65,63719,848,11923,8323,83934,879,17721,98,,
        Três pessoas de idade inferior a 15 anos,9520,9472,34,14,5822,85,2636,929,9355,117,3372,48,,
        Quatro ou mais pessoas de idade inferior a 15 anos,1188,1172,12,4,483,7,573,109,1161,11,693,16,,
        Três ou mais pessoas com 15 ou mais anos,465184,464910,67,207,355909,4706,77678,26617,462179,2731,91267,274,,
        Sem outras pessoas de idade inferior a 15 anos,326263,326095,31,137,252203,3093,53474,17325,324095,2000,45864,168,,
        Uma pessoa de idade inferior a 15 anos,109148,109075,16,57,83182,1311,17291,7291,108476,599,31299,73,,
        Duas pessoas ou mais de idade inferior a 15 anos,29773,29740,20,13,20524,302,6913,2001,29608,132,14104,33,,
        Outros casos,8,8,0,0,3,0,3,2,6,2,2,0,,
      Centro,904159,902643,487,1029,727583,5144,114293,55623,886471,16172,67117,1516,,
        Uma pessoa do sexo masculino com idade entre 15 e 24 anos,2115,2102,1,12,645,9,1020,428,1513,589,381,13,,
        Uma pessoa do sexo masculino com idade entre 25 e 64 anos,42490,42161,52,277,25919,236,10043,5963,39450,2711,2490,329,,
        Uma pessoa do sexo masculino com 65 ou mais anos,24715,24627,24,64,20352,88,2460,1727,24203,424,753,88,,
        Uma pessoa do sexo feminino com idade entre 15 e 24 anos,2149,2145,0,4,633,10,1162,340,1652,493,381,4,,
        Uma pessoa do sexo feminino com idade entre 25 e 64 anos,41887,41841,13,33,28190,191,9826,3634,40238,1603,1461,46,,
        Uma pessoa do sexo feminino com 65 ou mais anos,81636,81573,10,53,66083,268,9356,5866,80477,1096,1705,63,,
"        Uma pessoa do sexo masculino com 15 ou mais anos, com 1 ou mais pessoas de idade inferior a 15 anos",1578,1570,5,3,1129,8,302,131,1512,58,192,8,,
"        Uma pessoa do sexo feminino com 15 ou mais anos, com 1 ou mais pessoas de idade inferior a 15 anos",14606,14559,22,25,7901,99,4825,1734,14047,512,2440,47,,
"        Duas pessoas, ambas com idade entre 15 e 24 anos",2022,1987,22,13,572,11,1123,281,1871,116,137,35,,
"        Duas pessoas, ambas com idade entre 25 e 64 anos",112232,112049,53,130,88398,636,16074,6941,110131,1918,2190,183,,
"        Duas pessoas, uma com idade entre 15 e 24 e outra de 25 a 64 anos",15914,15875,11,28,9585,110,4637,1543,15473,402,1171,39,,
"        Duas pessoas, ambas ou pelo menos uma com 65 ou mais anos",159413,159309,21,83,141697,699,11866,5047,157615,1694,2641,104,,
"        Duas pessoas, ambas com 15 ou mais anos, com outras de idade inferior a 15 anos",141787,141466,175,146,111412,965,18431,10658,139155,2311,15055,321,,
        Uma pessoa de idade inferior a 15 anos,82425,82296,50,79,63347,585,11741,6623,80780,1516,5815,129,,
        Duas pessoas de idade inferior a 15 anos,52686,52583,56,47,43464,345,5267,3507,51908,675,7188,103,,
        Três pessoas de idade inferior a 15 anos,5852,5801,38,13,4174,33,1142,452,5699,102,1633,51,,
        Quatro ou mais pessoas de idade inferior a 15 anos,824,786,31,7,427,2,281,76,768,18,419,38,,
        Três ou mais pessoas com 15 ou mais anos,261604,261368,78,158,225061,1814,23165,11328,259124,2244,36117,236,,
        Sem outras pessoas de idade inferior a 15 anos,190998,190863,35,100,166611,1235,15484,7533,189223,1640,18404,135,,
        Uma pessoa de idade inferior a 15 anos,56705,56651,13,41,48039,458,5227,2927,56178,473,12002,54,,
        Duas pessoas ou mais de idade inferior a 15 anos,13901,13854,30,17,10411,121,2454,868,13723,131,5711,47,,
        Outros casos,11,11,0,0,6,0,3,2,10,1,3,0,,
      Lisboa,1146644,1144466,502,1676,751045,8983,317114,67324,1114704,29762,152916,2178,,
        Uma pessoa do sexo masculino com idade entre 15 e 24 anos,3780,3766,7,7,1204,18,1921,623,2688,1078,650,14,,
        Uma pessoa do sexo masculino com idade entre 25 e 64 anos,80931,80503,95,333,44970,492,27160,7881,72543,7960,6532,428,,
        Uma pessoa do sexo masculino com 65 ou mais anos,25716,25603,17,96,14332,180,9382,1709,24591,1012,1142,113,,
        Uma pessoa do sexo feminino com idade entre 15 e 24 anos,3962,3956,0,6,1224,14,2129,589,3035,921,539,6,,
        Uma pessoa do sexo feminino com idade entre 25 e 64 anos,86096,85985,17,94,52699,480,26314,6492,80770,5215,4967,111,,
        Uma pessoa do sexo feminino com 65 ou mais anos,91979,91854,14,111,49871,528,35454,6001,89760,2094,3110,125,,
"        Uma pessoa do sexo masculino com 15 ou mais anos, com 1 ou mais pessoas de idade inferior a 15 anos",4194,4182,4,8,2785,39,1033,325,4046,136,799,12,,
"        Uma pessoa do sexo feminino com 15 ou mais anos, com 1 ou mais pessoas de idade inferior a 15 anos",30299,30225,17,57,17023,194,10495,2513,28994,1231,7990,74,,
"        Duas pessoas, ambas com idade entre 15 e 24 anos",3004,2986,5,13,895,18,1730,343,2813,173,358,18,,
"        Duas pessoas, ambas com idade entre 25 e 64 anos",156499,156261,59,179,106739,1195,39538,8789,153798,2463,6447,238,,
"        Duas pessoas, uma com idade entre 15 e 24 e outra de 25 a 64 anos",28294,28227,17,50,15572,215,10225,2215,27337,890,3682,67,,
"        Duas pessoas, ambas ou pelo menos uma com 65 ou mais anos",164672,164496,18,158,111056,1304,45636,6500,162825,1671,5915,176,,
"        Duas pessoas, ambas com 15 ou mais anos, com outras de idade inferior a 15 anos",188117,187804,99,214,139529,1251,36424,10600,185387,2417,35539,313,,
        Uma pessoa de idade inferior a 15 anos,109910,109745,35,130,80526,758,22108,6353,108192,1553,14005,165,,
        Duas pessoas de idade inferior a 15 anos,66163,66076,31,56,51310,404,10805,3557,65427,649,16293,87,,
        Três pessoas de idade inferior a 15 anos,10135,10084,26,25,6739,67,2711,567,9916,168,4079,51,,
        Quatro ou mais pessoas de idade inferior a 15 anos,1909,1899,7,3,954,22,800,123,1852,47,1162,10,,
        Três ou mais pessoas com 15 ou mais anos,279084,278601,133,350,193139,3055,69665,12742,276103,2498,75244,483,,
        Sem outras pessoas de idade inferior a 15 anos,198627,198346,55,226,141764,2053,45862,8667,196709,1637,36980,281,,
        Uma pessoa de idade inferior a 15 anos,58943,58837,34,72,39881,678,15260,3018,58271,566,24230,106,,
        Duas pessoas ou mais de idade inferior a 15 anos,21514,21418,44,52,11494,324,8543,1057,21123,295,14034,96,,
        Outros casos,17,17,0,0,7,0,8,2,14,3,2,0,,
      Alentejo,302829,301790,502,537,228053,1923,45317,26497,296460,5330,28597,1039,,
        Uma pessoa do sexo masculino com idade entre 15 e 24 anos,728,721,4,3,267,0,286,168,467,254,194,7,,
        Uma pessoa do sexo masculino com idade entre 25 e 64 anos,16428,16223,56,149,9430,109,3681,3003,15074,1149,1442,205,,
        Uma pessoa do sexo masculino com 65 ou mais anos,10228,10160,24,44,7556,30,1380,1194,9996,164,603,68,,
        Uma pessoa do sexo feminino com idade entre 15 e 24 anos,587,583,0,4,167,4,309,103,430,153,94,4,,
        Uma pessoa do sexo feminino com idade entre 25 e 64 anos,13088,13050,9,29,8462,100,3098,1390,12509,541,611,38,,
        Uma pessoa do sexo feminino com 65 ou mais anos,30540,30499,12,29,22753,89,4792,2865,30087,412,967,41,,
"        Uma pessoa do sexo masculino com 15 ou mais anos, com 1 ou mais pessoas de idade inferior a 15 anos",658,654,3,1,444,6,128,76,633,21,88,4,,
"        Uma pessoa do sexo feminino com 15 ou mais anos, com 1 ou mais pessoas de idade inferior a 15 anos",5164,5140,12,12,2725,28,1734,653,4956,184,1052,24,,
"        Duas pessoas, ambas com idade entre 15 e 24 anos",622,605,10,7,200,2,298,105,571,34,74,17,,
"        Duas pessoas, ambas com idade entre 25 e 64 anos",37388,37319,20,49,28378,267,5556,3118,36762,557,910,69,,
"        Duas pessoas, uma com idade entre 15 e 24 e outra de 25 a 64 anos",5326,5304,13,9,3049,40,1567,648,5148,156,531,22,,
"        Duas pessoas, ambas ou pelo menos uma com 65 ou mais anos",56211,56149,20,42,46649,258,6040,3202,55688,461,1502,62,,
"        Duas pessoas, ambas com 15 ou mais anos, com outras de idade inferior a 15 anos",45571,45293,208,70,33905,339,6822,4227,44665,628,6405,278,,
        Uma pessoa de idade inferior a 15 anos,26750,26665,59,26,19790,221,4134,2520,26256,409,2506,85,,
        Duas pessoas de idade inferior a 15 anos,16030,15956,59,15,12459,104,2014,1379,15776,180,2913,74,,
        Três pessoas de idade inferior a 15 anos,2340,2268,53,19,1463,12,526,267,2240,28,748,72,,
        Quatro ou mais pessoas de idade inferior a 15 anos,451,404,37,10,193,2,148,61,393,11,238,47,,
        Três ou mais pessoas com 15 ou mais anos,80288,80088,111,89,64067,651,9626,5744,79472,616,14124,200,,
        Sem outras pessoas de idade inferior a 15 anos,59225,59146,33,46,48309,467,6443,3927,58719,427,7374,79,,
        Uma pessoa de idade inferior a 15 anos,16598,16552,26,20,12894,145,2115,1398,16411,141,4524,46,,
        Duas pessoas ou mais de idade inferior a 15 anos,4465,4390,52,23,2864,39,1068,419,4342,48,2226,75,,
        Outros casos,2,2,0,0,1,0,0,1,2,0,0,0,,
      Algarve,182602,181837,247,518,125381,1917,37917,16622,176018,5819,27076,765,,
        Uma pessoa do sexo masculino com idade entre 15 e 24 anos,655,648,3,4,187,3,300,158,448,200,141,7,,
        Uma pessoa do sexo masculino com idade entre 25 e 64 anos,14357,14164,37,156,7438,150,4094,2482,12487,1677,1708,193,,
        Uma pessoa do sexo masculino com 65 ou mais anos,5368,5317,12,39,3996,23,715,583,5164,153,351,51,,
        Uma pessoa do sexo feminino com idade entre 15 e 24 anos,468,467,0,1,137,6,231,93,350,117,75,1,,
        Uma pessoa do sexo feminino com idade entre 25 e 64 anos,11304,11259,4,41,6872,106,2999,1282,10455,804,895,45,,
        Uma pessoa do sexo feminino com 65 ou mais anos,13240,13213,6,21,9818,58,2163,1174,12977,236,385,27,,
"        Uma pessoa do sexo masculino com 15 ou mais anos, com 1 ou mais pessoas de idade inferior a 15 anos",556,553,3,0,345,7,137,64,529,24,142,3,,
"        Uma pessoa do sexo feminino com 15 ou mais anos, com 1 ou mais pessoas de idade inferior a 15 anos",4428,4406,11,11,2221,55,1552,578,4200,206,1371,22,,
"        Duas pessoas, ambas com idade entre 15 e 24 anos",510,496,9,5,124,4,294,74,457,39,87,14,,
"        Duas pessoas, ambas com idade entre 25 e 64 anos",24303,24225,14,64,16383,269,5394,2179,23558,667,1409,78,,
"        Duas pessoas, uma com idade entre 15 e 24 e outra de 25 a 64 anos",4379,4352,6,21,2238,45,1520,549,4169,183,757,27,,
"        Duas pessoas, ambas ou pelo menos uma com 65 ou mais anos",27849,27824,2,23,23029,206,3226,1363,27536,288,807,25,,
"        Duas pessoas, ambas com 15 ou mais anos, com outras de idade inferior a 15 anos",29108,28944,93,71,19353,297,6398,2896,28292,652,7002,164,,
        Uma pessoa de idade inferior a 15 anos,17516,17448,33,35,11538,176,3946,1788,17004,444,3249,68,,
        Duas pessoas de idade inferior a 15 anos,10060,10006,32,22,7039,104,1918,945,9838,168,3021,54,,
        Três pessoas de idade inferior a 15 anos,1285,1259,19,7,687,15,426,131,1224,35,586,26,,
        Quatro ou mais pessoas de idade inferior a 15 anos,247,231,9,7,89,2,108,32,226,5,146,16,,
        Três ou mais pessoas com 15 ou mais anos,46076,45968,47,61,33239,688,8894,3147,45396,572,11945,108,,
        Sem outras pessoas de idade inferior a 15 anos,32506,32452,20,34,24363,481,5536,2072,32056,396,5841,54,,
        Uma pessoa de idade inferior a 15 anos,10389,10357,13,19,7070,165,2299,823,10239,118,4175,32,,
        Duas pessoas ou mais de idade inferior a 15 anos,3181,3159,14,8,1806,42,1059,252,3101,58,1929,22,,
        Outros casos,1,1,0,0,1,0,0,0,0,1,1,0,,
    Região Autónoma dos Açores,81557,81453,5,99,63618,928,10812,6095,79656,1797,13403,104,,
      Uma pessoa do sexo masculino com idade entre 15 e 24 anos,192,192,0,0,51,1,100,40,108,84,39,0,,
      Uma pessoa do sexo masculino com idade entre 25 e 64 anos,4332,4307,4,21,2347,35,1180,745,3816,491,462,25,,
      Uma pessoa do sexo masculino com 65 ou mais anos,1299,1294,0,5,1069,5,100,120,1263,31,65,5,,
      Uma pessoa do sexo feminino com idade entre 15 e 24 anos,182,182,0,0,51,1,101,29,119,63,33,0,,
      Uma pessoa do sexo feminino com idade entre 25 e 64 anos,3610,3604,0,6,2383,26,867,328,3362,242,209,6,,
      Uma pessoa do sexo feminino com 65 ou mais anos,4313,4310,0,3,3752,18,261,279,4241,69,105,3,,
"      Uma pessoa do sexo masculino com 15 ou mais anos, com 1 ou mais pessoas de idade inferior a 15 anos",144,144,0,0,90,1,40,13,141,3,23,0,,
"      Uma pessoa do sexo feminino com 15 ou mais anos, com 1 ou mais pessoas de idade inferior a 15 anos",1369,1367,0,2,726,12,491,138,1307,60,396,2,,
"      Duas pessoas, ambas com idade entre 15 e 24 anos",256,255,0,1,78,2,130,45,241,14,31,1,,
"      Duas pessoas, ambas com idade entre 25 e 64 anos",9300,9290,0,10,7076,88,1317,809,9163,127,363,10,,
"      Duas pessoas, uma com idade entre 15 e 24 e outra de 25 a 64 anos",1718,1716,0,2,1040,25,451,200,1654,62,188,2,,
"      Duas pessoas, ambas ou pelo menos uma com 65 ou mais anos",8574,8573,0,1,7766,57,432,318,8510,63,378,1,,
"      Duas pessoas, ambas com 15 ou mais anos, com outras de idade inferior a 15 anos",15739,15715,1,23,11728,226,2484,1277,15493,222,3193,24,,
      Uma pessoa de idade inferior a 15 anos,8530,8519,0,11,6373,112,1320,714,8392,127,1220,11,,
      Duas pessoas de idade inferior a 15 anos,5786,5779,1,6,4477,88,781,433,5715,64,1326,7,,
      Três pessoas de idade inferior a 15 anos,1140,1135,0,5,735,22,269,109,1109,26,471,5,,
      Quatro ou mais pessoas de idade inferior a 15 anos,283,282,0,1,143,4,114,21,277,5,176,1,,
      Três ou mais pessoas com 15 ou mais anos,30529,30504,0,25,25461,431,2858,1754,30238,266,7918,25,,
      Sem outras pessoas de idade inferior a 15 anos,18891,18876,0,15,16421,226,1307,922,18703,173,3204,15,,
      Uma pessoa de idade inferior a 15 anos,7842,7835,0,7,6382,125,837,491,7772,63,2563,7,,
      Duas pessoas ou mais de idade inferior a 15 anos,3796,3793,0,3,2658,80,714,341,3763,30,2151,3,,
      Outros casos,0,0,0,0,0,0,0,0,0,0,0,0,,
      Região Autónoma dos Açores,81557,81453,5,99,63618,928,10812,6095,79656,1797,13403,104,,
        Uma pessoa do sexo masculino com idade entre 15 e 24 anos,192,192,0,0,51,1,100,40,108,84,39,0,,
        Uma pessoa do sexo masculino com idade entre 25 e 64 anos,4332,4307,4,21,2347,35,1180,745,3816,491,462,25,,
        Uma pessoa do sexo masculino com 65 ou mais anos,1299,1294,0,5,1069,5,100,120,1263,31,65,5,,
        Uma pessoa do sexo feminino com idade entre 15 e 24 anos,182,182,0,0,51,1,101,29,119,63,33,0,,
        Uma pessoa do sexo feminino com idade entre 25 e 64 anos,3610,3604,0,6,2383,26,867,328,3362,242,209,6,,
        Uma pessoa do sexo feminino com 65 ou mais anos,4313,4310,0,3,3752,18,261,279,4241,69,105,3,,
"        Uma pessoa do sexo masculino com 15 ou mais anos, com 1 ou mais pessoas de idade inferior a 15 anos",144,144,0,0,90,1,40,13,141,3,23,0,,
"        Uma pessoa do sexo feminino com 15 ou mais anos, com 1 ou mais pessoas de idade inferior a 15 anos",1369,1367,0,2,726,12,491,138,1307,60,396,2,,
"        Duas pessoas, ambas com idade entre 15 e 24 anos",256,255,0,1,78,2,130,45,241,14,31,1,,
"        Duas pessoas, ambas com idade entre 25 e 64 anos",9300,9290,0,10,7076,88,1317,809,9163,127,363,10,,
"        Duas pessoas, uma com idade entre 15 e 24 e outra de 25 a 64 anos",1718,1716,0,2,1040,25,451,200,1654,62,188,2,,
"        Duas pessoas, ambas ou pelo menos uma com 65 ou mais anos",8574,8573,0,1,7766,57,432,318,8510,63,378,1,,
"        Duas pessoas, ambas com 15 ou mais anos, com outras de idade inferior a 15 anos",15739,15715,1,23,11728,226,2484,1277,15493,222,3193,24,,
        Uma pessoa de idade inferior a 15 anos,8530,8519,0,11,6373,112,1320,714,8392,127,1220,11,,
        Duas pessoas de idade inferior a 15 anos,5786,5779,1,6,4477,88,781,433,5715,64,1326,7,,
        Três pessoas de idade inferior a 15 anos,1140,1135,0,5,735,22,269,109,1109,26,471,5,,
        Quatro ou mais pessoas de idade inferior a 15 anos,283,282,0,1,143,4,114,21,277,5,176,1,,
        Três ou mais pessoas com 15 ou mais anos,30529,30504,0,25,25461,431,2858,1754,30238,266,7918,25,,
        Sem outras pessoas de idade inferior a 15 anos,18891,18876,0,15,16421,226,1307,922,18703,173,3204,15,,
        Uma pessoa de idade inferior a 15 anos,7842,7835,0,7,6382,125,837,491,7772,63,2563,7,,
        Duas pessoas ou mais de idade inferior a 15 anos,3796,3793,0,3,2658,80,714,341,3763,30,2151,3,,
        Outros casos,0,0,0,0,0,0,0,0,0,0,0,0,,
    Região Autónoma da Madeira,92717,92664,8,45,70678,1409,14505,6072,91688,976,20998,53,,
      Uma pessoa do sexo masculino com idade entre 15 e 24 anos,157,157,0,0,55,1,67,34,135,22,19,0,,
      Uma pessoa do sexo masculino com idade entre 25 e 64 anos,4849,4840,0,9,2910,63,1217,650,4637,203,558,9,,
      Uma pessoa do sexo masculino com 65 ou mais anos,1510,1506,1,3,1131,11,248,116,1488,18,116,4,,
      Uma pessoa do sexo feminino com idade entre 15 e 24 anos,121,120,0,1,43,1,51,25,102,18,26,1,,
      Uma pessoa do sexo feminino com idade entre 25 e 64 anos,5209,5206,0,3,3507,75,1164,460,5004,202,546,3,,
      Uma pessoa do sexo feminino com 65 ou mais anos,6219,6217,0,2,4769,52,873,523,6156,61,373,2,,
"      Uma pessoa do sexo masculino com 15 ou mais anos, com 1 ou mais pessoas de idade inferior a 15 anos",212,212,0,0,151,6,36,19,209,3,64,0,,
"      Uma pessoa do sexo feminino com 15 ou mais anos, com 1 ou mais pessoas de idade inferior a 15 anos",1723,1721,0,2,1000,33,502,186,1690,31,643,2,,
"      Duas pessoas, ambas com idade entre 15 e 24 anos",135,135,0,0,40,2,63,30,134,1,25,0,,
"      Duas pessoas, ambas com idade entre 25 e 64 anos",10241,10238,1,2,7653,120,1793,672,10150,88,721,3,,
