"6.20 - POPULAÇÃO RESIDENTE, SEGUNDO A DIMENSÃO DOS LUGARES POPULAÇÃO ISOLADA, EMBARCADA E CORPO DIPLOMÁTICO POR GRUPO SÓCIO-ECONÓMICO",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Zona Geográfica,Total,,Em lugares até 1999 habitantes,,Em lugares de 2000 a 4999 habitantes,,Em lugares de 5000 a 9999 habitantes,,Em lugares de 10000 a 19999 habitantes,,Em lugares de 20000 a 49999 habitantes,,Em lugares de 50000 a 99999 habitantes,,Em lugares de 100000 a 199999 habitantes,,Em lugares de 200000 a 499999 habitantes,,Em lugares de 500000 a 999999 habitantes,,Em lugares com 1 000 000 habitantes ou mais,,"População isolada, embarcada e corpo diplomático",
      Quadros técnicos intermédios,384611,220570,99479,58810,37662,21568,39016,22277,54744,31345,57373,32633,26081,14751,32253,18447,8976,5002,25460,13660,0,0,3567,2077
      Quadros administrativos intermédios,69722,22975,17858,6874,6865,2367,7151,2354,9897,3223,9565,3235,5017,1422,6040,1848,1635,413,4990,985,0,0,704,254
      Empregados administrativos do comércio e serviços,1245269,444704,367785,121772,121352,43131,123182,43659,171051,62198,172847,63727,85079,31019,102514,38853,26558,11215,61201,24537,0,0,13700,4593
      Operários qualificados e semi-qualificados,955992,769132,447606,350821,93066,74346,91093,73345,107031,87460,89424,71641,36856,33184,47343,40561,9130,7819,17652,16385,0,0,16791,13570
      Assalariados do sector primário,67531,48831,38952,26535,6241,4769,4322,3307,4611,3736,5064,4398,1167,831,1384,1168,223,195,706,551,0,0,4861,3341
      Trabalhadores administrativos do comércio e serviços não qualificados,414297,87319,145147,30709,40167,8416,38014,7898,53896,11128,45035,10118,24686,4698,31703,6534,9699,1962,19654,4272,0,0,6296,1584
      Operários não qualificados,193843,116844,93993,53729,19582,11634,17979,10674,20917,13110,17164,10698,7659,5169,8044,5269,1818,1457,3372,2906,0,0,3315,2198
      Trabalhadores não qualificados do sector primário,23229,13757,16097,9365,1954,1092,1454,863,553,330,424,285,86,49,107,77,25,23,26,20,0,0,2503,1653
      Pessoal das forças armadas,34482,29765,10645,9045,3569,3133,4185,3621,4872,4237,4290,3728,2701,2370,1892,1629,301,251,1401,1219,0,0,626,532
      Outras pessoas activas n.e.,124828,58045,40015,17062,11692,5397,11695,5452,16077,7709,15743,7649,7674,3787,10258,5044,3725,1922,6201,3229,0,0,1748,794
      Inactivos,5538811,2443026,2204187,958496,501784,225390,476246,212931,620134,277569,603461,270283,260133,117042,354440,157560,130260,55130,287028,122464,0,0,101138,46161
