"2.03 - EDIFÍCIOS, SEGUNDO A ÉPOCA DE CONSTRUÇÃO, POR PRINCIPAIS MATERIAIS UTILIZADOS NA CONSTRUÇÃO",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Época de construção,,,,,,,,,,,,,
Principais materiais utilizados na construção,Total,antes de 1919,1919-1945,1946-1960,1961-1970,1971-1980,1981-1990,1991-1995,1996 - 2000,2001-2005,2006-2011,,,
          Outros,11974,1908,2212,1655,1070,1840,892,479,556,692,670,,,
        Revestimento exterior,1111952,57408,100388,129672,134526,192304,176125,80440,86772,91517,62800,,,
          Reboco tradicional ou marmorite,954417,33748,70613,105640,117254,174250,163138,73650,78892,82117,55115,,,
          Pedra,116919,21875,27109,19954,11835,8698,6293,3966,5153,6478,5558,,,
          Ladrilho cerâmico ou mosaico,33274,1260,2002,3501,4991,7928,5785,2286,2086,2139,1296,,,
          Outros,7342,525,664,577,446,1428,909,538,641,783,831,,,
        Cobertura,1111952,57408,100388,129672,134526,192304,176125,80440,86772,91517,62800,,,
          Em terraço,9054,51,196,379,475,807,1145,694,905,1637,2765,,,
          Inclinada,1092897,57236,99699,128420,132960,189788,173468,78961,84796,88686,58883,,,
          Revestida a telhas cerâmicas ou de betão,1077930,56140,98115,126969,131510,186692,171520,78044,83925,87670,57345,,,
          Revestida a outros materiais,14967,1096,1584,1451,1450,3096,1948,917,871,1016,1538,,,
          Mista (inclinada e terraço),10001,121,493,873,1091,1709,1512,785,1071,1194,1152,,,
   Lisboa,,,,,,,,,,,,,,
        Tipo de estrutura da construção,448957,22297,28955,54006,59963,83916,71920,32031,35452,35446,24971,,,
          Betão armado,292978,0,7502,26405,39895,61042,55562,24930,28317,29088,20237,,,
          Paredes de alvenaria com placa,97116,0,8236,17305,14901,19604,14530,6235,6360,5842,4103,,,
"          Paredes de alvenaria, sem placa",48138,18390,10739,8856,4538,2639,1329,626,511,282,228,,,
          Paredes de alvenaria de pedra solta ou de adobe,7663,3419,2144,1109,438,196,120,51,79,45,62,,,
          Outros,3062,488,334,331,191,435,379,189,185,189,341,,,
        Revestimento exterior,448957,22297,28955,54006,59963,83916,71920,32031,35452,35446,24971,,,
          Reboco tradicional ou marmorite,421663,18638,25797,50593,56104,78969,69197,30884,34202,33826,23453,,,
          Pedra,11515,2432,2037,1945,1370,1073,973,406,376,562,341,,,
          Ladrilho cerâmico ou mosaico,12585,1114,957,1146,2105,3330,1335,527,623,770,678,,,
          Outros,3194,113,164,322,384,544,415,214,251,288,499,,,
        Cobertura,448957,22297,28955,54006,59963,83916,71920,32031,35452,35446,24971,,,
          Em terraço,16453,39,293,1118,1805,2823,2360,1118,1958,2320,2619,,,
          Inclinada,422282,22220,28379,52166,57068,79143,68234,30013,32210,31709,21140,,,
          Revestida a telhas cerâmicas ou de betão,410690,21681,27704,51044,55254,75988,66325,29188,31521,31279,20706,,,
          Revestida a outros materiais,11592,539,675,1122,1814,3155,1909,825,689,430,434,,,
          Mista (inclinada e terraço),10222,38,283,722,1090,1950,1326,900,1284,1417,1212,,,
   Alentejo,,,,,,,,,,,,,,
        Tipo de estrutura da construção,383866,32538,54373,52225,45213,52443,48055,23571,27675,28601,19172,,,
          Betão armado,122506,0,6822,11221,13799,21213,21930,10658,12876,14121,9866,,,
          Paredes de alvenaria com placa,153407,0,17861,21803,21986,25464,22368,10991,12657,12539,7738,,,
"          Paredes de alvenaria, sem placa",64832,20073,15796,11885,6509,3845,2393,1180,1232,1050,869,,,
          Paredes de alvenaria de pedra solta ou de adobe,40792,12173,13485,7041,2777,1628,1205,637,785,608,453,,,
          Outros,2329,292,409,275,142,293,159,105,125,283,246,,,
        Revestimento exterior,383866,32538,54373,52225,45213,52443,48055,23571,27675,28601,19172,,,
          Reboco tradicional ou marmorite,362782,28814,49660,48855,42676,49627,46728,22977,27001,27873,18571,,,
          Pedra,11834,3196,3709,2136,1072,565,427,199,181,159,190,,,
          Ladrilho cerâmico ou mosaico,6926,305,680,1013,1287,1876,706,296,346,268,149,,,
          Outros,2324,223,324,221,178,375,194,99,147,301,262,,,
        Cobertura,383866,32538,54373,52225,45213,52443,48055,23571,27675,28601,19172,,,
          Em terraço,4315,59,264,282,218,729,1073,321,378,478,513,,,
          Inclinada,372638,32256,53292,51220,44389,50767,45917,22692,26654,27352,18099,,,
          Revestida a telhas cerâmicas ou de betão,366814,31759,52037,50324,43766,49866,45374,22469,26390,27028,17801,,,
          Revestida a outros materiais,5824,497,1255,896,623,901,543,223,264,324,298,,,
          Mista (inclinada e terraço),6913,223,817,723,606,947,1065,558,643,771,560,,,
   Algarve,,,,,,,,,,,,,,
        Tipo de estrutura da construção,198924,11109,16420,17312,17507,30068,34156,17158,18596,21328,15270,,,
          Betão armado,114188,0,2657,5403,8360,18995,24758,12585,13455,16357,11618,,,
          Paredes de alvenaria com placa,51051,0,5535,6660,6429,8493,8245,3946,4502,4234,3007,,,
"          Paredes de alvenaria, sem placa",18219,5980,3767,2802,1795,2016,696,355,292,297,219,,,
          Paredes de alvenaria de pedra solta ou de adobe,14136,5038,4294,2393,867,385,305,213,206,235,200,,,
          Outros,1330,91,167,54,56,179,152,59,141,205,226,,,
        Revestimento exterior,198924,11109,16420,17312,17507,30068,34156,17158,18596,21328,15270,,,
          Reboco tradicional ou marmorite,186296,8821,13610,15276,16160,28415,33362,16909,18261,20763,14719,,,
          Pedra,6513,1950,1933,1241,505,286,179,92,95,124,108,,,
          Ladrilho cerâmico ou mosaico,4861,257,790,742,780,1173,466,95,111,234,213,,,
          Outros,1254,81,87,53,62,194,149,62,129,207,230,,,
        Cobertura,198924,11109,16420,17312,17507,30068,34156,17158,18596,21328,15270,,,
          Em terraço,28659,324,2901,4182,3479,4759,3977,1878,1691,2749,2719,,,
          Inclinada,143581,10422,12250,11600,12138,20722,24436,12401,14014,15349,10249,,,
          Revestida a telhas cerâmicas ou de betão,139576,10147,11946,11074,11595,19659,24011,12230,13764,15142,10008,,,
          Revestida a outros materiais,4005,275,304,526,543,1063,425,171,250,207,241,,,
          Mista (inclinada e terraço),26684,363,1269,1530,1890,4587,5743,2879,2891,3230,2302,,,
  Região Autónoma dos Açores,,,,,,,,,,,,,,
      Tipo de estrutura da construção,98818,7098,10145,11851,8749,10579,17236,6504,8710,9984,7962,,,
        Betão armado,51959,0,2910,4554,4074,5726,11127,4437,6068,7311,5752,,,
        Paredes de alvenaria com placa,15589,0,1412,1852,1431,1881,3022,1209,1527,1738,1517,,,
"        Paredes de alvenaria, sem placa",23954,5124,4087,4154,2593,2458,2610,672,913,786,557,,,
        Paredes de alvenaria de pedra solta ou de adobe,6649,1885,1651,1201,576,395,400,159,165,121,96,,,
        Outros,667,89,85,90,75,119,77,27,37,28,40,,,
      Revestimento exterior,98818,7098,10145,11851,8749,10579,17236,6504,8710,9984,7962,,,
        Reboco tradicional ou marmorite,84976,4800,7579,9727,7356,9387,16023,5980,7914,9046,7164,,,
        Pedra,12563,2227,2449,1975,1259,1013,1084,450,675,790,641,,,
        Ladrilho cerâmico ou mosaico,607,42,85,89,85,56,48,34,46,68,54,,,
        Outros,672,29,32,60,49,123,81,40,75,80,103,,,
      Cobertura,98818,7098,10145,11851,8749,10579,17236,6504,8710,9984,7962,,,
        Em terraço,1067,3,28,44,45,61,103,24,41,186,532,,,
        Inclinada,96323,7054,10001,11679,8611,10393,16829,6376,8541,9609,7230,,,
        Revestida a telhas cerâmicas ou de betão,94275,6806,9757,11358,8379,10103,16555,6286,8437,9473,7121,,,
        Revestida a outros materiais,2048,248,244,321,232,290,274,90,104,136,109,,,
        Mista (inclinada e terraço),1428,41,116,128,93,125,304,104,128,189,200,,,
   Região Autónoma dos Açores,,,,,,,,,,,,,,
        Tipo de estrutura da construção,98818,7098,10145,11851,8749,10579,17236,6504,8710,9984,7962,,,
          Betão armado,51959,0,2910,4554,4074,5726,11127,4437,6068,7311,5752,,,
          Paredes de alvenaria com placa,15589,0,1412,1852,1431,1881,3022,1209,1527,1738,1517,,,
"          Paredes de alvenaria, sem placa",23954,5124,4087,4154,2593,2458,2610,672,913,786,557,,,
          Paredes de alvenaria de pedra solta ou de adobe,6649,1885,1651,1201,576,395,400,159,165,121,96,,,
          Outros,667,89,85,90,75,119,77,27,37,28,40,,,
        Revestimento exterior,98818,7098,10145,11851,8749,10579,17236,6504,8710,9984,7962,,,
          Reboco tradicional ou marmorite,84976,4800,7579,9727,7356,9387,16023,5980,7914,9046,7164,,,
          Pedra,12563,2227,2449,1975,1259,1013,1084,450,675,790,641,,,
          Ladrilho cerâmico ou mosaico,607,42,85,89,85,56,48,34,46,68,54,,,
          Outros,672,29,32,60,49,123,81,40,75,80,103,,,
        Cobertura,98818,7098,10145,11851,8749,10579,17236,6504,8710,9984,7962,,,
          Em terraço,1067,3,28,44,45,61,103,24,41,186,532,,,
          Inclinada,96323,7054,10001,11679,8611,10393,16829,6376,8541,9609,7230,,,
          Revestida a telhas cerâmicas ou de betão,94275,6806,9757,11358,8379,10103,16555,6286,8437,9473,7121,,,
          Revestida a outros materiais,2048,248,244,321,232,290,274,90,104,136,109,,,
          Mista (inclinada e terraço),1428,41,116,128,93,125,304,104,128,189,200,,,
  Região Autónoma da Madeira,,,,,,,,,,,,,,
      Tipo de estrutura da construção,91961,4076,7419,9877,9449,12911,14977,7945,9004,9796,6507,,,
        Betão armado,69716,0,3433,6364,7019,10385,12968,7002,8075,8688,5782,,,
        Paredes de alvenaria com placa,9941,0,1285,1688,1411,1594,1460,667,603,740,493,,,
"        Paredes de alvenaria, sem placa",7748,2958,1376,936,571,642,409,222,224,271,139,,,
        Paredes de alvenaria de pedra solta ou de adobe,4002,1014,1250,823,393,199,81,34,73,65,70,,,
        Outros,554,104,75,66,55,91,59,20,29,32,23,,,
      Revestimento exterior,91961,4076,7419,9877,9449,12911,14977,7945,9004,9796,6507,,,
        Reboco tradicional ou marmorite,85417,2530,5640,8804,8882,12492,14684,7815,8798,9561,6211,,,
        Pedra,5895,1517,1739,1021,503,267,186,94,159,174,235,,,
        Ladrilho cerâmico ou mosaico,190,4,4,11,17,46,40,8,20,18,22,,,
        Outros,459,25,36,41,47,106,67,28,27,43,39,,,
      Cobertura,91961,4076,7419,9877,9449,12911,14977,7945,9004,9796,6507,,,
        Em terraço,8621,41,396,665,988,1719,1885,793,687,653,794,,,
        Inclinada,74942,3915,6222,7983,7229,9779,11738,6615,7658,8550,5253,,,
        Revestida a telhas cerâmicas ou de betão,73521,3807,6056,7828,7078,9448,11542,6540,7579,8463,5180,,,
        Revestida a outros materiais,1421,108,166,155,151,331,196,75,79,87,73,,,
        Mista (inclinada e terraço),8398,120,801,1229,1232,1413,1354,537,659,593,460,,,
   Região Autónoma da Madeira,,,,,,,,,,,,,,
        Tipo de estrutura da construção,91961,4076,7419,9877,9449,12911,14977,7945,9004,9796,6507,,,
          Betão armado,69716,0,3433,6364,7019,10385,12968,7002,8075,8688,5782,,,
          Paredes de alvenaria com placa,9941,0,1285,1688,1411,1594,1460,667,603,740,493,,,
"          Paredes de alvenaria, sem placa",7748,2958,1376,936,571,642,409,222,224,271,139,,,
          Paredes de alvenaria de pedra solta ou de adobe,4002,1014,1250,823,393,199,81,34,73,65,70,,,
          Outros,554,104,75,66,55,91,59,20,29,32,23,,,
        Revestimento exterior,91961,4076,7419,9877,9449,12911,14977,7945,9004,9796,6507,,,
          Reboco tradicional ou marmorite,85417,2530,5640,8804,8882,12492,14684,7815,8798,9561,6211,,,
          Pedra,5895,1517,1739,1021,503,267,186,94,159,174,235,,,
          Ladrilho cerâmico ou mosaico,190,4,4,11,17,46,40,8,20,18,22,,,
          Outros,459,25,36,41,47,106,67,28,27,43,39,,,
        Cobertura,91961,4076,7419,9877,9449,12911,14977,7945,9004,9796,6507,,,
          Em terraço,8621,41,396,665,988,1719,1885,793,687,653,794,,,
          Inclinada,74942,3915,6222,7983,7229,9779,11738,6615,7658,8550,5253,,,
          Revestida a telhas cerâmicas ou de betão,73521,3807,6056,7828,7078,9448,11542,6540,7579,8463,5180,,,
          Revestida a outros materiais,1421,108,166,155,151,331,196,75,79,87,73,,,
          Mista (inclinada e terraço),8398,120,801,1229,1232,1413,1354,537,659,593,460,,,
