"5.07 - NÚCLEOS FAMILIARES RECONSTITUIDOS, SEGUNDO O ESCALÃO ETÁRIO DO FILHO MAIS NOVO, TOTAL DE FILHOS NOS NÚCLEOS,POR TIPO DE NÚCLEO E CONDIÇÃO PERANTE A ACTIVIDADE ECONÓMICA (SENTIDO RESTRITO) DOS MEMBROS DO NÚCLEO",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Escalão etário dos filhos (mais novos),,,,,,,Filhos nos núcleos,,,,,,
Tipo de núcleo,Total ,De 0 a 4 anos,De 5 a 9 anos,De 10 a 14 anos,De 15 a 19 anos,De 20 a 24 anos,De 25 ou mais anos,,,,,,,
          Ambos empregados,4922,2359,1414,816,269,54,10,16129,,,,,,
          Um empregado e outro desempregado ou inactivo,4268,2232,1178,582,200,63,13,14486,,,,,,
          Ambos desempregados ou inactivos,1699,932,420,208,86,29,24,5937,,,,,,
      Norte,25395,6070,5396,4877,3695,2431,2926,46076,,,,,,
        Casal de direito,11275,2440,2205,2024,1598,1225,1783,20793,,,,,,
          Com um filho,4321,208,468,654,775,750,1466,4321,,,,,,
            Ambos empregados,1795,138,296,380,380,338,263,1795,,,,,,
            Um empregado e outro desempregado ou inactivo,1403,58,140,212,272,280,441,1403,,,,,,
            Ambos desempregados ou inactivos,1123,12,32,62,123,132,762,1123,,,,,,
          Com dois filhos,4913,1406,1158,981,670,411,287,9826,,,,,,
            Ambos empregados,2545,842,667,522,314,155,45,5090,,,,,,
            Um empregado e outro desempregado ou inactivo,1738,467,404,357,262,166,82,3476,,,,,,
            Ambos desempregados ou inactivos,630,97,87,102,94,90,160,1260,,,,,,
          Com três ou mais filhos,2041,826,579,389,153,64,30,6646,,,,,,
            Ambos empregados,888,373,275,165,52,18,5,2822,,,,,,
            Um empregado e outro desempregado ou inactivo,849,350,236,161,72,25,5,2797,,,,,,
            Ambos desempregados ou inactivos,304,103,68,63,29,21,20,1027,,,,,,
        Casal de facto,14120,3630,3191,2853,2097,1206,1143,25283,,,,,,
          Com um filho,6230,432,1151,1381,1362,899,1005,6230,,,,,,
            Ambos empregados,3139,215,702,799,717,430,276,3139,,,,,,
            Um empregado e outro desempregado ou inactivo,2060,155,345,427,468,311,354,2060,,,,,,
            Ambos desempregados ou inactivos,1031,62,104,155,177,158,375,1031,,,,,,
          Com dois filhos,5404,1977,1353,1081,608,256,129,10808,,,,,,
            Ambos empregados,2629,981,698,562,260,103,25,5258,,,,,,
            Um empregado e outro desempregado ou inactivo,1989,727,482,387,259,88,46,3978,,,,,,
            Ambos desempregados ou inactivos,786,269,173,132,89,65,58,1572,,,,,,
          Com três ou mais filhos,2486,1221,687,391,127,51,9,8245,,,,,,
            Ambos empregados,878,412,258,155,40,12,1,2838,,,,,,
            Um empregado e outro desempregado ou inactivo,1041,522,290,152,55,21,1,3472,,,,,,
            Ambos desempregados ou inactivos,567,287,139,84,32,18,7,1935,,,,,,
      Centro,20006,4955,4422,3879,2871,1796,2083,36433,,,,,,
        Casal de direito,8199,1822,1676,1520,1166,815,1200,15377,,,,,,
          Com um filho,3022,128,284,475,570,543,1022,3022,,,,,,
            Ambos empregados,1340,87,181,304,305,262,201,1340,,,,,,
            Um empregado e outro desempregado ou inactivo,999,32,81,134,195,207,350,999,,,,,,
            Ambos desempregados ou inactivos,683,9,22,37,70,74,471,683,,,,,,
          Com dois filhos,3595,1008,942,774,481,231,159,7190,,,,,,
            Ambos empregados,2197,632,633,500,280,116,36,4394,,,,,,
            Um empregado e outro desempregado ou inactivo,1087,329,253,226,154,82,43,2174,,,,,,
            Ambos desempregados ou inactivos,311,47,56,48,47,33,80,622,,,,,,
          Com três ou mais filhos,1582,686,450,271,115,41,19,5165,,,,,,
            Ambos empregados,820,350,252,137,59,19,3,2605,,,,,,
            Um empregado e outro desempregado ou inactivo,602,278,154,103,45,15,7,2017,,,,,,
            Ambos desempregados ou inactivos,160,58,44,31,11,7,9,543,,,,,,
        Casal de facto,11807,3133,2746,2359,1705,981,883,21056,,,,,,
          Com um filho,5275,391,1034,1195,1099,768,788,5275,,,,,,
            Ambos empregados,2942,226,651,764,637,413,251,2942,,,,,,
            Um empregado e outro desempregado ou inactivo,1655,127,316,338,358,238,278,1655,,,,,,
            Ambos desempregados ou inactivos,678,38,67,93,104,117,259,678,,,,,,
          Com dois filhos,4483,1700,1141,867,489,195,91,8966,,,,,,
            Ambos empregados,2536,958,679,509,267,102,21,5072,,,,,,
            Um empregado e outro desempregado ou inactivo,1549,590,391,284,174,77,33,3098,,,,,,
            Ambos desempregados ou inactivos,398,152,71,74,48,16,37,796,,,,,,
          Com três ou mais filhos,2049,1042,571,297,117,18,4,6815,,,,,,
            Ambos empregados,943,446,280,149,60,7,1,3056,,,,,,
            Um empregado e outro desempregado ou inactivo,844,452,232,114,37,9,0,2857,,,,,,
            Ambos desempregados ou inactivos,262,144,59,34,20,2,3,902,,,,,,
      Lisboa,39950,10283,8936,7484,5699,3548,4000,75039,,,,,,
        Casal de direito,15787,3498,3240,2877,2260,1592,2320,30424,,,,,,
          Com um filho,5885,216,597,861,1127,1079,2005,5885,,,,,,
            Ambos empregados,2807,137,394,551,650,545,530,2807,,,,,,
            Um empregado e outro desempregado ou inactivo,1844,63,173,249,378,379,602,1844,,,,,,
            Ambos desempregados ou inactivos,1234,16,30,61,99,155,873,1234,,,,,,
          Com dois filhos,6436,1786,1641,1414,869,438,288,12872,,,,,,
            Ambos empregados,3950,1144,1088,919,514,218,67,7900,,,,,,
            Um empregado e outro desempregado ou inactivo,1933,531,455,403,279,152,113,3866,,,,,,
            Ambos desempregados ou inactivos,553,111,98,92,76,68,108,1106,,,,,,
          Com três ou mais filhos,3466,1496,1002,602,264,75,27,11667,,,,,,
            Ambos empregados,1936,835,589,344,138,24,6,6377,,,,,,
            Um empregado e outro desempregado ou inactivo,1206,526,340,200,92,37,11,4130,,,,,,
            Ambos desempregados ou inactivos,324,135,73,58,34,14,10,1160,,,,,,
        Casal de facto,24163,6785,5696,4607,3439,1956,1680,44615,,,,,,
          Com um filho,10197,856,2040,2159,2158,1483,1501,10197,,,,,,
            Ambos empregados,6200,529,1435,1495,1366,843,532,6200,,,,,,
            Um empregado e outro desempregado ou inactivo,2934,258,501,533,611,496,535,2934,,,,,,
            Ambos desempregados ou inactivos,1063,69,104,131,181,144,434,1063,,,,,,
          Com dois filhos,9356,3592,2387,1751,1056,414,156,18712,,,,,,
            Ambos empregados,5680,2163,1486,1105,657,231,38,11360,,,,,,
            Um empregado e outro desempregado ou inactivo,2887,1136,718,519,317,138,59,5774,,,,,,
            Ambos desempregados ou inactivos,789,293,183,127,82,45,59,1578,,,,,,
          Com três ou mais filhos,4610,2337,1269,697,225,59,23,15706,,,,,,
            Ambos empregados,2328,1132,648,390,122,29,7,7736,,,,,,
            Um empregado e outro desempregado ou inactivo,1689,868,473,242,75,24,7,5837,,,,,,
            Ambos desempregados ou inactivos,593,337,148,65,28,6,9,2133,,,,,,
      Alentejo,8441,2266,1939,1550,1164,734,788,15744,,,,,,
        Casal de direito,3113,752,642,571,413,315,420,5895,,,,,,
          Com um filho,1103,57,109,166,204,205,362,1103,,,,,,
            Ambos empregados,500,31,58,105,114,101,91,500,,,,,,
            Um empregado e outro desempregado ou inactivo,383,23,46,49,72,78,115,383,,,,,,
            Ambos desempregados ou inactivos,220,3,5,12,18,26,156,220,,,,,,
          Com dois filhos,1393,421,355,295,168,99,55,2786,,,,,,
            Ambos empregados,830,268,221,199,89,43,10,1660,,,,,,
            Um empregado e outro desempregado ou inactivo,444,130,116,78,65,43,12,888,,,,,,
            Ambos desempregados ou inactivos,119,23,18,18,14,13,33,238,,,,,,
          Com três ou mais filhos,617,274,178,110,41,11,3,2006,,,,,,
            Ambos empregados,312,135,90,59,24,4,0,984,,,,,,
            Um empregado e outro desempregado ou inactivo,246,113,69,44,13,4,3,823,,,,,,
            Ambos desempregados ou inactivos,59,26,19,7,4,3,0,199,,,,,,
        Casal de facto,5328,1514,1297,979,751,419,368,9849,,,,,,
          Com um filho,2204,167,435,470,486,323,323,2204,,,,,,
            Ambos empregados,1235,95,291,290,273,172,114,1235,,,,,,
            Um empregado e outro desempregado ou inactivo,710,63,118,140,160,116,113,710,,,,,,
            Ambos desempregados ou inactivos,259,9,26,40,53,35,96,259,,,,,,
          Com dois filhos,2070,795,554,375,223,86,37,4140,,,,,,
            Ambos empregados,1163,439,310,227,128,49,10,2326,,,,,,
            Um empregado e outro desempregado ou inactivo,704,280,190,114,74,31,15,1408,,,,,,
            Ambos desempregados ou inactivos,203,76,54,34,21,6,12,406,,,,,,
          Com três ou mais filhos,1054,552,308,134,42,10,8,3505,,,,,,
            Ambos empregados,474,230,143,73,23,5,0,1519,,,,,,
            Um empregado e outro desempregado ou inactivo,412,230,112,44,17,4,5,1392,,,,,,
            Ambos desempregados ou inactivos,168,92,53,17,2,1,3,594,,,,,,
      Algarve,6436,1574,1412,1230,990,558,672,11691,,,,,,
        Casal de direito,2413,555,505,426,373,230,324,4535,,,,,,
          Com um filho,898,39,88,138,205,146,282,898,,,,,,
            Ambos empregados,412,23,53,78,107,80,71,412,,,,,,
            Um empregado e outro desempregado ou inactivo,298,12,28,43,76,46,93,298,,,,,,
            Ambos desempregados ou inactivos,188,4,7,17,22,20,118,188,,,,,,
          Com dois filhos,1045,292,275,226,137,74,41,2090,,,,,,
            Ambos empregados,598,164,176,124,86,39,9,1196,,,,,,
            Um empregado e outro desempregado ou inactivo,349,102,81,87,41,25,13,698,,,,,,
            Ambos desempregados ou inactivos,98,26,18,15,10,10,19,196,,,,,,
          Com três ou mais filhos,470,224,142,62,31,10,1,1547,,,,,,
            Ambos empregados,220,93,69,40,17,1,0,705,,,,,,
            Um empregado e outro desempregado ou inactivo,192,100,61,15,11,5,0,647,,,,,,
            Ambos desempregados ou inactivos,58,31,12,7,3,4,1,195,,,,,,
        Casal de facto,4023,1019,907,804,617,328,348,7156,,,,,,
          Com um filho,1791,118,323,396,403,242,309,1791,,,,,,
            Ambos empregados,954,56,210,232,230,134,92,954,,,,,,
            Um empregado e outro desempregado ou inactivo,612,51,96,132,128,82,123,612,,,,,,
            Ambos desempregados ou inactivos,225,11,17,32,45,26,94,225,,,,,,
          Com dois filhos,1542,530,407,321,170,78,36,3084,,,,,,
            Ambos empregados,845,288,228,179,97,43,10,1690,,,,,,
            Um empregado e outro desempregado ou inactivo,532,189,141,107,56,25,14,1064,,,,,,
            Ambos desempregados ou inactivos,165,53,38,35,17,10,12,330,,,,,,
          Com três ou mais filhos,690,371,177,87,44,8,3,2281,,,,,,
            Ambos empregados,299,139,85,49,24,1,1,980,,,,,,
            Um empregado e outro desempregado ou inactivo,282,160,71,30,16,5,0,928,,,,,,
            Ambos desempregados ou inactivos,109,72,21,8,4,2,2,373,,,,,,
    Região Autónoma dos Açores,2881,834,665,582,384,233,183,5956,,,,,,
      Casal de direito,1265,363,272,231,164,125,110,2684,,,,,,
        Com um filho,378,29,49,78,59,79,84,378,,,,,,
          Ambos empregados,192,16,32,51,34,39,20,192,,,,,,
          Um empregado e outro desempregado ou inactivo,121,11,11,23,17,29,30,121,,,,,,
          Ambos desempregados ou inactivos,65,2,6,4,8,11,34,65,,,,,,
        Com dois filhos,527,178,114,96,76,39,24,1054,,,,,,
          Ambos empregados,296,110,72,54,39,16,5,592,,,,,,
          Um empregado e outro desempregado ou inactivo,180,56,34,34,29,19,8,360,,,,,,
          Ambos desempregados ou inactivos,51,12,8,8,8,4,11,102,,,,,,
        Com três ou mais filhos,360,156,109,57,29,7,2,1252,,,,,,
          Ambos empregados,137,59,46,20,10,2,0,461,,,,,,
          Um empregado e outro desempregado ou inactivo,154,67,51,20,14,2,0,548,,,,,,
          Ambos desempregados ou inactivos,69,30,12,17,5,3,2,243,,,,,,
      Casal de facto,1616,471,393,351,220,108,73,3272,,,,,,
        Com um filho,603,53,134,163,124,69,60,603,,,,,,
          Ambos empregados,325,27,76,108,68,27,19,325,,,,,,
          Um empregado e outro desempregado ou inactivo,214,19,51,46,44,36,18,214,,,,,,
          Ambos desempregados ou inactivos,64,7,7,9,12,6,23,64,,,,,,
        Com dois filhos,567,203,137,118,71,27,11,1134,,,,,,
          Ambos empregados,292,102,71,72,33,11,3,584,,,,,,
          Um empregado e outro desempregado ou inactivo,210,79,52,35,28,11,5,420,,,,,,
          Ambos desempregados ou inactivos,65,22,14,11,10,5,3,130,,,,,,
        Com três ou mais filhos,446,215,122,70,25,12,2,1535,,,,,,
          Ambos empregados,164,70,56,26,10,2,0,543,,,,,,
          Um empregado e outro desempregado ou inactivo,192,105,40,32,9,5,1,669,,,,,,
          Ambos desempregados ou inactivos,90,40,26,12,6,5,1,323,,,,,,
      Região Autónoma dos Açores,2881,834,665,582,384,233,183,5956,,,,,,
        Casal de direito,1265,363,272,231,164,125,110,2684,,,,,,
          Com um filho,378,29,49,78,59,79,84,378,,,,,,
            Ambos empregados,192,16,32,51,34,39,20,192,,,,,,
            Um empregado e outro desempregado ou inactivo,121,11,11,23,17,29,30,121,,,,,,
            Ambos desempregados ou inactivos,65,2,6,4,8,11,34,65,,,,,,
          Com dois filhos,527,178,114,96,76,39,24,1054,,,,,,
            Ambos empregados,296,110,72,54,39,16,5,592,,,,,,
            Um empregado e outro desempregado ou inactivo,180,56,34,34,29,19,8,360,,,,,,
            Ambos desempregados ou inactivos,51,12,8,8,8,4,11,102,,,,,,
          Com três ou mais filhos,360,156,109,57,29,7,2,1252,,,,,,
            Ambos empregados,137,59,46,20,10,2,0,461,,,,,,
            Um empregado e outro desempregado ou inactivo,154,67,51,20,14,2,0,548,,,,,,
            Ambos desempregados ou inactivos,69,30,12,17,5,3,2,243,,,,,,
        Casal de facto,1616,471,393,351,220,108,73,3272,,,,,,
          Com um filho,603,53,134,163,124,69,60,603,,,,,,
            Ambos empregados,325,27,76,108,68,27,19,325,,,,,,
            Um empregado e outro desempregado ou inactivo,214,19,51,46,44,36,18,214,,,,,,
            Ambos desempregados ou inactivos,64,7,7,9,12,6,23,64,,,,,,
          Com dois filhos,567,203,137,118,71,27,11,1134,,,,,,
            Ambos empregados,292,102,71,72,33,11,3,584,,,,,,
            Um empregado e outro desempregado ou inactivo,210,79,52,35,28,11,5,420,,,,,,
            Ambos desempregados ou inactivos,65,22,14,11,10,5,3,130,,,,,,
          Com três ou mais filhos,446,215,122,70,25,12,2,1535,,,,,,
            Ambos empregados,164,70,56,26,10,2,0,543,,,,,,
            Um empregado e outro desempregado ou inactivo,192,105,40,32,9,5,1,669,,,,,,
            Ambos desempregados ou inactivos,90,40,26,12,6,5,1,323,,,,,,
    Região Autónoma da Madeira,2654,657,588,506,373,256,274,5077,,,,,,
      Casal de direito,1110,257,247,203,143,112,148,2190,,,,,,
        Com um filho,370,16,44,61,69,69,111,370,,,,,,
          Ambos empregados,160,12,25,37,36,28,22,160,,,,,,
          Um empregado e outro desempregado ou inactivo,128,3,15,19,23,33,35,128,,,,,,
          Ambos desempregados ou inactivos,82,1,4,5,10,8,54,82,,,,,,
        Com dois filhos,477,141,120,95,50,36,35,954,,,,,,
          Ambos empregados,267,94,74,53,21,18,7,534,,,,,,
          Um empregado e outro desempregado ou inactivo,152,38,39,32,19,12,12,304,,,,,,
          Ambos desempregados ou inactivos,58,9,7,10,10,6,16,116,,,,,,
        Com três ou mais filhos,263,100,83,47,24,7,2,866,,,,,,
          Ambos empregados,128,47,46,27,6,2,0,411,,,,,,
          Um empregado e outro desempregado ou inactivo,105,41,32,18,11,2,1,352,,,,,,
          Ambos desempregados ou inactivos,30,12,5,2,7,3,1,103,,,,,,
      Casal de facto,1544,400,341,303,230,144,126,2887,,,,,,
        Com um filho,672,41,125,154,143,106,103,672,,,,,,
          Ambos empregados,342,21,83,91,75,48,24,342,,,,,,
          Um empregado e outro desempregado ou inactivo,235,15,36,49,51,42,42,235,,,,,,
          Ambos desempregados ou inactivos,95,5,6,14,17,16,37,95,,,,,,
        Com dois filhos,551,201,134,98,68,32,18,1102,,,,,,
          Ambos empregados,283,103,72,55,31,19,3,566,,,,,,
          Um empregado e outro desempregado ou inactivo,195,75,46,32,26,8,8,390,,,,,,
          Ambos desempregados ou inactivos,73,23,16,11,11,5,7,146,,,,,,
        Com três ou mais filhos,321,158,82,51,19,6,5,1113,,,,,,
          Ambos empregados,114,54,32,22,5,1,0,377,,,,,,
          Um empregado e outro desempregado ou inactivo,129,68,32,14,9,3,3,457,,,,,,
          Ambos desempregados ou inactivos,78,36,18,15,5,2,2,279,,,,,,
      Região Autónoma da Madeira,2654,657,588,506,373,256,274,5077,,,,,,
        Casal de direito,1110,257,247,203,143,112,148,2190,,,,,,
          Com um filho,370,16,44,61,69,69,111,370,,,,,,
            Ambos empregados,160,12,25,37,36,28,22,160,,,,,,
            Um empregado e outro desempregado ou inactivo,128,3,15,19,23,33,35,128,,,,,,
            Ambos desempregados ou inactivos,82,1,4,5,10,8,54,82,,,,,,
          Com dois filhos,477,141,120,95,50,36,35,954,,,,,,
            Ambos empregados,267,94,74,53,21,18,7,534,,,,,,
            Um empregado e outro desempregado ou inactivo,152,38,39,32,19,12,12,304,,,,,,
            Ambos desempregados ou inactivos,58,9,7,10,10,6,16,116,,,,,,
          Com três ou mais filhos,263,100,83,47,24,7,2,866,,,,,,
            Ambos empregados,128,47,46,27,6,2,0,411,,,,,,
            Um empregado e outro desempregado ou inactivo,105,41,32,18,11,2,1,352,,,,,,
            Ambos desempregados ou inactivos,30,12,5,2,7,3,1,103,,,,,,
        Casal de facto,1544,400,341,303,230,144,126,2887,,,,,,
          Com um filho,672,41,125,154,143,106,103,672,,,,,,
            Ambos empregados,342,21,83,91,75,48,24,342,,,,,,
            Um empregado e outro desempregado ou inactivo,235,15,36,49,51,42,42,235,,,,,,
            Ambos desempregados ou inactivos,95,5,6,14,17,16,37,95,,,,,,
          Com dois filhos,551,201,134,98,68,32,18,1102,,,,,,
            Ambos empregados,283,103,72,55,31,19,3,566,,,,,,
            Um empregado e outro desempregado ou inactivo,195,75,46,32,26,8,8,390,,,,,,
            Ambos desempregados ou inactivos,73,23,16,11,11,5,7,146,,,,,,
          Com três ou mais filhos,321,158,82,51,19,6,5,1113,,,,,,
            Ambos empregados,114,54,32,22,5,1,0,377,,,,,,
            Um empregado e outro desempregado ou inactivo,129,68,32,14,9,3,3,457,,,,,,
            Ambos desempregados ou inactivos,78,36,18,15,5,2,2,279,,,,,,
