"4.12 - FAMÍLIAS CLÁSSICAS, SEGUNDO O GRUPO SOCIO-ECONÓMICO DO REPRESENTANTE DA FAMÍLIA, POR TIPO DE FAMÍLIA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zona Geográfica,Famílias clássicas segundo o grupo socio-económico do representante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tipo de família com base no nº de núcleos familiares,Total,"Empresários com profissões intelectuais, científicas e técnicas",Empresários da indústria comércio e serviços,Empresários do sector primário,Pequenos patrões com profissões intelectuais e científicas,Pequenos patrões com profissões técnicas intermédias,Pequenos patrões da indústria,Pequenos patrões do comércio e serviços,Pequenos patrões do sector primário,Profissionais intelectuais e científicos independentes,Profissionais técnicos intermédios independentes,Trabalhadores industriais e artesanais independentes,Prestadores de serviços e comerciantes independentes,Trabalhadores independentes do sector primário,Directores e quadros dirigentes do Estado e empresas,Dirigentes de pequenas empresas e organizações,Quadros intelectuais e científicos,Quadros técnicos intermédios,Quadros administrativos intermédios,Empregados administrativos do comércio e serviços,Operários qualificados e semi-qualificados,Assalariados do sector primário,Trabalhadores administrativos do comércio e serviços não qualificados,Operários não qualificados,Trabalhadores não qualificados do sector primário,Pessoal das forças armadas,Outras pessoas activas n.e.,Inactivos,,,,
      Pai com filho(s) tendo o mais novo 25 ou mais anos,24959,81,170,7,92,77,260,262,56,92,76,263,316,158,166,50,733,574,79,1272,1527,146,328,239,27,25,58,17825,,,,
      Pai com filho(s) tendo o mais novo 25 ou mais anos sem outras pessoas,23228,74,159,6,80,72,241,243,55,87,72,256,290,153,155,50,694,530,73,1159,1409,136,295,228,24,23,54,16610,,,,
      Pai com filho(s) tendo o mais novo 25 ou mais anos com outras pessoas,1731,7,11,1,12,5,19,19,1,5,4,7,26,5,11,0,39,44,6,113,118,10,33,11,3,2,4,1215,,,,
      Mãe com pelo menos um filho com menos de 25 anos,216160,1438,2105,16,1061,892,1277,3902,130,1118,782,598,7912,371,3142,932,23947,11491,4057,61847,11398,1147,27951,4960,478,199,2248,40761,,,,
      Mãe com pelo menos um filho com menos de 25 anos sem outras pessoas,184409,1312,1850,13,972,807,1095,3426,102,1028,710,496,6964,286,2898,855,22420,10575,3764,55528,9926,977,24165,4417,417,174,1980,27252,,,,
      Mãe com pelo menos um filho com menos de 25 anos com outras pessoas,31751,126,255,3,89,85,182,476,28,90,72,102,948,85,244,77,1527,916,293,6319,1472,170,3786,543,61,25,268,13509,,,,
      Mãe com filho(s) tendo o mais novo 25 ou mais anos,142759,291,482,10,231,226,522,1093,108,254,252,411,2521,491,650,197,5357,2988,911,13789,4097,499,7688,1153,182,95,366,97895,,,,
      Mãe com filho(s) tendo o mais novo 25 ou mais anos sem outras pessoas,130624,269,437,10,206,206,457,983,97,227,224,375,2261,456,593,177,4910,2743,833,12566,3755,453,6981,1050,167,89,321,89778,,,,
      Mãe com filho(s) tendo o mais novo 25 ou mais anos com outras pessoas,12135,22,45,0,25,20,65,110,11,27,28,36,260,35,57,20,447,245,78,1223,342,46,707,103,15,6,45,8117,,,,
      Famílias com dois núcleos,114488,205,1320,61,196,296,2738,2313,774,181,289,1949,1977,1119,613,227,1806,2764,478,9581,17072,1496,5434,2540,403,136,526,57994,,,,
      Famílias sem filhos nos dois núcleos,13783,34,188,10,29,49,422,327,108,18,47,300,229,162,100,28,227,351,67,998,2439,201,404,343,60,17,53,6572,,,,
      Famílias sem filhos nos dois núcleos sem outras pessoas,12142,31,161,10,27,43,371,283,88,17,42,269,203,138,89,24,200,324,63,858,2191,175,350,290,53,17,49,5776,,,,
      Famílias sem filhos nos dois núcleos com outras pessoas,1641,3,27,0,2,6,51,44,20,1,5,31,26,24,11,4,27,27,4,140,248,26,54,53,7,0,4,796,,,,
      Famílias com filhos só num dos núcleos,62772,115,703,34,115,168,1528,1327,434,110,166,1093,973,655,351,130,1045,1552,255,4612,8899,715,2034,1222,176,82,244,34034,,,,
      Famílias com filhos só num dos núcleos sem outras pessoas,56897,101,634,31,105,154,1363,1186,372,100,147,1007,870,584,323,116,948,1427,236,4187,8106,639,1759,1107,156,78,216,30945,,,,
      Famílias com filhos só num dos núcleos com outras pessoas,5875,14,69,3,10,14,165,141,62,10,19,86,103,71,28,14,97,125,19,425,793,76,275,115,20,4,28,3089,,,,
      Famílias com filhos nos dois núcleos,37933,56,429,17,52,79,788,659,232,53,76,556,775,302,162,69,534,861,156,3971,5734,580,2996,975,167,37,229,17388,,,,
      Famílias com filhos nos dois núcleos sem outras pessoas,33029,49,383,17,43,68,692,562,199,44,69,508,685,255,143,60,474,774,146,3456,5150,520,2532,864,149,34,202,14951,,,,
      Famílias com filhos nos dois núcleos com outras pessoas,4904,7,46,0,9,11,96,97,33,9,7,48,90,47,19,9,60,87,10,515,584,60,464,111,18,3,27,2437,,,,
      Famílias com três ou mais núcleos,4183,5,46,2,9,11,92,89,36,1,5,49,91,42,11,5,16,66,8,311,553,70,261,87,23,3,17,2274,,,,
      Famílias com três ou mais núcleos sem outras pessoas,3540,4,40,2,7,10,80,73,27,1,5,44,70,37,9,4,13,53,5,264,481,64,208,76,21,3,14,1925,,,,
      Famílias com três ou mais núcleos com outras pessoas,643,1,6,0,2,1,12,16,9,0,0,5,21,5,2,1,3,13,3,47,72,6,53,11,2,0,3,349,,,,
