"2.02 - EDIFÍCIOS, SEGUNDO O NÚMERO DE PISOS, POR TIPO DE EDIFÍCIO E NÚMERO DE ALOJAMENTOS",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Edifícios segundo o número de pisos,,,,,,,,,,,,,
Tipo de edificios e número de alojamentos,Total,1 piso,2 pisos,3 pisos,4 pisos,5 pisos,6 pisos,7 ou mais pisos,,,,,,
                16 ou mais alojamentos,5269,14,19,38,92,231,447,4428,,,,,,
        Edifícios principalmente não residenciais (até 49%),3982,1120,1305,524,410,260,117,246,,,,,,
          1 alojamento,2962,1063,1033,360,210,115,49,132,,,,,,
          2 alojamentos,559,47,204,84,113,64,21,26,,,,,,
          3 alojamentos,131,5,26,32,26,21,8,13,,,,,,
          4 alojamentos,108,2,29,14,21,20,7,15,,,,,,
          5 - 9 alojamentos,170,3,11,28,35,30,23,40,,,,,,
          10 - 15 alojamentos,34,0,2,5,3,8,5,11,,,,,,
          16 ou mais alojamentos,18,0,0,1,2,2,4,9,,,,,,
      Alentejo,383866,273573,92982,11637,3262,1391,495,526,,,,,,
        Total de edifícios principalmente residenciais,380023,271242,91822,11373,3200,1377,488,521,,,,,,
          1 alojamento,349552,264960,78142,6129,271,35,3,12,,,,,,
          2 alojamentos,17323,5097,10621,1465,119,14,3,4,,,,,,
          3 alojamentos,2990,711,1230,894,129,19,7,0,,,,,,
          4 alojamentos,2609,278,1363,624,303,36,4,1,,,,,,
          5 - 9 alojamentos,5896,175,401,2114,2043,845,236,82,,,,,,
          10 - 15 alojamentos,1290,15,45,132,266,376,209,247,,,,,,
          16 ou mais alojamentos,363,6,20,15,69,52,26,175,,,,,,
              Edifícios exclusivamente residenciais (100%),364801,265455,85814,9550,2403,994,339,246,,,,,,
                1 alojamento,338382,259467,73189,5465,230,27,0,4,,,,,,
                2 alojamentos,15895,4874,9867,1060,75,12,3,4,,,,,,
                3 alojamentos,2568,666,1081,746,59,13,3,0,,,,,,
                4 alojamentos,2047,265,1258,328,182,10,3,1,,,,,,
                5 - 9 alojamentos,4785,164,365,1834,1606,597,169,50,,,,,,
                10 - 15 alojamentos,882,13,36,105,202,292,141,93,,,,,,
                16 ou mais alojamentos,242,6,18,12,49,43,20,94,,,,,,
              Edifícios principalmente residenciais (de 50% a 99%),15222,5787,6008,1823,797,383,149,275,,,,,,
                1 alojamento,11170,5493,4953,664,41,8,3,8,,,,,,
                2 alojamentos,1428,223,754,405,44,2,0,0,,,,,,
                3 alojamentos,422,45,149,148,70,6,4,0,,,,,,
                4 alojamentos,562,13,105,296,121,26,1,0,,,,,,
                5 - 9 alojamentos,1111,11,36,280,437,248,67,32,,,,,,
                10 - 15 alojamentos,408,2,9,27,64,84,68,154,,,,,,
                16 ou mais alojamentos,121,0,2,3,20,9,6,81,,,,,,
        Edifícios principalmente não residenciais (até 49%),3843,2331,1160,264,62,14,7,5,,,,,,
          1 alojamento,3446,2229,998,173,35,6,5,0,,,,,,
          2 alojamentos,279,86,130,47,14,0,0,2,,,,,,
          3 alojamentos,47,10,19,16,1,1,0,0,,,,,,
          4 alojamentos,28,3,7,9,6,2,1,0,,,,,,
          5 - 9 alojamentos,36,3,4,18,3,4,1,3,,,,,,
          10 - 15 alojamentos,6,0,2,1,2,1,0,0,,,,,,
          16 ou mais alojamentos,1,0,0,0,1,0,0,0,,,,,,
      Algarve,198924,102291,70267,15327,5448,2649,1174,1768,,,,,,
        Total de edifícios principalmente residenciais,197221,101742,69539,15127,5332,2598,1152,1731,,,,,,
          1 alojamento,166753,98908,58864,8442,431,73,13,22,,,,,,
          2 alojamentos,11314,2217,7696,1271,119,8,1,2,,,,,,
          3 alojamentos,3036,372,960,1377,296,29,1,1,,,,,,
          4 alojamentos,2546,117,1234,693,391,104,5,2,,,,,,
          5 - 9 alojamentos,7698,110,599,2703,2971,979,258,78,,,,,,
          10 - 15 alojamentos,3190,12,107,439,713,987,546,386,,,,,,
          16 ou mais alojamentos,2684,6,79,202,411,418,328,1240,,,,,,
              Edifícios exclusivamente residenciais (100%),186011,99696,65598,13444,4037,1710,717,809,,,,,,
                1 alojamento,161228,96980,55801,7989,383,58,5,12,,,,,,
                2 alojamentos,10236,2129,7134,888,79,4,1,1,,,,,,
                3 alojamentos,2545,358,828,1208,143,8,0,0,,,,,,
                4 alojamentos,2010,113,1127,418,309,40,1,2,,,,,,
                5 - 9 alojamentos,6061,102,542,2387,2255,581,156,38,,,,,,
                10 - 15 alojamentos,2289,9,93,375,541,726,355,190,,,,,,
                16 ou mais alojamentos,1642,5,73,179,327,293,199,566,,,,,,
              Edifícios principalmente residenciais (de 50% a 99%),11210,2046,3941,1683,1295,888,435,922,,,,,,
                1 alojamento,5525,1928,3063,453,48,15,8,10,,,,,,
                2 alojamentos,1078,88,562,383,40,4,0,1,,,,,,
                3 alojamentos,491,14,132,169,153,21,1,1,,,,,,
                4 alojamentos,536,4,107,275,82,64,4,0,,,,,,
                5 - 9 alojamentos,1637,8,57,316,716,398,102,40,,,,,,
                10 - 15 alojamentos,901,3,14,64,172,261,191,196,,,,,,
                16 ou mais alojamentos,1042,1,6,23,84,125,129,674,,,,,,
        Edifícios principalmente não residenciais (até 49%),1703,549,728,200,116,51,22,37,,,,,,
          1 alojamento,1400,521,592,143,72,35,15,22,,,,,,
          2 alojamentos,184,22,104,30,13,5,1,9,,,,,,
          3 alojamentos,44,4,16,8,9,3,3,1,,,,,,
          4 alojamentos,20,1,4,4,8,1,2,0,,,,,,
          5 - 9 alojamentos,36,1,10,11,8,3,0,3,,,,,,
          10 - 15 alojamentos,14,0,2,4,4,2,1,1,,,,,,
          16 ou mais alojamentos,5,0,0,0,2,2,0,1,,,,,,
    Região Autónoma dos Açores,98818,42345,50355,5390,471,154,31,72,,,,,,
      Total de edifícios principalmente residenciais,98045,42086,49993,5282,441,149,28,66,,,,,,
        1 alojamento,94221,41676,48024,4311,140,60,4,6,,,,,,
        2 alojamentos,2149,337,1486,306,17,2,1,0,,,,,,
        3 alojamentos,396,46,183,150,15,2,0,0,,,,,,
        4 alojamentos,325,17,192,91,23,2,0,0,,,,,,
        5 - 9 alojamentos,767,8,97,394,194,54,8,12,,,,,,
        10 - 15 alojamentos,121,1,10,28,34,22,8,18,,,,,,
        16 ou mais alojamentos,66,1,1,2,18,7,7,30,,,,,,
            Edifícios exclusivamente residenciais (100%),95134,41671,48360,4649,305,110,15,24,,,,,,
              1 alojamento,91863,41273,46552,3876,105,51,3,3,,,,,,
              2 alojamentos,1929,330,1377,214,6,1,1,0,,,,,,
              3 alojamentos,322,44,153,118,6,1,0,0,,,,,,
              4 alojamentos,266,15,180,56,15,0,0,0,,,,,,
              5 - 9 alojamentos,639,8,88,357,136,38,7,5,,,,,,
              10 - 15 alojamentos,79,1,9,26,22,14,3,4,,,,,,
              16 ou mais alojamentos,36,0,1,2,15,5,1,12,,,,,,
            Edifícios principalmente residenciais (de 50% a 99%),2911,415,1633,633,136,39,13,42,,,,,,
              1 alojamento,2358,403,1472,435,35,9,1,3,,,,,,
              2 alojamentos,220,7,109,92,11,1,0,0,,,,,,
              3 alojamentos,74,2,30,32,9,1,0,0,,,,,,
              4 alojamentos,59,2,12,35,8,2,0,0,,,,,,
              5 - 9 alojamentos,128,0,9,37,58,16,1,7,,,,,,
              10 - 15 alojamentos,42,0,1,2,12,8,5,14,,,,,,
              16 ou mais alojamentos,30,1,0,0,3,2,6,18,,,,,,
      Edifícios principalmente não residenciais (até 49%),773,259,362,108,30,5,3,6,,,,,,
        1 alojamento,692,254,316,83,25,5,3,6,,,,,,
        2 alojamentos,65,4,39,18,4,0,0,0,,,,,,
        3 alojamentos,9,0,5,4,0,0,0,0,,,,,,
        4 alojamentos,3,1,0,2,0,0,0,0,,,,,,
        5 - 9 alojamentos,4,0,2,1,1,0,0,0,,,,,,
        10 - 15 alojamentos,0,0,0,0,0,0,0,0,,,,,,
        16 ou mais alojamentos,0,0,0,0,0,0,0,0,,,,,,
      Região Autónoma dos Açores,98818,42345,50355,5390,471,154,31,72,,,,,,
        Total de edifícios principalmente residenciais,98045,42086,49993,5282,441,149,28,66,,,,,,
          1 alojamento,94221,41676,48024,4311,140,60,4,6,,,,,,
          2 alojamentos,2149,337,1486,306,17,2,1,0,,,,,,
          3 alojamentos,396,46,183,150,15,2,0,0,,,,,,
          4 alojamentos,325,17,192,91,23,2,0,0,,,,,,
          5 - 9 alojamentos,767,8,97,394,194,54,8,12,,,,,,
          10 - 15 alojamentos,121,1,10,28,34,22,8,18,,,,,,
          16 ou mais alojamentos,66,1,1,2,18,7,7,30,,,,,,
              Edifícios exclusivamente residenciais (100%),95134,41671,48360,4649,305,110,15,24,,,,,,
                1 alojamento,91863,41273,46552,3876,105,51,3,3,,,,,,
                2 alojamentos,1929,330,1377,214,6,1,1,0,,,,,,
                3 alojamentos,322,44,153,118,6,1,0,0,,,,,,
                4 alojamentos,266,15,180,56,15,0,0,0,,,,,,
                5 - 9 alojamentos,639,8,88,357,136,38,7,5,,,,,,
                10 - 15 alojamentos,79,1,9,26,22,14,3,4,,,,,,
                16 ou mais alojamentos,36,0,1,2,15,5,1,12,,,,,,
              Edifícios principalmente residenciais (de 50% a 99%),2911,415,1633,633,136,39,13,42,,,,,,
                1 alojamento,2358,403,1472,435,35,9,1,3,,,,,,
                2 alojamentos,220,7,109,92,11,1,0,0,,,,,,
                3 alojamentos,74,2,30,32,9,1,0,0,,,,,,
                4 alojamentos,59,2,12,35,8,2,0,0,,,,,,
                5 - 9 alojamentos,128,0,9,37,58,16,1,7,,,,,,
                10 - 15 alojamentos,42,0,1,2,12,8,5,14,,,,,,
                16 ou mais alojamentos,30,1,0,0,3,2,6,18,,,,,,
        Edifícios principalmente não residenciais (até 49%),773,259,362,108,30,5,3,6,,,,,,
          1 alojamento,692,254,316,83,25,5,3,6,,,,,,
          2 alojamentos,65,4,39,18,4,0,0,0,,,,,,
          3 alojamentos,9,0,5,4,0,0,0,0,,,,,,
          4 alojamentos,3,1,0,2,0,0,0,0,,,,,,
          5 - 9 alojamentos,4,0,2,1,1,0,0,0,,,,,,
          10 - 15 alojamentos,0,0,0,0,0,0,0,0,,,,,,
          16 ou mais alojamentos,0,0,0,0,0,0,0,0,,,,,,
    Região Autónoma da Madeira,91961,30331,47424,10827,1508,767,393,711,,,,,,
      Total de edifícios principalmente residenciais,91357,30245,47195,10681,1432,726,378,700,,,,,,
        1 alojamento,85057,29693,45132,9493,574,113,15,37,,,,,,
        2 alojamentos,2547,444,1605,428,51,18,1,0,,,,,,
        3 alojamentos,575,58,217,212,77,9,0,2,,,,,,
        4 alojamentos,358,26,159,94,60,16,3,0,,,,,,
        5 - 9 alojamentos,1295,22,67,391,468,215,83,49,,,,,,
        10 - 15 alojamentos,871,0,6,49,143,254,154,265,,,,,,
        16 ou mais alojamentos,654,2,9,14,59,101,122,347,,,,,,
            Edifícios exclusivamente residenciais (100%),88470,29977,45981,10130,1195,530,269,388,,,,,,
              1 alojamento,83167,29437,44003,9100,510,83,7,27,,,,,,
              2 alojamentos,2399,435,1554,363,39,7,1,0,,,,,,
              3 alojamentos,509,58,199,187,58,5,0,2,,,,,,
              4 alojamentos,301,25,151,75,42,6,2,0,,,,,,
              5 - 9 alojamentos,1045,21,62,353,388,141,56,24,,,,,,
              10 - 15 alojamentos,633,0,4,40,114,217,113,145,,,,,,
              16 ou mais alojamentos,416,1,8,12,44,71,90,190,,,,,,
            Edifícios principalmente residenciais (de 50% a 99%),2887,268,1214,551,237,196,109,312,,,,,,
              1 alojamento,1890,256,1129,393,64,30,8,10,,,,,,
              2 alojamentos,148,9,51,65,12,11,0,0,,,,,,
              3 alojamentos,66,0,18,25,19,4,0,0,,,,,,
              4 alojamentos,57,1,8,19,18,10,1,0,,,,,,
              5 - 9 alojamentos,250,1,5,38,80,74,27,25,,,,,,
              10 - 15 alojamentos,238,0,2,9,29,37,41,120,,,,,,
              16 ou mais alojamentos,238,1,1,2,15,30,32,157,,,,,,
      Edifícios principalmente não residenciais (até 49%),604,86,229,146,76,41,15,11,,,,,,
        1 alojamento,525,86,219,123,58,22,9,8,,,,,,
        2 alojamentos,36,0,9,9,10,5,3,0,,,,,,
        3 alojamentos,16,0,1,8,1,5,1,0,,,,,,
        4 alojamentos,10,0,0,5,2,2,1,0,,,,,,
        5 - 9 alojamentos,8,0,0,1,3,2,0,2,,,,,,
        10 - 15 alojamentos,6,0,0,0,1,4,0,1,,,,,,
        16 ou mais alojamentos,3,0,0,0,1,1,1,0,,,,,,
      Região Autónoma da Madeira,91961,30331,47424,10827,1508,767,393,711,,,,,,
        Total de edifícios principalmente residenciais,91357,30245,47195,10681,1432,726,378,700,,,,,,
          1 alojamento,85057,29693,45132,9493,574,113,15,37,,,,,,
          2 alojamentos,2547,444,1605,428,51,18,1,0,,,,,,
          3 alojamentos,575,58,217,212,77,9,0,2,,,,,,
          4 alojamentos,358,26,159,94,60,16,3,0,,,,,,
          5 - 9 alojamentos,1295,22,67,391,468,215,83,49,,,,,,
          10 - 15 alojamentos,871,0,6,49,143,254,154,265,,,,,,
          16 ou mais alojamentos,654,2,9,14,59,101,122,347,,,,,,
              Edifícios exclusivamente residenciais (100%),88470,29977,45981,10130,1195,530,269,388,,,,,,
                1 alojamento,83167,29437,44003,9100,510,83,7,27,,,,,,
                2 alojamentos,2399,435,1554,363,39,7,1,0,,,,,,
                3 alojamentos,509,58,199,187,58,5,0,2,,,,,,
                4 alojamentos,301,25,151,75,42,6,2,0,,,,,,
                5 - 9 alojamentos,1045,21,62,353,388,141,56,24,,,,,,
                10 - 15 alojamentos,633,0,4,40,114,217,113,145,,,,,,
                16 ou mais alojamentos,416,1,8,12,44,71,90,190,,,,,,
              Edifícios principalmente residenciais (de 50% a 99%),2887,268,1214,551,237,196,109,312,,,,,,
                1 alojamento,1890,256,1129,393,64,30,8,10,,,,,,
                2 alojamentos,148,9,51,65,12,11,0,0,,,,,,
                3 alojamentos,66,0,18,25,19,4,0,0,,,,,,
                4 alojamentos,57,1,8,19,18,10,1,0,,,,,,
                5 - 9 alojamentos,250,1,5,38,80,74,27,25,,,,,,
                10 - 15 alojamentos,238,0,2,9,29,37,41,120,,,,,,
                16 ou mais alojamentos,238,1,1,2,15,30,32,157,,,,,,
        Edifícios principalmente não residenciais (até 49%),604,86,229,146,76,41,15,11,,,,,,
          1 alojamento,525,86,219,123,58,22,9,8,,,,,,
          2 alojamentos,36,0,9,9,10,5,3,0,,,,,,
          3 alojamentos,16,0,1,8,1,5,1,0,,,,,,
          4 alojamentos,10,0,0,5,2,2,1,0,,,,,,
          5 - 9 alojamentos,8,0,0,1,3,2,0,2,,,,,,
          10 - 15 alojamentos,6,0,0,0,1,4,0,1,,,,,,
          16 ou mais alojamentos,3,0,0,0,1,1,1,0,,,,,,
