"4.21 - PESSOAS RESIDENTES SEGUNDO O GRUPO ETÁRIO, POR ESTATUTO DA PESSOA NA FAMÍLIA ",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Zona Geográfica,Total,Menos de 15 anos,De 15 a 19 anos,De 20 a 24 anos,De 25 a 29 anos,De 30 a 34 anos,De 35 a 39 anos,De 40 a 44 anos,De 45 a 49 anos,De 50 a 54 anos,De 55 a 59 anos,De 60 a 64 anos,De 65 a 69 anos,De 70 a 74 anos,De 75 ou mais anos
          Pessoas a residirem apenas com não familiares,14120,834,806,1254,1408,1148,905,805,790,810,838,740,655,670,2457
          Pessoas que não vivem numa família clássica,32617,1920,1543,703,900,905,1028,930,953,826,865,971,1311,2160,17602
          Pessoas numa família institucional,32399,1920,1541,679,873,873,999,904,929,805,849,964,1308,2158,17597
          Pessoas sem-abrigo,218,0,2,24,27,32,29,26,24,21,16,7,3,2,5
      Centro,2327755,319258,118116,121132,134107,157863,167603,163432,167197,160346,151723,145228,134247,127352,260151
          Pessoas que vivem numa família clássica,2290030,318110,117217,120524,133568,157178,166845,162695,166464,159582,150911,144191,132878,125060,234807
          Pessoas num núcleo familiar,2010753,313274,112948,112370,121688,144132,155046,151813,154051,145174,134330,124828,109845,95597,135657
          Pessoas casadas,1123822,0,369,6190,33963,81040,108206,113851,121040,120561,117497,113124,101305,88248,118428
          Parceiros numa união de facto,135824,0,1668,11656,24197,26020,19765,14413,11618,8665,6181,4335,2996,2005,2305
          Pessoas em núcleos monoparentais,90381,2,247,1376,3325,6345,9643,11111,11655,9657,6998,5355,4746,5074,14847
          Pai em núcleo monoparental,12313,0,4,55,207,459,872,1211,1577,1464,1217,979,735,843,2690
          Mãe em núcleo monoparental,78068,2,243,1321,3118,5886,8771,9900,10078,8193,5781,4376,4011,4231,12157
          Filhos,660726,313272,110664,93148,60203,30727,17432,12438,9738,6291,3654,2014,798,270,77
          Não de um núcleo monoparental,539617,272705,91980,77573,49045,23164,11280,6811,4114,1954,729,221,37,3,1
          De um núcleo monoparental,121109,40567,18684,15575,11158,7563,6152,5627,5624,4337,2925,1793,761,267,76
          Pessoas sem núcleo familiar,279277,4836,4269,8154,11880,13046,11799,10882,12413,14408,16581,19363,23033,29463,99150
          Que residem sozinhos,195368,9,620,3688,7931,9950,9498,8640,9670,11116,12787,14998,17870,22591,66000
          Que não residem sozinhos,83909,4827,3649,4466,3949,3096,2301,2242,2743,3292,3794,4365,5163,6872,33150
          Pessoas a residirem com familiares,76050,4451,3226,3634,3092,2298,1712,1750,2233,2823,3387,4034,4855,6581,31974
          Pessoas a residirem apenas com não familiares,7859,376,423,832,857,798,589,492,510,469,407,331,308,291,1176
          Pessoas que não vivem numa família clássica,37725,1148,899,608,539,685,758,737,733,764,812,1037,1369,2292,25344
          Pessoas numa família institucional,37659,1148,898,605,536,676,751,728,727,761,805,1033,1368,2286,25337
          Pessoas sem-abrigo,66,0,1,3,3,9,7,9,6,3,7,4,1,6,7
      Lisboa,2821876,437881,143346,151697,182228,223103,234961,204016,192953,182884,178352,176613,151763,127059,235020
          Pessoas que vivem numa família clássica,2792992,436308,142411,150655,181046,221880,233697,202967,191974,181939,177473,175714,150681,125554,220693
          Pessoas num núcleo familiar,2368374,427816,134172,131391,149564,186607,203212,179449,169208,157354,149619,144615,119617,92058,123692
          Pessoas casadas,1113872,0,342,5973,32512,84202,116367,113111,113470,114351,118910,123928,106093,81801,102812
          Parceiros numa união de facto,281106,0,2033,17482,46317,57438,47599,32582,24535,18373,13452,8900,5384,3393,3618
          Pessoas em núcleos monoparentais,154728,5,815,3859,7234,12413,18939,20304,20885,17373,12832,9211,7124,6550,17184
          Pai em núcleo monoparental,21136,0,18,170,572,1154,2083,2478,3016,2818,2287,1676,1238,1089,2537
          Mãe em núcleo monoparental,133592,5,797,3689,6662,11259,16856,17826,17869,14555,10545,7535,5886,5461,14647
          Filhos,818668,427811,130982,104077,63501,32554,20307,13452,10318,7257,4425,2576,1016,314,78
          Não de um núcleo monoparental,606169,341830,96412,75925,45445,21386,11850,6563,3833,1933,735,214,38,5,0
          De um núcleo monoparental,212499,85981,34570,28152,18056,11168,8457,6889,6485,5324,3690,2362,978,309,78
          Pessoas sem núcleo familiar,424618,8492,8239,19264,31482,35273,30485,23518,22766,24585,27854,31099,31064,33496,97001
          Que residem sozinhos,293220,14,855,6919,18642,25545,23520,18073,17032,18548,21543,24690,24678,26101,67060
          Que não residem sozinhos,131398,8478,7384,12345,12840,9728,6965,5445,5734,6037,6311,6409,6386,7395,29941
          Pessoas a residirem com familiares,112499,7796,6598,10028,9659,7140,5164,4046,4404,4879,5381,5695,5862,6974,28873
          Pessoas a residirem apenas com não familiares,18899,682,786,2317,3181,2588,1801,1399,1330,1158,930,714,524,421,1068
          Pessoas que não vivem numa família clássica,28884,1573,935,1042,1182,1223,1264,1049,979,945,879,899,1082,1505,14327
          Pessoas numa família institucional,28643,1568,934,1023,1162,1200,1233,1017,962,911,853,887,1070,1501,14322
          Pessoas sem-abrigo,241,5,1,19,20,23,31,32,17,34,26,12,12,4,5
      Alentejo,757302,102774,35631,38122,42477,50637,53244,51325,52985,51600,48890,46629,43087,44895,95006
          Pessoas que vivem numa família clássica,741454,102385,35270,37821,42110,50108,52716,50875,52599,51286,48570,46271,42626,44009,84808
          Pessoas num núcleo familiar,643649,100518,33863,35146,38410,45827,48790,47001,48175,46124,42727,39701,34880,33335,49152
          Pessoas casadas,345606,0,140,1809,8948,22717,30898,32911,35782,36592,36299,35243,31590,30288,42389
          Parceiros numa união de facto,59440,0,782,4685,9790,10936,8807,6276,5283,4181,2784,1928,1362,1106,1520
          Pessoas em núcleos monoparentais,30841,0,110,578,1246,2333,3303,3629,3831,3075,2265,1790,1639,1826,5216
          Pai em núcleo monoparental,4692,0,5,24,93,244,359,510,618,580,458,339,249,281,932
          Mãe em núcleo monoparental,26149,0,105,554,1153,2089,2944,3119,3213,2495,1807,1451,1390,1545,4284
          Filhos,207762,100518,32831,28074,18426,9841,5782,4185,3279,2276,1379,740,289,115,27
          Não de um núcleo monoparental,166973,86345,26915,23120,14977,7289,3680,2214,1381,681,279,74,14,4,0
          De um núcleo monoparental,40789,14173,5916,4954,3449,2552,2102,1971,1898,1595,1100,666,275,111,27
          Pessoas sem núcleo familiar,97805,1867,1407,2675,3700,4281,3926,3874,4424,5162,5843,6570,7746,10674,35656
          Que residem sozinhos,71676,2,176,1141,2402,3292,3180,3133,3491,4119,4669,5284,6246,8600,25941
          Que não residem sozinhos,26129,1865,1231,1534,1298,989,746,741,933,1043,1174,1286,1500,2074,9715
          Pessoas a residirem com familiares,23570,1704,1067,1241,1050,724,541,567,752,882,1024,1196,1415,1989,9418
          Pessoas a residirem apenas com não familiares,2559,161,164,293,248,265,205,174,181,161,150,90,85,85,297
          Pessoas que não vivem numa família clássica,15848,389,361,301,367,529,528,450,386,314,320,358,461,886,10198
          Pessoas numa família institucional,15823,388,361,300,367,527,525,448,384,312,319,357,461,882,10192
          Pessoas sem-abrigo,25,1,0,1,0,2,3,2,2,2,1,1,0,4,6
      Algarve,451006,66974,22487,23086,27941,33909,36261,33491,32271,30510,29048,27259,23682,21254,42833
          Pessoas que vivem numa família clássica,446441,66634,22343,23016,27850,33796,36146,33408,32189,30427,28955,27127,23541,21021,39988
          Pessoas num núcleo familiar,382013,65564,21354,20744,23885,29300,31894,29611,28306,26066,24386,22554,19068,15930,23351
          Pessoas casadas,182422,0,111,1342,5619,13050,17772,18466,18628,18742,19242,19135,16752,14144,19419
          Parceiros numa união de facto,50150,0,470,3283,7726,9312,8114,5752,4814,3620,2546,1723,1133,751,906
          Pessoas em núcleos monoparentais,22723,0,82,474,1064,1969,2762,3139,3057,2316,1710,1204,956,984,3006
          Pai em núcleo monoparental,3306,0,3,15,81,171,280,377,483,419,366,259,166,199,487
          Mãe em núcleo monoparental,19417,0,79,459,983,1798,2482,2762,2574,1897,1344,945,790,785,2519
          Filhos,126718,65564,20691,15645,9476,4969,3246,2254,1807,1388,888,492,227,51,20
          Não de um núcleo monoparental,96496,53687,15771,11958,7040,3469,1965,1149,796,426,169,54,10,1,1
          De um núcleo monoparental,30222,11877,4920,3687,2436,1500,1281,1105,1011,962,719,438,217,50,19
          Pessoas sem núcleo familiar,64428,1070,989,2272,3965,4496,4252,3797,3883,4361,4569,4573,4473,5091,16637
          Que residem sozinhos,45493,1,141,990,2598,3336,3326,2950,3021,3329,3553,3629,3514,3910,11195
          Que não residem sozinhos,18935,1069,848,1282,1367,1160,926,847,862,1032,1016,944,959,1181,5442
          Pessoas a residirem com familiares,16284,983,741,1009,1028,801,655,590,660,846,864,840,889,1120,5258
          Pessoas a residirem apenas com não familiares,2651,86,107,273,339,359,271,257,202,186,152,104,70,61,184
          Pessoas que não vivem numa família clássica,4565,340,144,70,91,113,115,83,82,83,93,132,141,233,2845
          Pessoas numa família institucional,4452,333,140,61,83,102,103,74,71,72,81,125,132,232,2843
          Pessoas sem-abrigo,113,7,4,9,8,11,12,9,11,11,12,7,9,1,2
    Região Autónoma dos Açores,246772,44197,17011,17720,18410,20388,19577,17911,17987,16250,13707,11236,9363,7860,15155
        Pessoas que vivem numa família clássica,243882,43954,16873,17560,18320,20306,19501,17815,17865,16123,13564,11127,9197,7672,14005
        Pessoas num núcleo familiar,218690,43293,16292,16667,16960,18713,18036,16538,16351,14573,11893,9365,7290,5416,7303
        Pessoas casadas,108010,0,256,2527,7279,12015,13051,12632,12953,12159,10303,8226,6365,4633,5611
        Parceiros numa união de facto,12928,0,327,1599,2428,2450,1850,1354,1134,745,437,267,180,83,74
        Pessoas em núcleos monoparentais,10732,0,88,337,512,861,1059,1099,1210,1031,839,704,693,687,1612
        Pai em núcleo monoparental,1466,0,1,9,44,76,123,119,195,166,148,133,106,103,243
        Mãe em núcleo monoparental,9266,0,87,328,468,785,936,980,1015,865,691,571,587,584,1369
        Filhos,87020,43293,15621,12204,6741,3387,2076,1453,1054,638,314,168,52,13,6
        Não de um núcleo monoparental,70898,37875,13110,10098,5320,2302,1157,544,320,121,42,8,1,0,0
        De um núcleo monoparental,16122,5418,2511,2106,1421,1085,919,909,734,517,272,160,51,13,6
        Pessoas sem núcleo familiar,25192,661,581,893,1360,1593,1465,1277,1514,1550,1671,1762,1907,2256,6702
        Que residem sozinhos,14006,0,51,333,855,1124,1046,858,1013,1019,1009,1083,1164,1290,3161
        Que não residem sozinhos,11186,661,530,560,505,469,419,419,501,531,662,679,743,966,3541
        Pessoas a residirem com familiares,10272,625,465,451,387,375,336,363,442,488,618,644,713,922,3443
        Pessoas a residirem apenas com não familiares,914,36,65,109,118,94,83,56,59,43,44,35,30,44,98
        Pessoas que não vivem numa família clássica,2890,243,138,160,90,82,76,96,122,127,143,109,166,188,1150
        Pessoas numa família institucional,2879,243,138,160,90,81,76,96,118,122,143,109,166,188,1149
        Pessoas sem-abrigo,11,0,0,0,0,1,0,0,4,5,0,0,0,0,1
      Região Autónoma dos Açores,246772,44197,17011,17720,18410,20388,19577,17911,17987,16250,13707,11236,9363,7860,15155
          Pessoas que vivem numa família clássica,243882,43954,16873,17560,18320,20306,19501,17815,17865,16123,13564,11127,9197,7672,14005
          Pessoas num núcleo familiar,218690,43293,16292,16667,16960,18713,18036,16538,16351,14573,11893,9365,7290,5416,7303
          Pessoas casadas,108010,0,256,2527,7279,12015,13051,12632,12953,12159,10303,8226,6365,4633,5611
          Parceiros numa união de facto,12928,0,327,1599,2428,2450,1850,1354,1134,745,437,267,180,83,74
          Pessoas em núcleos monoparentais,10732,0,88,337,512,861,1059,1099,1210,1031,839,704,693,687,1612
          Pai em núcleo monoparental,1466,0,1,9,44,76,123,119,195,166,148,133,106,103,243
          Mãe em núcleo monoparental,9266,0,87,328,468,785,936,980,1015,865,691,571,587,584,1369
          Filhos,87020,43293,15621,12204,6741,3387,2076,1453,1054,638,314,168,52,13,6
          Não de um núcleo monoparental,70898,37875,13110,10098,5320,2302,1157,544,320,121,42,8,1,0,0
          De um núcleo monoparental,16122,5418,2511,2106,1421,1085,919,909,734,517,272,160,51,13,6
          Pessoas sem núcleo familiar,25192,661,581,893,1360,1593,1465,1277,1514,1550,1671,1762,1907,2256,6702
          Que residem sozinhos,14006,0,51,333,855,1124,1046,858,1013,1019,1009,1083,1164,1290,3161
          Que não residem sozinhos,11186,661,530,560,505,469,419,419,501,531,662,679,743,966,3541
          Pessoas a residirem com familiares,10272,625,465,451,387,375,336,363,442,488,618,644,713,922,3443
          Pessoas a residirem apenas com não familiares,914,36,65,109,118,94,83,56,59,43,44,35,30,44,98
          Pessoas que não vivem numa família clássica,2890,243,138,160,90,82,76,96,122,127,143,109,166,188,1150
          Pessoas numa família institucional,2879,243,138,160,90,81,76,96,118,122,143,109,166,188,1149
          Pessoas sem-abrigo,11,0,0,0,0,1,0,0,4,5,0,0,0,0,1
    Região Autónoma da Madeira,267785,44012,16582,16509,17869,20823,22032,21268,21541,18284,15627,13340,11277,10048,18573
        Pessoas que vivem numa família clássica,264652,43794,16377,16421,17775,20711,21909,21158,21420,18166,15505,13222,11107,9846,17241
        Pessoas num núcleo familiar,232168,43034,15819,15552,16395,18815,20116,19336,19415,16099,13119,10692,8182,6594,9000
        Pessoas casadas,108056,0,71,1051,4667,10251,13245,13597,14406,12467,10733,9013,6926,5351,6278
        Parceiros numa união de facto,16072,0,169,1433,2792,2990,2500,1857,1557,1121,703,408,249,156,137
        Pessoas em núcleos monoparentais,15206,0,86,399,678,970,1384,1628,1759,1524,1192,1033,914,1062,2577
        Pai em núcleo monoparental,1791,0,1,15,36,94,136,182,208,219,157,125,113,126,379
        Mãe em núcleo monoparental,13415,0,85,384,642,876,1248,1446,1551,1305,1035,908,801,936,2198
        Filhos,92834,43034,15493,12669,8258,4604,2987,2254,1693,987,491,238,93,25,8
        Não de um núcleo monoparental,70625,36254,12411,9837,6020,2981,1515,843,506,186,58,13,0,1,0
        De um núcleo monoparental,22209,6780,3082,2832,2238,1623,1472,1411,1187,801,433,225,93,24,8
        Pessoas sem núcleo familiar,32484,760,558,869,1380,1896,1793,1822,2005,2067,2386,2530,2925,3252,8241
        Que residem sozinhos,18141,0,37,263,739,1314,1316,1287,1295,1273,1425,1455,1734,1827,4176
        Que não residem sozinhos,14343,760,521,606,641,582,477,535,710,794,961,1075,1191,1425,4065
        Pessoas a residirem com familiares,13348,689,467,525,518,454,395,471,648,730,903,1045,1151,1386,3966
        Pessoas a residirem apenas com não familiares,995,71,54,81,123,128,82,64,62,64,58,30,40,39,99
        Pessoas que não vivem numa família clássica,3133,218,205,88,94,112,123,110,121,118,122,118,170,202,1332
        Pessoas numa família institucional,3111,218,205,88,94,110,120,105,116,116,120,117,170,201,1331
        Pessoas sem-abrigo,22,0,0,0,0,2,3,5,5,2,2,1,0,1,1
      Região Autónoma da Madeira,267785,44012,16582,16509,17869,20823,22032,21268,21541,18284,15627,13340,11277,10048,18573
          Pessoas que vivem numa família clássica,264652,43794,16377,16421,17775,20711,21909,21158,21420,18166,15505,13222,11107,9846,17241
          Pessoas num núcleo familiar,232168,43034,15819,15552,16395,18815,20116,19336,19415,16099,13119,10692,8182,6594,9000
          Pessoas casadas,108056,0,71,1051,4667,10251,13245,13597,14406,12467,10733,9013,6926,5351,6278
          Parceiros numa união de facto,16072,0,169,1433,2792,2990,2500,1857,1557,1121,703,408,249,156,137
          Pessoas em núcleos monoparentais,15206,0,86,399,678,970,1384,1628,1759,1524,1192,1033,914,1062,2577
          Pai em núcleo monoparental,1791,0,1,15,36,94,136,182,208,219,157,125,113,126,379
          Mãe em núcleo monoparental,13415,0,85,384,642,876,1248,1446,1551,1305,1035,908,801,936,2198
          Filhos,92834,43034,15493,12669,8258,4604,2987,2254,1693,987,491,238,93,25,8
          Não de um núcleo monoparental,70625,36254,12411,9837,6020,2981,1515,843,506,186,58,13,0,1,0
          De um núcleo monoparental,22209,6780,3082,2832,2238,1623,1472,1411,1187,801,433,225,93,24,8
          Pessoas sem núcleo familiar,32484,760,558,869,1380,1896,1793,1822,2005,2067,2386,2530,2925,3252,8241
          Que residem sozinhos,18141,0,37,263,739,1314,1316,1287,1295,1273,1425,1455,1734,1827,4176
          Que não residem sozinhos,14343,760,521,606,641,582,477,535,710,794,961,1075,1191,1425,4065
          Pessoas a residirem com familiares,13348,689,467,525,518,454,395,471,648,730,903,1045,1151,1386,3966
          Pessoas a residirem apenas com não familiares,995,71,54,81,123,128,82,64,62,64,58,30,40,39,99
          Pessoas que não vivem numa família clássica,3133,218,205,88,94,112,123,110,121,118,122,118,170,202,1332
          Pessoas numa família institucional,3111,218,205,88,94,110,120,105,116,116,120,117,170,201,1331
          Pessoas sem-abrigo,22,0,0,0,0,2,3,5,5,2,2,1,0,1,1
