"5.01 - NÚCLEOS FAMILIARES, SEGUNDO O NÚMERO DE PESSOAS DO NÚCLEO, POR TIPO DE FAMILIA CLÁSSICA E DE NÚCLEO",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Núcleos segundo o número de pessoas,,,,,,,,,,Pessoas no núcleo,,,
Tipo de família,Total,Com 2,Com 3,Com 4,Com 5,Com 6,Com 7,Com 8,Com 9,Com 10 ou mais,,,,
        Pai com filho(s) tendo o mais novo 25 ou mais anos,24959,21504,3026,345,62,16,6,0,0,0,53914,,,
          Pai com filho(s) tendo o mais novo 25 ou mais anos sem outras pessoas,23228,20038,2800,319,50,15,6,0,0,0,50134,,,
          Pai com filho(s) tendo o mais novo 25 ou mais anos com outras pessoas,1731,1466,226,26,12,1,0,0,0,0,3780,,,
        Mãe com pelo menos um filho com menos de 25 anos,216160,124017,72023,15910,3119,821,192,61,11,6,550259,,,
          Mãe com pelo menos um filho com menos de 25 anos sem outras pessoas,184409,103659,63245,13851,2718,716,153,50,11,6,471977,,,
          Mãe com pelo menos um filho com menos de 25 anos com outras pessoas,31751,20358,8778,2059,401,105,39,11,0,0,78282,,,
        Mãe com filho(s) tendo o mais novo 25 ou mais anos,142759,121771,18104,2338,433,87,16,7,2,1,310090,,,
          Mãe com filho(s) tendo o mais novo 25 ou mais anos sem outras pessoas,130624,111479,16535,2123,384,79,16,6,2,0,283627,,,
          Mãe com filho(s) tendo o mais novo 25 ou mais anos com outras pessoas,12135,10292,1569,215,49,8,0,1,0,1,26463,,,
      Famílias com dois núcleos,228976,139691,61457,22933,3719,843,241,66,13,13,581609,,,
        Famílias sem filhos nos dois núcleos,27566,27566,0,0,0,0,0,0,0,0,55132,,,
          Famílias sem filhos nos dois núcleos sem outras pessoas,24284,24284,0,0,0,0,0,0,0,0,48568,,,
          Famílias sem filhos nos dois núcleos com outras pessoas,3282,3282,0,0,0,0,0,0,0,0,6564,,,
        Famílias com filhos só num dos núcleos,125544,81352,28887,13290,1675,263,60,11,3,3,313044,,,
          Famílias com filhos só num dos núcleos sem outras pessoas,113794,73662,26072,12287,1486,221,53,9,1,3,283927,,,
          Famílias com filhos só num dos núcleos com outras pessoas,11750,7690,2815,1003,189,42,7,2,2,0,29117,,,
        Famílias com filhos nos dois núcleos,75866,30773,32570,9643,2044,580,181,55,10,10,213433,,,
          Famílias com filhos nos dois núcleos sem outras pessoas,66058,26780,28542,8322,1727,463,163,47,7,7,185541,,,
          Famílias com filhos nos dois núcleos com outras pessoas,9808,3993,4028,1321,317,117,18,8,3,3,27892,,,
      Famílias com três ou mais núcleos,12797,7392,3587,1346,326,98,29,11,8,0,0,,,
        Famílias com três ou mais núcleos sem outras pessoas,10812,6319,3028,1096,253,78,22,9,7,0,28128,,,
        Famílias com três ou mais núcleos com outras pessoas,1985,1073,559,250,73,20,7,2,1,0,5382,,,
