"4.10 - FAMÍLIAS CLÁSSICAS, SEGUNDO O NÍVEL DE ESCOLARIDADE ATINGIDO E O SEXO DO REPRESENTANTE DA FAMÍLIA, POR TIPO DE FAMÍLIA ",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Zona Geográfica,Nível de escolaridade e sexo do representante da família,,,,,,,,,,,,,,
Tipo de família com base no número de núcleos familiares,Total,Sem nível de escolaridade,,Básico - 1º ciclo,,Básico - 2º ciclo,,Básico - 3º ciclo,,Secundário,,Pós-secundário,,Ensino superior ,
      Casal de facto sem filhos,144405,4735,2910,25027,16357,9718,7149,22256,16310,34728,24225,2893,2036,45048,26120
      Casal de facto sem filhos sem outras pessoas,133922,3889,2622,21485,14814,8791,6642,20525,15387,32836,23172,2779,1964,43617,25439
      Casal de facto sem filhos com outras pessoas,10483,846,288,3542,1543,927,507,1731,923,1892,1053,114,72,1431,681
      Casal de facto com pelo menos um filho com menos de 25 anos,183186,4292,2765,27914,19272,24584,18028,43121,30025,46463,30587,2592,1724,34220,19692
      Casal de facto com pelo menos um filho com menos de 25 anos sem outras pessoas,169489,3277,2447,23595,17396,22697,16870,40326,28366,44080,29192,2470,1649,33044,19109
      Casal de facto com pelo menos um filho com menos de 25 anos com outras pessoas,13697,1015,318,4319,1876,1887,1158,2795,1659,2383,1395,122,75,1176,583
      Casal de facto com filho(s) tendo o mais novo 25 ou mais anos,8915,671,435,3955,2401,857,467,1273,677,1137,563,12,5,1010,458
      Casal de facto com filho(s) tendo o mais novo 25 ou mais anos sem outras pessoas,8024,571,385,3573,2200,760,424,1142,603,1036,511,9,3,933,428
      Casal de facto com filho(s) tendo o mais novo 25 ou mais anos com outras pessoas,891,100,50,382,201,97,43,131,74,101,52,3,2,77,30
      Pai com pelo menos um filho com menos de 25 anos,30441,1069,659,7611,6443,3693,3576,5532,5355,6531,6359,153,145,5852,5694
      Pai com pelo menos um filho com menos de 25 anos sem outras pessoas,25985,557,556,5825,5813,3275,3269,4882,4852,5917,5843,134,128,5395,5338
      Pai com pelo menos um filho com menos de 25 anos com outras pessoas,4456,512,103,1786,630,418,307,650,503,614,516,19,17,457,356
      Pai com filho(s) tendo o mais novo 25 ou mais anos,24959,3262,3129,12944,12258,1506,1322,2355,2105,2241,1864,37,22,2614,2062
      Pai com filho(s) tendo o mais novo 25 ou mais anos sem outras pessoas,23228,3010,2975,12105,11646,1401,1238,2178,1961,2057,1731,33,19,2444,1937
      Pai com filho(s) tendo o mais novo 25 ou mais anos com outras pessoas,1731,252,154,839,612,105,84,177,144,184,133,4,3,170,125
      Mãe com pelo menos um filho com menos de 25 anos,216160,6085,327,40260,1471,24547,381,43029,825,52364,1103,1926,91,47949,609
      Mãe com pelo menos um filho com menos de 25 anos sem outras pessoas,184409,3245,5,29201,23,21331,72,37746,351,46955,573,1745,64,44186,295
      Mãe com pelo menos um filho com menos de 25 anos com outras pessoas,31751,2840,322,11059,1448,3216,309,5283,474,5409,530,181,27,3763,314
      Mãe com filho(s) tendo o mais novo 25 ou mais anos,142759,23195,267,67617,2644,8756,1499,14178,2294,13128,2768,228,132,15657,2254
      Mãe com filho(s) tendo o mais novo 25 ou mais anos sem outras pessoas,130624,21439,179,61861,2288,7955,1376,12894,2108,11900,2500,211,120,14364,2038
      Mãe com filho(s) tendo o mais novo 25 ou mais anos com outras pessoas,12135,1756,88,5756,356,801,123,1284,186,1228,268,17,12,1293,216
      Famílias com dois núcleos,114488,9338,6124,65206,52813,11677,8838,12642,9014,9775,6502,237,143,5613,3475
      Famílias sem filhos nos dois núcleos,13783,865,777,7949,7372,1378,1204,1515,1309,1296,1007,26,19,754,564
      Famílias sem filhos nos dois núcleos sem outras pessoas,12142,726,675,7036,6587,1202,1064,1344,1167,1140,897,23,17,671,514
      Famílias sem filhos nos dois núcleos com outras pessoas,1641,139,102,913,785,176,140,171,142,156,110,3,2,83,50
      Famílias com filhos só num dos núcleos,62772,4640,3857,36993,33006,6010,4923,6528,5145,5264,3792,131,80,3206,2066
      Famílias com filhos só num dos núcleos sem outras pessoas,56897,4109,3557,33576,30334,5458,4495,5892,4684,4810,3477,116,72,2936,1900
      Famílias com filhos só num dos núcleos com outras pessoas,5875,531,300,3417,2672,552,428,636,461,454,315,15,8,270,166
      Famílias com filhos nos dois núcleos,37933,3833,1490,20264,12435,4289,2711,4599,2560,3215,1703,80,44,1653,845
      Famílias com filhos nos dois núcleos sem outras pessoas,33029,3226,1312,17708,11160,3798,2452,3989,2264,2806,1508,70,37,1432,750
      Famílias com filhos nos dois núcleos com outras pessoas,4904,607,178,2556,1275,491,259,610,296,409,195,10,7,221,95
      Famílias com três ou mais núcleos,4183,526,311,2604,1968,348,235,355,222,246,144,6,4,98,76
      Famílias com três ou mais núcleos sem outras pessoas,3540,437,270,2227,1721,290,198,295,193,206,125,4,2,81,64
      Famílias com três ou mais núcleos com outras pessoas,643,89,41,377,247,58,37,60,29,40,19,2,2,17,12
