"5.09 - PESSOAS RESIDENTES SEGUNDO O GRUPO ETÁRIO, POR ESTATUTO DA PESSOA NO NÚCLEO FAMILIAR ",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Zona Geográfica,Total,Menos de 15 anos,De 15 a 19 anos,De 20 a 24 anos,De 25 a 29 anos,De 30 a 34 anos,De 35 a 39 anos,De 40 a 44 anos,De 45 a 49 anos,De 50 a 54 anos,De 55 a 59 anos,De 60 a 64 anos,De 65 a 69 anos,De 70 a 74 anos,De 75 ou mais anos
          Pessoas em núcleos monoparentais,90381,2,247,1376,3325,6345,9643,11111,11655,9657,6998,5355,4746,5074,14847
            Pai em núcleo monoparental,12313,0,4,55,207,459,872,1211,1577,1464,1217,979,735,843,2690
            Mãe em núcleo monoparental,78068,2,243,1321,3118,5886,8771,9900,10078,8193,5781,4376,4011,4231,12157
          Filhos,660726,313272,110664,93148,60203,30727,17432,12438,9738,6291,3654,2014,798,270,77
            Não de um núcleo monoparental,539617,272705,91980,77573,49045,23164,11280,6811,4114,1954,729,221,37,3,1
            De um núcleo monoparental,121109,40567,18684,15575,11158,7563,6152,5627,5624,4337,2925,1793,761,267,76
      Lisboa,2368374,427816,134172,131391,149564,186607,203212,179449,169208,157354,149619,144615,119617,92058,123692
          Parceiros,1394978,0,2375,23455,78829,141640,163966,145693,138005,132724,132362,132828,111477,85194,106430
            Parceiros casados,1113872,0,342,5973,32512,84202,116367,113111,113470,114351,118910,123928,106093,81801,102812
            Parceiros numa união de facto,281106,0,2033,17482,46317,57438,47599,32582,24535,18373,13452,8900,5384,3393,3618
          Pessoas em núcleos monoparentais,154728,5,815,3859,7234,12413,18939,20304,20885,17373,12832,9211,7124,6550,17184
            Pai em núcleo monoparental,21136,0,18,170,572,1154,2083,2478,3016,2818,2287,1676,1238,1089,2537
            Mãe em núcleo monoparental,133592,5,797,3689,6662,11259,16856,17826,17869,14555,10545,7535,5886,5461,14647
          Filhos,818668,427811,130982,104077,63501,32554,20307,13452,10318,7257,4425,2576,1016,314,78
            Não de um núcleo monoparental,606169,341830,96412,75925,45445,21386,11850,6563,3833,1933,735,214,38,5,0
            De um núcleo monoparental,212499,85981,34570,28152,18056,11168,8457,6889,6485,5324,3690,2362,978,309,78
      Alentejo,643649,100518,33863,35146,38410,45827,48790,47001,48175,46124,42727,39701,34880,33335,49152
          Parceiros,405046,0,922,6494,18738,33653,39705,39187,41065,40773,39083,37171,32952,31394,43909
            Parceiros casados,345606,0,140,1809,8948,22717,30898,32911,35782,36592,36299,35243,31590,30288,42389
            Parceiros numa união de facto,59440,0,782,4685,9790,10936,8807,6276,5283,4181,2784,1928,1362,1106,1520
          Pessoas em núcleos monoparentais,30841,0,110,578,1246,2333,3303,3629,3831,3075,2265,1790,1639,1826,5216
            Pai em núcleo monoparental,4692,0,5,24,93,244,359,510,618,580,458,339,249,281,932
            Mãe em núcleo monoparental,26149,0,105,554,1153,2089,2944,3119,3213,2495,1807,1451,1390,1545,4284
          Filhos,207762,100518,32831,28074,18426,9841,5782,4185,3279,2276,1379,740,289,115,27
            Não de um núcleo monoparental,166973,86345,26915,23120,14977,7289,3680,2214,1381,681,279,74,14,4,0
            De um núcleo monoparental,40789,14173,5916,4954,3449,2552,2102,1971,1898,1595,1100,666,275,111,27
      Algarve,382013,65564,21354,20744,23885,29300,31894,29611,28306,26066,24386,22554,19068,15930,23351
          Parceiros,232572,0,581,4625,13345,22362,25886,24218,23442,22362,21788,20858,17885,14895,20325
            Parceiros casados,182422,0,111,1342,5619,13050,17772,18466,18628,18742,19242,19135,16752,14144,19419
            Parceiros numa união de facto,50150,0,470,3283,7726,9312,8114,5752,4814,3620,2546,1723,1133,751,906
          Pessoas em núcleos monoparentais,22723,0,82,474,1064,1969,2762,3139,3057,2316,1710,1204,956,984,3006
            Pai em núcleo monoparental,3306,0,3,15,81,171,280,377,483,419,366,259,166,199,487
            Mãe em núcleo monoparental,19417,0,79,459,983,1798,2482,2762,2574,1897,1344,945,790,785,2519
          Filhos,126718,65564,20691,15645,9476,4969,3246,2254,1807,1388,888,492,227,51,20
            Não de um núcleo monoparental,96496,53687,15771,11958,7040,3469,1965,1149,796,426,169,54,10,1,1
            De um núcleo monoparental,30222,11877,4920,3687,2436,1500,1281,1105,1011,962,719,438,217,50,19
    Região Autónoma dos Açores,218690,43293,16292,16667,16960,18713,18036,16538,16351,14573,11893,9365,7290,5416,7303
        Parceiros,120938,0,583,4126,9707,14465,14901,13986,14087,12904,10740,8493,6545,4716,5685
          Parceiros casados,108010,0,256,2527,7279,12015,13051,12632,12953,12159,10303,8226,6365,4633,5611
          Parceiros numa união de facto,12928,0,327,1599,2428,2450,1850,1354,1134,745,437,267,180,83,74
        Pessoas em núcleos monoparentais,10732,0,88,337,512,861,1059,1099,1210,1031,839,704,693,687,1612
          Pai em núcleo monoparental,1466,0,1,9,44,76,123,119,195,166,148,133,106,103,243
          Mãe em núcleo monoparental,9266,0,87,328,468,785,936,980,1015,865,691,571,587,584,1369
        Filhos,87020,43293,15621,12204,6741,3387,2076,1453,1054,638,314,168,52,13,6
          Não de um núcleo monoparental,70898,37875,13110,10098,5320,2302,1157,544,320,121,42,8,1,0,0
          De um núcleo monoparental,16122,5418,2511,2106,1421,1085,919,909,734,517,272,160,51,13,6
      Região Autónoma dos Açores,218690,43293,16292,16667,16960,18713,18036,16538,16351,14573,11893,9365,7290,5416,7303
          Parceiros,120938,0,583,4126,9707,14465,14901,13986,14087,12904,10740,8493,6545,4716,5685
            Parceiros casados,108010,0,256,2527,7279,12015,13051,12632,12953,12159,10303,8226,6365,4633,5611
            Parceiros numa união de facto,12928,0,327,1599,2428,2450,1850,1354,1134,745,437,267,180,83,74
          Pessoas em núcleos monoparentais,10732,0,88,337,512,861,1059,1099,1210,1031,839,704,693,687,1612
            Pai em núcleo monoparental,1466,0,1,9,44,76,123,119,195,166,148,133,106,103,243
            Mãe em núcleo monoparental,9266,0,87,328,468,785,936,980,1015,865,691,571,587,584,1369
          Filhos,87020,43293,15621,12204,6741,3387,2076,1453,1054,638,314,168,52,13,6
            Não de um núcleo monoparental,70898,37875,13110,10098,5320,2302,1157,544,320,121,42,8,1,0,0
            De um núcleo monoparental,16122,5418,2511,2106,1421,1085,919,909,734,517,272,160,51,13,6
    Região Autónoma da Madeira,232168,43034,15819,15552,16395,18815,20116,19336,19415,16099,13119,10692,8182,6594,9000
        Parceiros,124128,0,240,2484,7459,13241,15745,15454,15963,13588,11436,9421,7175,5507,6415
          Parceiros casados,108056,0,71,1051,4667,10251,13245,13597,14406,12467,10733,9013,6926,5351,6278
          Parceiros numa união de facto,16072,0,169,1433,2792,2990,2500,1857,1557,1121,703,408,249,156,137
        Pessoas em núcleos monoparentais,15206,0,86,399,678,970,1384,1628,1759,1524,1192,1033,914,1062,2577
          Pai em núcleo monoparental,1791,0,1,15,36,94,136,182,208,219,157,125,113,126,379
          Mãe em núcleo monoparental,13415,0,85,384,642,876,1248,1446,1551,1305,1035,908,801,936,2198
        Filhos,92834,43034,15493,12669,8258,4604,2987,2254,1693,987,491,238,93,25,8
          Não de um núcleo monoparental,70625,36254,12411,9837,6020,2981,1515,843,506,186,58,13,0,1,0
          De um núcleo monoparental,22209,6780,3082,2832,2238,1623,1472,1411,1187,801,433,225,93,24,8
      Região Autónoma da Madeira,232168,43034,15819,15552,16395,18815,20116,19336,19415,16099,13119,10692,8182,6594,9000
          Parceiros,124128,0,240,2484,7459,13241,15745,15454,15963,13588,11436,9421,7175,5507,6415
            Parceiros casados,108056,0,71,1051,4667,10251,13245,13597,14406,12467,10733,9013,6926,5351,6278
            Parceiros numa união de facto,16072,0,169,1433,2792,2990,2500,1857,1557,1121,703,408,249,156,137
          Pessoas em núcleos monoparentais,15206,0,86,399,678,970,1384,1628,1759,1524,1192,1033,914,1062,2577
            Pai em núcleo monoparental,1791,0,1,15,36,94,136,182,208,219,157,125,113,126,379
            Mãe em núcleo monoparental,13415,0,85,384,642,876,1248,1446,1551,1305,1035,908,801,936,2198
          Filhos,92834,43034,15493,12669,8258,4604,2987,2254,1693,987,491,238,93,25,8
            Não de um núcleo monoparental,70625,36254,12411,9837,6020,2981,1515,843,506,186,58,13,0,1,0
            De um núcleo monoparental,22209,6780,3082,2832,2238,1623,1472,1411,1187,801,433,225,93,24,8
