"2.05 - EDIFÍCIOS, SEGUNDO A ÉPOCA DE CONSTRUÇÃO, POR NECESSIDADES DE REPARAÇÃO",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Época de construção,,,,,,,,,,,,,
Necessidades de reparação,Total,antes de 1919,1919-1945,1946-1960,1961-1970,1971-1980,1981-1990,1991-1995,1996 - 2000,2001-2005,2006-2011,,,
        Pequenas,682377,43207,74852,105774,111875,138072,108201,40072,32005,20190,8129,,,
        Médias,308643,37645,57701,64497,52138,47082,28145,8817,6378,3884,2356,,,
        Grandes,127576,26669,34475,27480,16451,11730,5874,1817,1349,936,795,,,
        Muito grandes,72769,25944,21866,11975,5625,3677,1820,578,494,371,419,,,
      Norte,1209911,71817,87996,112397,133424,206637,216376,100530,104083,103963,72688,,,
        Na cobertura,1209911,71817,87996,112397,133424,206637,216376,100530,104083,103963,72688,,,
          Nenhumas,782685,22894,28210,45902,67031,128723,156781,79710,89014,95279,69141,,,
          Pequenas,245888,16484,23849,32338,38509,52600,44375,16297,12090,6865,2481,,,
          Médias,111784,14304,18386,21030,19395,19026,11908,3481,2244,1340,670,,,
          Grandes,45962,9707,11089,9330,6380,4911,2549,817,551,349,279,,,
          Muito grandes,23592,8428,6462,3797,2109,1377,763,225,184,130,117,,,
        Na estrutura,1209911,71817,87996,112397,133424,206637,216376,100530,104083,103963,72688,,,
          Nenhumas,814772,24543,30138,49000,71494,136650,164539,82561,90869,95888,69090,,,
          Pequenas,229821,16222,23287,31396,36600,48469,39450,14295,10969,6552,2581,,,
          Médias,100554,13716,17622,19424,17440,16178,9792,2846,1760,1119,657,,,
          Grandes,42652,9323,10703,8904,5929,4169,2042,664,359,296,263,,,
          Muito grandes,22112,8013,6246,3673,1961,1171,553,164,126,108,97,,,
        Nas paredes e caixilharia exteriores,1209911,71817,87996,112397,133424,206637,216376,100530,104083,103963,72688,,,
          Nenhumas,762276,21559,26671,43412,64385,125985,153773,78109,87022,93455,67905,,,
          Pequenas,253340,16138,22938,32416,38992,53775,46443,17357,13675,8235,3371,,,
          Médias,119537,15020,19289,22134,20599,20359,12736,4020,2707,1707,966,,,
          Grandes,49253,10240,11977,10122,7070,5070,2693,830,506,423,322,,,
          Muito grandes,25505,8860,7121,4313,2378,1448,731,214,173,143,124,,,
      Centro,1111952,57408,100388,129672,134526,192304,176125,80440,86772,91517,62800,,,
        Na cobertura,1111952,57408,100388,129672,134526,192304,176125,80440,86772,91517,62800,,,
          Nenhumas,749646,17124,33195,57228,76574,134843,138357,68550,77528,86013,60234,,,
          Pequenas,207715,12706,26490,38140,36890,41204,29169,9541,7479,4364,1732,,,
          Médias,92980,11186,20783,21978,15329,12442,6749,1775,1379,846,513,,,
          Grandes,38575,8000,12215,8620,4369,2872,1379,422,291,204,203,,,
          Muito grandes,23036,8392,7705,3706,1364,943,471,152,95,90,118,,,
        Na estrutura,1111952,57408,100388,129672,134526,192304,176125,80440,86772,91517,62800,,,
          Nenhumas,773899,18014,34729,60223,80568,141394,143439,70030,78602,86576,60324,,,
          Pequenas,193687,12587,25868,36979,34748,37154,25648,8410,6661,3960,1672,,,
          Médias,85235,10703,20076,20596,13849,10507,5526,1541,1190,734,513,,,
          Grandes,37244,7936,12361,8346,4073,2473,1111,340,246,177,181,,,
          Muito grandes,21887,8168,7354,3528,1288,776,401,119,73,70,110,,,
        Nas paredes e caixilharia exteriores,1111952,57408,100388,129672,134526,192304,176125,80440,86772,91517,62800,,,
          Nenhumas,716374,15534,29930,52198,71657,129001,133501,66015,75272,84180,59086,,,
          Pequenas,222596,12399,25789,39120,38847,44937,32513,11412,9201,5816,2562,,,
          Médias,102742,11605,21971,23927,17189,13999,7967,2367,1815,1168,734,,,
          Grandes,44207,8700,13884,10157,5190,3293,1615,478,367,262,261,,,
          Muito grandes,26033,9170,8814,4270,1643,1074,529,168,117,91,157,,,
      Lisboa,448957,22297,28955,54006,59963,83916,71920,32031,35452,35446,24971,,,
        Na cobertura,448957,22297,28955,54006,59963,83916,71920,32031,35452,35446,24971,,,
          Nenhumas,296024,7332,11228,25063,31806,53525,53607,25854,30392,33063,24154,,,
          Pequenas,93088,5574,8084,15748,17996,21090,13700,4659,3865,1849,523,,,
          Médias,38109,4198,5212,8554,7265,6781,3516,1163,850,402,168,,,
          Grandes,13828,2639,2720,3173,2094,1783,795,262,215,79,68,,,
          Muito grandes,7908,2554,1711,1468,802,737,302,93,130,53,58,,,
        Na estrutura,448957,22297,28955,54006,59963,83916,71920,32031,35452,35446,24971,,,
          Nenhumas,306737,7686,11645,26937,34140,56393,55500,26274,30805,33160,24197,,,
          Pequenas,87780,5468,7959,15343,16674,19485,12416,4441,3642,1829,523,,,
          Médias,33957,3981,4976,7486,6566,5782,3023,1006,688,308,141,,,
          Grandes,12960,2657,2632,2878,1863,1603,725,238,206,102,56,,,
          Muito grandes,7523,2505,1743,1362,720,653,256,72,111,47,54,,,
        Nas paredes e caixilharia exteriores,448957,22297,28955,54006,59963,83916,71920,32031,35452,35446,24971,,,
          Nenhumas,282255,6710,10279,23351,30007,51302,51083,24463,29119,32043,23898,,,
          Pequenas,100565,5601,8190,16386,18719,22306,15374,5769,4780,2744,696,,,
          Médias,42461,4390,5689,9299,8112,7526,4225,1411,1085,490,234,,,
          Grandes,15351,2958,2926,3437,2287,2029,920,290,332,97,75,,,
          Muito grandes,8325,2638,1871,1533,838,753,318,98,136,72,68,,,
      Alentejo,383866,32538,54373,52225,45213,52443,48055,23571,27675,28601,19172,,,
        Na cobertura,383866,32538,54373,52225,45213,52443,48055,23571,27675,28601,19172,,,
          Nenhumas,267657,14208,26059,28749,28888,38861,39890,20437,25298,27015,18252,,,
          Pequenas,64438,6340,13229,12836,10209,9491,6210,2508,1883,1156,576,,,
          Médias,29670,4728,8056,6681,4296,3043,1511,476,384,275,220,,,
          Grandes,12958,3448,4096,2648,1309,785,307,115,66,107,77,,,
          Muito grandes,9143,3814,2933,1311,511,263,137,35,44,48,47,,,
        Na estrutura,383866,32538,54373,52225,45213,52443,48055,23571,27675,28601,19172,,,
          Nenhumas,277352,15062,27764,30487,30429,40495,41008,20901,25647,27224,18335,,,
          Pequenas,60419,6352,12872,12315,9537,8601,5442,2135,1609,1015,541,,,
          Médias,26032,4371,7247,5889,3679,2495,1221,388,333,227,182,,,
          Grandes,11634,3180,3785,2350,1103,641,251,106,56,93,69,,,
          Muito grandes,8429,3573,2705,1184,465,211,133,41,30,42,45,,,
        Nas paredes e caixilharia exteriores,383866,32538,54373,52225,45213,52443,48055,23571,27675,28601,19172,,,
          Nenhumas,263570,13973,25828,28392,28465,38203,39042,20194,24883,26637,17953,,,
          Pequenas,67982,6577,13585,13148,10599,10052,6801,2664,2228,1511,817,,,
          Médias,30063,4812,7930,6643,4320,3125,1706,540,433,297,257,,,
          Grandes,12990,3354,4069,2686,1310,819,347,113,87,112,93,,,
          Muito grandes,9261,3822,2961,1356,519,244,159,60,44,44,52,,,
      Algarve,198924,11109,16420,17312,17507,30068,34156,17158,18596,21328,15270,,,
        Na cobertura,198924,11109,16420,17312,17507,30068,34156,17158,18596,21328,15270,,,
          Nenhumas,145274,3996,6960,9101,10699,21624,27131,14475,16878,19830,14580,,,
          Pequenas,32636,2492,4215,4564,4333,6158,5458,2218,1386,1285,527,,,
          Médias,12321,1860,2693,2223,1713,1668,1259,361,262,162,120,,,
          Grandes,5138,1306,1509,927,516,457,240,75,48,33,27,,,
          Muito grandes,3555,1455,1043,497,246,161,68,29,22,18,16,,,
        Na estrutura,198924,11109,16420,17312,17507,30068,34156,17158,18596,21328,15270,,,
          Nenhumas,147922,4406,7319,9360,11053,22111,27457,14695,16975,19916,14630,,,
          Pequenas,31658,2385,4225,4520,4197,5912,5335,2027,1351,1223,483,,,
          Médias,11195,1673,2493,2081,1546,1498,1101,329,213,147,114,,,
          Grandes,4889,1263,1434,922,485,408,201,79,41,25,31,,,
          Muito grandes,3260,1382,949,429,226,139,62,28,16,17,12,,,
        Nas paredes e caixilharia exteriores,198924,11109,16420,17312,17507,30068,34156,17158,18596,21328,15270,,,
          Nenhumas,137770,3928,6530,8533,10030,20316,25193,13665,16056,19159,14360,,,
          Pequenas,37894,2492,4350,4704,4718,7002,7070,2870,2121,1884,683,,,
          Médias,13840,1818,2822,2494,1918,2073,1511,479,338,222,165,,,
          Grandes,5775,1417,1619,1078,594,519,299,106,57,42,44,,,
          Muito grandes,3645,1454,1099,503,247,158,83,38,24,21,18,,,
    Região Autónoma dos Açores,98818,7098,10145,11851,8749,10579,17236,6504,8710,9984,7962,,,
      Na cobertura,98818,7098,10145,11851,8749,10579,17236,6504,8710,9984,7962,,,
        Nenhumas,74762,4093,5782,7512,5716,7662,13481,5705,7987,9277,7547,,,
        Pequenas,14567,1394,2178,2508,1887,1978,2685,613,510,513,301,,,
        Médias,5861,831,1246,1173,721,619,777,131,155,141,67,,,
        Grandes,2454,448,606,462,295,234,238,46,45,44,36,,,
        Muito grandes,1174,332,333,196,130,86,55,9,13,9,11,,,
      Na estrutura,98818,7098,10145,11851,8749,10579,17236,6504,8710,9984,7962,,,
        Nenhumas,75885,4242,5983,7802,5924,7803,13700,5707,7984,9220,7520,,,
        Pequenas,14338,1379,2110,2388,1788,1952,2611,620,548,604,338,,,
        Médias,5256,725,1179,1036,649,532,688,124,137,125,61,,,
        Grandes,2297,447,571,449,277,230,191,43,27,26,36,,,
        Muito grandes,1042,305,302,176,111,62,46,10,14,9,7,,,
      Nas paredes e caixilharia exteriores,98818,7098,10145,11851,8749,10579,17236,6504,8710,9984,7962,,,
        Nenhumas,70825,3812,5524,7106,5349,7219,12659,5407,7604,8826,7319,,,
        Pequenas,17297,1531,2228,2791,2113,2295,3291,833,823,898,494,,,
        Médias,6703,876,1389,1242,828,729,927,193,227,196,96,,,
        Grandes,2712,516,660,504,319,239,293,58,38,44,41,,,
        Muito grandes,1281,363,344,208,140,97,66,13,18,20,12,,,
      Região Autónoma dos Açores,98818,7098,10145,11851,8749,10579,17236,6504,8710,9984,7962,,,
        Na cobertura,98818,7098,10145,11851,8749,10579,17236,6504,8710,9984,7962,,,
          Nenhumas,74762,4093,5782,7512,5716,7662,13481,5705,7987,9277,7547,,,
          Pequenas,14567,1394,2178,2508,1887,1978,2685,613,510,513,301,,,
          Médias,5861,831,1246,1173,721,619,777,131,155,141,67,,,
          Grandes,2454,448,606,462,295,234,238,46,45,44,36,,,
          Muito grandes,1174,332,333,196,130,86,55,9,13,9,11,,,
        Na estrutura,98818,7098,10145,11851,8749,10579,17236,6504,8710,9984,7962,,,
          Nenhumas,75885,4242,5983,7802,5924,7803,13700,5707,7984,9220,7520,,,
          Pequenas,14338,1379,2110,2388,1788,1952,2611,620,548,604,338,,,
          Médias,5256,725,1179,1036,649,532,688,124,137,125,61,,,
          Grandes,2297,447,571,449,277,230,191,43,27,26,36,,,
          Muito grandes,1042,305,302,176,111,62,46,10,14,9,7,,,
        Nas paredes e caixilharia exteriores,98818,7098,10145,11851,8749,10579,17236,6504,8710,9984,7962,,,
          Nenhumas,70825,3812,5524,7106,5349,7219,12659,5407,7604,8826,7319,,,
          Pequenas,17297,1531,2228,2791,2113,2295,3291,833,823,898,494,,,
          Médias,6703,876,1389,1242,828,729,927,193,227,196,96,,,
          Grandes,2712,516,660,504,319,239,293,58,38,44,41,,,
          Muito grandes,1281,363,344,208,140,97,66,13,18,20,12,,,
    Região Autónoma da Madeira,91961,4076,7419,9877,9449,12911,14977,7945,9004,9796,6507,,,
      Na cobertura,91961,4076,7419,9877,9449,12911,14977,7945,9004,9796,6507,,,
        Nenhumas,58750,1231,2508,4339,4850,7471,10196,5959,7441,8791,5964,,,
        Pequenas,18938,968,2098,2808,2666,3389,3306,1442,1195,712,354,,,
        Médias,8883,875,1504,1721,1271,1422,1103,413,258,204,112,,,
        Grandes,3469,555,757,684,447,465,266,89,81,70,55,,,
        Muito grandes,1921,447,552,325,215,164,106,42,29,19,22,,,
      Na estrutura,91961,4076,7419,9877,9449,12911,14977,7945,9004,9796,6507,,,
        Nenhumas,59973,1336,2665,4572,5071,7726,10313,6005,7477,8799,6009,,,
        Pequenas,18882,961,2036,2769,2626,3338,3350,1477,1208,781,336,,,
        Médias,8135,844,1453,1562,1170,1310,984,349,222,149,92,,,
        Grandes,3163,495,739,669,378,394,240,81,68,52,47,,,
        Muito grandes,1808,440,526,305,204,143,90,33,29,15,23,,,
      Nas paredes e caixilharia exteriores,91961,4076,7419,9877,9449,12911,14977,7945,9004,9796,6507,,,
        Nenhumas,55225,1215,2342,4082,4518,7061,9357,5509,7002,8372,5767,,,
        Pequenas,21639,957,2066,2958,2915,3668,4011,1831,1588,1111,534,,,
        Médias,9497,873,1611,1750,1368,1554,1209,477,307,222,126,,,
        Grandes,3576,566,810,743,434,455,272,92,81,65,58,,,
        Muito grandes,2024,465,590,344,214,173,128,36,26,26,22,,,
      Região Autónoma da Madeira,91961,4076,7419,9877,9449,12911,14977,7945,9004,9796,6507,,,
        Na cobertura,91961,4076,7419,9877,9449,12911,14977,7945,9004,9796,6507,,,
          Nenhumas,58750,1231,2508,4339,4850,7471,10196,5959,7441,8791,5964,,,
          Pequenas,18938,968,2098,2808,2666,3389,3306,1442,1195,712,354,,,
          Médias,8883,875,1504,1721,1271,1422,1103,413,258,204,112,,,
          Grandes,3469,555,757,684,447,465,266,89,81,70,55,,,
          Muito grandes,1921,447,552,325,215,164,106,42,29,19,22,,,
        Na estrutura,91961,4076,7419,9877,9449,12911,14977,7945,9004,9796,6507,,,
          Nenhumas,59973,1336,2665,4572,5071,7726,10313,6005,7477,8799,6009,,,
          Pequenas,18882,961,2036,2769,2626,3338,3350,1477,1208,781,336,,,
          Médias,8135,844,1453,1562,1170,1310,984,349,222,149,92,,,
          Grandes,3163,495,739,669,378,394,240,81,68,52,47,,,
          Muito grandes,1808,440,526,305,204,143,90,33,29,15,23,,,
        Nas paredes e caixilharia exteriores,91961,4076,7419,9877,9449,12911,14977,7945,9004,9796,6507,,,
          Nenhumas,55225,1215,2342,4082,4518,7061,9357,5509,7002,8372,5767,,,
          Pequenas,21639,957,2066,2958,2915,3668,4011,1831,1588,1111,534,,,
          Médias,9497,873,1611,1750,1368,1554,1209,477,307,222,126,,,
          Grandes,3576,566,810,743,434,455,272,92,81,65,58,,,
          Muito grandes,2024,465,590,344,214,173,128,36,26,26,22,,,
