"2.06 - EDIFÍCIOS, SEGUNDO A ÉPOCA DE CONSTRUÇÃO, POR ESTADO DE CONSERVAÇÃO",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Época de construção,,,,,,,,,,,,,
Estado de conservação,Total,antes de 1919,1919-1945,1946-1960,1961-1970,1971-1980,1981-1990,1991-1995,1996 - 2000,2001-2005,2006-2011,,,
          Grandes reparações,10637,2305,2252,2365,1491,1270,515,171,153,67,48,,,
        Muito degradado,6625,2274,1514,1188,634,564,203,63,92,43,50,,,
      Alentejo,383866,32538,54373,52225,45213,52443,48055,23571,27675,28601,19172,,,
        Sem necessidade de reparação,281834,15347,28589,31307,31237,41139,41513,21149,25862,27346,18345,,,
        Com necessidade de reparação,94096,13770,23262,19799,13556,11107,6423,2391,1784,1220,784,,,
          Pequenas reparações,59804,6620,13037,12331,9286,8408,5181,1980,1469,932,560,,,
          Reparações médias,23900,4166,6785,5445,3308,2176,1054,322,266,213,165,,,
          Grandes reparações,10392,2984,3440,2023,962,523,188,89,49,75,59,,,
        Muito degradado,7936,3421,2522,1119,420,197,119,31,29,35,43,,,
      Algarve,198924,11109,16420,17312,17507,30068,34156,17158,18596,21328,15270,,,
        Sem necessidade de reparação,151043,4478,7577,9765,11417,22627,28110,15061,17208,20140,14660,,,
        Com necessidade de reparação,44818,5316,7941,7149,5880,7317,5993,2073,1375,1175,599,,,
          Pequenas reparações,30350,2523,4295,4431,4080,5681,4915,1739,1153,1041,492,,,
          Reparações médias,10172,1628,2375,1919,1402,1289,905,274,184,109,87,,,
          Grandes reparações,4296,1165,1271,799,398,347,173,60,38,25,20,,,
        Muito degradado,3063,1315,902,398,210,124,53,24,13,13,11,,,
    Região Autónoma dos Açores,98818,7098,10145,11851,8749,10579,17236,6504,8710,9984,7962,,,
      Sem necessidade de reparação,77736,4310,6199,8047,6142,8069,14091,5839,8097,9348,7594,,,
      Com necessidade de reparação,20213,2529,3698,3657,2510,2456,3113,656,602,630,362,,,
        Pequenas reparações,13775,1519,2152,2368,1724,1817,2405,537,469,501,283,,,
        Reparações médias,4625,640,1079,939,555,462,574,94,114,113,55,,,
        Grandes reparações,1813,370,467,350,231,177,134,25,19,16,24,,,
      Muito degradado,869,259,248,147,97,54,32,9,11,6,6,,,
      Região Autónoma dos Açores,98818,7098,10145,11851,8749,10579,17236,6504,8710,9984,7962,,,
        Sem necessidade de reparação,77736,4310,6199,8047,6142,8069,14091,5839,8097,9348,7594,,,
        Com necessidade de reparação,20213,2529,3698,3657,2510,2456,3113,656,602,630,362,,,
          Pequenas reparações,13775,1519,2152,2368,1724,1817,2405,537,469,501,283,,,
          Reparações médias,4625,640,1079,939,555,462,574,94,114,113,55,,,
          Grandes reparações,1813,370,467,350,231,177,134,25,19,16,24,,,
        Muito degradado,869,259,248,147,97,54,32,9,11,6,6,,,
    Região Autónoma da Madeira,91961,4076,7419,9877,9449,12911,14977,7945,9004,9796,6507,,,
      Sem necessidade de reparação,62388,1408,2834,4844,5392,8131,10834,6227,7704,8974,6040,,,
      Com necessidade de reparação,28016,2288,4114,4769,3878,4658,4065,1695,1286,810,453,,,
        Pequenas reparações,18062,1028,2141,2803,2516,3165,3063,1340,1038,649,319,,,
        Reparações médias,7239,802,1326,1401,1042,1157,818,293,183,123,94,,,
        Grandes reparações,2715,458,647,565,320,336,184,62,65,38,40,,,
      Muito degradado,1557,380,471,264,179,122,78,23,14,12,14,,,
      Região Autónoma da Madeira,91961,4076,7419,9877,9449,12911,14977,7945,9004,9796,6507,,,
        Sem necessidade de reparação,62388,1408,2834,4844,5392,8131,10834,6227,7704,8974,6040,,,
        Com necessidade de reparação,28016,2288,4114,4769,3878,4658,4065,1695,1286,810,453,,,
          Pequenas reparações,18062,1028,2141,2803,2516,3165,3063,1340,1038,649,319,,,
          Reparações médias,7239,802,1326,1401,1042,1157,818,293,183,123,94,,,
          Grandes reparações,2715,458,647,565,320,336,184,62,65,38,40,,,
        Muito degradado,1557,380,471,264,179,122,78,23,14,12,14,,,
