"6.29 - POPULAÇÃO RESIDENTE, COM 15 OU MAIS ANOS, SEGUNDO O GRUPO ETÁRIO, POR PRINCIPAL MEIO DE VIDA E SEXO",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Zona Geográfica                                                      Principal meio de vida e sexo                                    ,Total,De 15 a 19 anos,De 20 a 24 anos,De 25 a 29 anos,De 30 a 34 anos,De 35 a 39 anos,De 40 a 44 anos,De 45 a 49 anos,De 50 a 54 anos,De 55 a 59 anos,De 60 a 64 anos,De 65 a 69 anos,De 70 ou 74 anos,De 75 ou mais anos,
                               H,358083,177,645,1189,1944,3029,3996,5965,9656,24369,55826,74069,67213,110005,
          Subsidio de desemprego      HM,126875,395,5220,9861,13146,15033,15194,17120,19373,20351,11122,60,0,0,
                                      H,60969,212,2446,4284,5295,6162,6715,8100,9591,11253,6881,30,0,0,
          Subsidio por acidente de trabalho ou doença profissional      HM,8018,43,188,312,501,765,987,1302,1434,1421,870,127,34,34,
                                                                        H,5342,33,132,210,356,507,651,873,951,957,571,73,16,12,
          Rendimento social de inserção      HM,50201,1313,4120,4506,5238,6712,7054,6926,5977,4780,2862,342,181,190,
                                             H,18945,532,1399,1483,1746,2282,2613,2872,2574,2097,1182,94,21,50,
"          Outro subsídio temporário (doença, maternidade, etc.)      HM",18751,292,1153,2074,2598,2197,1832,2149,2396,2399,1424,169,38,30,
                                                                     H,6302,98,203,241,376,524,711,938,1123,1287,727,62,7,5,
          Rendimento da propriedade ou da empresa      HM,13496,77,190,341,521,753,995,1376,1799,1959,2043,967,724,1751,
                                                       H,6627,48,99,202,272,400,514,691,928,979,1029,442,323,700,
          Apoio social      HM,15254,2447,2301,982,932,1250,1295,1335,1218,1076,759,493,433,733,
                            H,5602,1170,954,414,363,444,474,518,443,406,249,46,28,93,
          A cargo da família      HM,512882,180027,91676,31027,20257,23080,27245,32457,34299,31440,25817,7017,3955,4585,
                                  H,183499,90137,42835,14643,6854,5921,5625,5510,5050,4000,2356,273,107,188,
          Outro      HM,91127,11218,8051,6786,6695,7702,8453,9723,10374,9702,7789,1903,1097,1634,
                     H,35105,5728,3729,3149,2786,2964,3052,3400,3595,3286,2482,407,177,350,
      Centro      HM,2008497,118116,121132,134107,157863,167603,163432,167197,160346,151723,145228,134247,127352,260151,
                     H,947879,60247,61322,66751,77586,81625,79587,80852,77742,73174,68676,61508,57285,101524,
          Trabalho      HM,930727,6302,52499,102323,130153,137993,131133,127723,110842,79298,40152,8496,2406,1407,
                        H,497184,4071,29229,52371,67250,71302,68559,67266,60536,45496,23069,5404,1660,971,
          Reforma/ Pensão      HM,621714,247,740,1182,2061,3075,4199,6869,13003,33707,70407,116096,118908,251220,
                               H,278966,126,394,644,1074,1622,2171,3422,6243,16344,37122,55109,55077,99618,
          Subsidio de desemprego      HM,53592,134,1942,4541,6406,6531,6413,6954,7585,7841,5205,40,0,0,
                                      H,25353,76,850,1921,2540,2515,2635,3326,3788,4486,3201,15,0,0,
          Subsidio por acidente de trabalho ou doença profissional      HM,4087,8,91,149,210,293,436,606,770,850,522,76,31,45,
                                                                        H,2647,4,60,92,141,180,276,376,501,570,355,46,16,30,
          Rendimento social de inserção      HM,14413,408,1032,1309,1684,1817,1805,1804,1666,1447,974,215,112,140,
                                             H,5613,153,377,457,595,625,670,777,783,677,414,46,17,22,
"          Outro subsídio temporário (doença, maternidade, etc.)      HM",10077,170,729,1310,1763,1276,852,864,1137,1062,768,92,22,32,
                                                                     H,2762,43,91,116,154,253,286,345,516,532,372,42,4,8,
          Rendimento da propriedade ou da empresa      HM,8261,23,106,178,285,479,633,853,1089,1315,1337,563,462,938,
                                                       H,4170,14,60,120,171,254,333,437,570,662,662,276,220,391,
          Apoio social      HM,8211,1159,1242,640,604,621,626,635,618,546,411,371,293,445,
                            H,3106,470,538,283,269,272,257,279,257,234,129,33,23,62,
          A cargo da família      HM,303206,103585,58114,18454,10729,11437,12972,15631,17796,19470,19626,6640,4139,4613,
                                  H,107151,52137,27480,8991,3757,3030,2778,2695,2431,1996,1389,190,94,183,
          Outro      HM,54209,6080,4637,4021,3968,4081,4363,5258,5840,6187,5826,1658,979,1311,
                     H,20927,3153,2243,1756,1635,1572,1622,1929,2117,2177,1963,347,174,239,
      Lisboa      HM,2383995,143346,151697,182228,223103,234961,204016,192953,182884,178352,176613,151763,127059,235020,
                     H,1111029,73231,75625,88938,108190,114027,98098,91344,85225,81772,81319,69802,56343,87115,
          Trabalho      HM,1224317,7564,65656,139301,184459,194596,165862,152435,134596,103793,56490,13958,3529,2078,
                        H,610058,3775,32730,68458,91961,97258,82180,74875,66255,51992,28955,7967,2285,1367,
          Reforma/ Pensão      HM,614331,321,739,1018,1876,2707,3449,5325,11173,36610,87825,127261,116029,219998,
                               H,270729,145,367,539,1018,1415,1834,2598,5292,16644,43236,60331,53165,84145,
          Subsidio de desemprego      HM,72309,197,3001,6181,9149,10147,9015,9134,9388,9781,6267,49,0,0,
                                      H,36361,100,1398,2816,4068,4733,4606,4817,4996,5352,3455,20,0,0,
          Subsidio por acidente de trabalho ou doença profissional      HM,3874,16,83,186,313,480,497,548,626,612,409,76,9,19,
                                                                        H,1984,8,51,111,196,242,240,292,284,334,184,31,4,7,
          Rendimento social de inserção      HM,24373,855,1914,2463,2955,3376,3170,2917,2586,2052,1452,291,133,209,
                                             H,9761,374,718,794,992,1229,1314,1360,1266,965,619,93,19,18,
"          Outro subsídio temporário (doença, maternidade, etc.)      HM",13593,230,975,1790,2322,1965,1223,1121,1303,1433,1016,141,28,46,
                                                                     H,3141,44,105,148,215,313,330,394,487,614,431,42,7,11,
          Rendimento da propriedade ou da empresa      HM,11501,37,141,258,414,555,766,975,1199,1403,1642,1044,880,2187,
                                                       H,5077,20,73,145,218,293,386,449,572,645,756,451,368,701,
          Apoio social      HM,8771,1559,1174,681,675,800,711,632,616,487,349,236,266,585,
                            H,3501,700,494,273,284,343,301,310,276,223,136,50,45,66,
          A cargo da família      HM,342883,123888,71620,24221,14590,14050,13720,14301,15365,16113,15923,6750,4796,7546,
                                  H,139983,63424,36236,12465,6103,5108,4313,3763,3238,2625,1850,357,162,339,
          Outro      HM,68043,8679,6394,6129,6350,6285,5603,5565,6032,6068,5240,1957,1389,2352,
                     H,30434,4641,3453,3189,3135,3093,2594,2486,2559,2378,1697,460,288,461,
      Alentejo      HM,654528,35631,38122,42477,50637,53244,51325,52985,51600,48890,46629,43087,44895,95006,
                     H,313961,18120,19730,21809,25473,26744,25654,26183,25580,24321,22180,19567,19938,38662,
          Trabalho      HM,298022,1855,16675,31643,40561,42918,40642,40727,36351,27091,14575,3469,965,550,
                        H,160617,1182,9632,16892,21380,22636,21373,21482,19546,15225,8032,2187,671,379,
          Reforma/ Pensão      HM,217343,121,321,486,850,1100,1486,2225,4625,11163,23045,37150,42402,92369,
                               H,96717,55,153,258,454,569,744,1047,2238,5462,11612,17073,19084,37968,
          Subsidio de desemprego      HM,19157,54,794,1671,2217,2349,2350,2491,2597,2672,1942,20,0,0,
                                      H,9439,30,373,753,906,1001,1163,1239,1377,1504,1085,8,0,0,
          Subsidio por acidente de trabalho ou doença profissional      HM,985,6,25,31,87,87,131,142,164,175,113,11,6,7,
                                                                        H,596,1,19,20,62,58,81,85,94,108,59,7,1,1,
          Rendimento social de inserção      HM,7665,406,819,907,1088,1082,923,771,646,546,319,71,40,47,
                                             H,3135,183,324,353,372,400,382,337,313,284,155,21,6,5,
"          Outro subsídio temporário (doença, maternidade, etc.)      HM",3242,77,255,442,504,370,256,294,348,393,246,45,7,5,
                                                                     H,802,19,31,55,48,67,84,100,115,168,104,8,3,0,
          Rendimento da propriedade ou da empresa      HM,3148,15,39,77,109,177,252,350,460,438,457,210,175,389,
                                                       H,1602,6,23,43,57,101,130,186,247,218,244,102,86,159,
          Apoio social      HM,2320,398,328,196,189,192,174,177,129,128,98,87,91,133,
                            H,901,183,142,85,78,76,79,85,54,55,35,10,9,10,
          A cargo da família      HM,85577,30947,17406,5595,3468,3318,3529,4154,4494,4604,4426,1599,938,1099,
                                  H,32492,15565,8326,2621,1333,996,883,855,791,609,384,52,23,54,
          Outro      HM,17069,1752,1460,1429,1564,1651,1582,1654,1786,1680,1408,425,271,407,
                     H,7660,896,707,729,783,840,735,767,805,688,470,99,55,86,
      Algarve      HM,384032,22487,23086,27941,33909,36261,33491,32271,30510,29048,27259,23682,21254,42833,
                     H,185681,11592,11605,13745,16632,17977,16399,15794,15054,14230,13353,11536,10110,17654,
          Trabalho      HM,190319,1269,10347,20643,27027,29041,26260,24492,21535,16748,9664,2366,596,331,
                        H,99201,684,5399,10408,13780,14933,13441,12520,11274,9240,5477,1446,395,204,
          Reforma/ Pensão      HM,99807,50,80,183,267,425,547,904,1840,4949,11094,19498,19361,40609,
                               H,46504,30,49,93,160,245,285,434,887,2292,5643,9768,9518,17100,
          Subsidio de desemprego      HM,14103,33,709,1311,1878,1948,1872,1891,1816,1523,1118,4,0,0,
                                      H,6845,18,333,567,803,887,890,937,945,846,619,0,0,0,
          Subsidio por acidente de trabalho ou doença profissional      HM,768,3,16,38,40,76,69,108,126,122,130,23,8,9,
                                                                        H,467,3,14,26,34,42,47,65,70,69,75,11,4,7,
          Rendimento social de inserção      HM,3737,127,304,429,471,536,489,400,342,315,229,37,28,30,
                                             H,1568,53,120,158,166,218,188,182,169,168,128,11,5,2,
"          Outro subsídio temporário (doença, maternidade, etc.)      HM",2160,55,212,297,353,274,160,160,221,238,155,22,7,6,
                                                                     H,511,11,21,27,31,46,45,66,79,108,71,4,1,1,
          Rendimento da propriedade ou da empresa      HM,2633,5,19,32,63,123,179,239,351,433,450,233,174,332,
                                                       H,1331,2,9,14,40,65,77,132,186,208,254,116,85,143,
          Apoio social      HM,1897,254,223,144,169,174,180,139,143,127,107,52,56,129,
                            H,801,116,86,61,69,81,95,69,74,68,46,5,10,21,
          A cargo da família      HM,56108,19429,10286,3916,2615,2607,2608,2745,2827,3243,3023,1074,779,956,
                                  H,22864,10044,5160,1945,1081,972,846,817,738,636,473,56,37,59,
          Outro      HM,12500,1262,890,948,1026,1057,1127,1193,1309,1350,1289,373,245,431,
                     H,5589,631,414,446,468,488,485,572,632,595,567,119,55,117,
    Região Autónoma dos Açores    HM,202575,17011,17720,18410,20388,19577,17911,17987,16250,13707,11236,9363,7860,15155,
                 H,98930,8707,9061,9285,10283,9814,9073,9095,8128,6976,5389,4307,3360,5452,
        Trabalho    HM,101801,1165,8037,13366,16070,15335,13746,13071,10448,6597,3070,662,137,97,
                    H,57854,806,4768,7041,8638,8374,7672,7479,6247,4243,1997,419,97,73,
        Reforma/ Pensão    HM,42677,47,110,148,291,357,489,900,1755,3780,5705,7703,7142,14250,
                           H,19184,29,76,77,167,190,231,428,813,1940,2903,3801,3229,5300,
        Subsidio de desemprego    HM,4127,49,392,654,657,561,513,484,399,283,133,2,0,0,
                                  H,2395,30,196,340,344,291,303,312,274,214,90,1,0,0,
        Subsidio por acidente de trabalho ou doença profissional    HM,379,1,12,16,21,33,51,56,65,63,41,15,2,3,
                                                                    H,244,1,9,12,14,17,36,38,41,41,26,8,0,1,
        Rendimento social de inserção    HM,3535,207,393,467,504,527,448,404,301,165,87,19,5,8,
                                         H,1201,89,103,131,157,155,163,166,130,68,34,5,0,0,
"        Outro subsídio temporário (doença, maternidade, etc.)    HM",1643,28,122,181,217,144,118,150,232,226,170,41,4,10,
                                                                 H,518,5,19,20,25,29,50,67,107,92,89,12,0,3,
        Rendimento da propriedade ou da empresa    HM,849,18,24,31,48,60,72,102,129,119,88,51,32,75,
                                                   H,428,6,12,14,34,34,36,56,60,56,57,24,13,26,
        Apoio social    HM,1314,235,153,119,102,109,117,119,83,75,42,40,35,85,
                        H,505,111,49,50,35,40,52,55,39,33,20,7,3,11,
        A cargo da família    HM,40608,14279,7666,2903,2015,2014,1964,2243,2360,1966,1581,712,418,487,
                              H,14303,7170,3470,1355,638,494,352,322,251,146,78,6,9,12,
        Outro    HM,5642,982,811,525,463,437,393,458,478,433,319,118,85,140,
                 H,2298,460,359,245,231,190,178,172,166,143,95,24,9,26,
      Região Autónoma dos Açores      HM,202575,17011,17720,18410,20388,19577,17911,17987,16250,13707,11236,9363,7860,15155,
                     H,98930,8707,9061,9285,10283,9814,9073,9095,8128,6976,5389,4307,3360,5452,
          Trabalho      HM,101801,1165,8037,13366,16070,15335,13746,13071,10448,6597,3070,662,137,97,
                        H,57854,806,4768,7041,8638,8374,7672,7479,6247,4243,1997,419,97,73,
          Reforma/ Pensão      HM,42677,47,110,148,291,357,489,900,1755,3780,5705,7703,7142,14250,
                               H,19184,29,76,77,167,190,231,428,813,1940,2903,3801,3229,5300,
          Subsidio de desemprego      HM,4127,49,392,654,657,561,513,484,399,283,133,2,0,0,
                                      H,2395,30,196,340,344,291,303,312,274,214,90,1,0,0,
          Subsidio por acidente de trabalho ou doença profissional      HM,379,1,12,16,21,33,51,56,65,63,41,15,2,3,
                                                                        H,244,1,9,12,14,17,36,38,41,41,26,8,0,1,
          Rendimento social de inserção      HM,3535,207,393,467,504,527,448,404,301,165,87,19,5,8,
                                             H,1201,89,103,131,157,155,163,166,130,68,34,5,0,0,
"          Outro subsídio temporário (doença, maternidade, etc.)      HM",1643,28,122,181,217,144,118,150,232,226,170,41,4,10,
                                                                     H,518,5,19,20,25,29,50,67,107,92,89,12,0,3,
          Rendimento da propriedade ou da empresa      HM,849,18,24,31,48,60,72,102,129,119,88,51,32,75,
                                                       H,428,6,12,14,34,34,36,56,60,56,57,24,13,26,
          Apoio social      HM,1314,235,153,119,102,109,117,119,83,75,42,40,35,85,
                            H,505,111,49,50,35,40,52,55,39,33,20,7,3,11,
          A cargo da família      HM,40608,14279,7666,2903,2015,2014,1964,2243,2360,1966,1581,712,418,487,
                                  H,14303,7170,3470,1355,638,494,352,322,251,146,78,6,9,12,
          Outro      HM,5642,982,811,525,463,437,393,458,478,433,319,118,85,140,
                     H,2298,460,359,245,231,190,178,172,166,143,95,24,9,26,
    Região Autónoma da Madeira    HM,223773,16582,16509,17869,20823,22032,21268,21541,18284,15627,13340,11277,10048,18573,
                 H,103714,8421,8355,8889,10336,10943,10467,10266,8564,7298,5924,4569,3721,5961,
        Trabalho    HM,108106,719,6368,12273,16160,17038,15694,15150,11722,7875,3831,936,200,140,
                    H,55396,411,3404,6043,8040,8622,8001,7652,6057,4229,2129,557,137,114,
        Reforma/ Pensão    HM,50185,34,101,161,279,416,652,947,1423,3181,6279,9451,9363,17898,
                           H,18994,15,64,94,138,225,338,404,572,1461,2727,3780,3451,5725,
        Subsidio de desemprego    HM,8984,45,623,1076,1192,1267,1158,1219,1073,840,486,5,0,0,
                                  H,5467,22,309,589,681,774,727,768,712,572,311,2,0,0,
        Subsidio por acidente de trabalho ou doença profissional    HM,875,1,27,27,45,59,108,104,145,162,151,32,10,4,
                                                                    H,534,1,18,19,29,43,77,66,88,96,72,17,6,2,
        Rendimento social de inserção    HM,1987,55,121,147,221,258,271,257,269,210,134,29,7,8,
                                         H,707,29,34,31,81,81,107,102,105,80,47,5,3,2,
"        Outro subsídio temporário (doença, maternidade, etc.)    HM",1741,18,130,184,180,174,110,198,219,258,203,54,7,6,
                                                                 H,590,2,15,31,32,42,35,89,110,119,85,25,4,1,
        Rendimento da propriedade ou da empresa    HM,845,4,11,24,40,44,75,100,98,134,121,75,53,66,
                                                   H,492,2,6,15,25,28,46,61,60,72,73,40,32,32,
        Apoio social    HM,1855,387,245,138,112,134,168,186,145,126,106,24,32,52,
                        H,774,178,111,63,51,56,54,88,61,51,34,5,8,14,
        A cargo da família    HM,41572,14511,8150,3222,2019,1984,2274,2617,2387,2071,1413,430,231,263,
                              H,17071,7320,4020,1668,925,717,688,659,460,325,192,41,25,31,
        Outro    HM,7623,808,733,617,575,658,758,763,803,770,616,241,145,136,
                 H,3689,441,374,336,334,355,394,377,339,293,254,97,55,40,
      Região Autónoma da Madeira      HM,223773,16582,16509,17869,20823,22032,21268,21541,18284,15627,13340,11277,10048,18573,
                     H,103714,8421,8355,8889,10336,10943,10467,10266,8564,7298,5924,4569,3721,5961,
          Trabalho      HM,108106,719,6368,12273,16160,17038,15694,15150,11722,7875,3831,936,200,140,
                        H,55396,411,3404,6043,8040,8622,8001,7652,6057,4229,2129,557,137,114,
          Reforma/ Pensão      HM,50185,34,101,161,279,416,652,947,1423,3181,6279,9451,9363,17898,
                               H,18994,15,64,94,138,225,338,404,572,1461,2727,3780,3451,5725,
          Subsidio de desemprego      HM,8984,45,623,1076,1192,1267,1158,1219,1073,840,486,5,0,0,
                                      H,5467,22,309,589,681,774,727,768,712,572,311,2,0,0,
          Subsidio por acidente de trabalho ou doença profissional      HM,875,1,27,27,45,59,108,104,145,162,151,32,10,4,
                                                                        H,534,1,18,19,29,43,77,66,88,96,72,17,6,2,
          Rendimento social de inserção      HM,1987,55,121,147,221,258,271,257,269,210,134,29,7,8,
                                             H,707,29,34,31,81,81,107,102,105,80,47,5,3,2,
"          Outro subsídio temporário (doença, maternidade, etc.)      HM",1741,18,130,184,180,174,110,198,219,258,203,54,7,6,
                                                                     H,590,2,15,31,32,42,35,89,110,119,85,25,4,1,
          Rendimento da propriedade ou da empresa      HM,845,4,11,24,40,44,75,100,98,134,121,75,53,66,
                                                       H,492,2,6,15,25,28,46,61,60,72,73,40,32,32,
          Apoio social      HM,1855,387,245,138,112,134,168,186,145,126,106,24,32,52,
                            H,774,178,111,63,51,56,54,88,61,51,34,5,8,14,
          A cargo da família      HM,41572,14511,8150,3222,2019,1984,2274,2617,2387,2071,1413,430,231,263,
                                  H,17071,7320,4020,1668,925,717,688,659,460,325,192,41,25,31,
          Outro      HM,7623,808,733,617,575,658,758,763,803,770,616,241,145,136,
                     H,3689,441,374,336,334,355,394,377,339,293,254,97,55,40,
