"2.01 - EDIFÍCIOS, SEGUNDO O NÚMERO DE PISOS, POR PRINCIPAIS MATERIAIS UTILIZADOS NA CONSTRUÇÃO",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Edifícios segundo o número de pisos,,,,,,,,,,,,,
Principais materiais utilizados na construção,Total,1 piso,2 pisos,3 pisos,4 pisos,5 pisos,6 pisos,7 ou mais pisos,,,,,,
          Outros,3062,1976,378,203,163,118,81,143,,,,,,
      Revestimento exterior,448957,159072,150078,52804,36331,20659,10668,19345,,,,,,
          Reboco tradicional ou marmorite,421663,149434,144257,50114,33605,18561,9521,16171,,,,,,
          Pedra,11515,5331,2944,973,713,499,299,756,,,,,,
          Ladrilho cerâmico ou mosaico,12585,2307,2362,1512,1888,1478,808,2230,,,,,,
          Outros,3194,2000,515,205,125,121,40,188,,,,,,
      Cobertura,448957,159072,150078,52804,36331,20659,10668,19345,,,,,,
          Em terraço,16453,1625,2405,1694,2035,1882,1479,5333,,,,,,
          Inclinada,422282,156247,145738,49702,33051,17741,8349,11454,,,,,,
            Revestida a telhas cerâmicas ou de betão,410690,149695,144084,48984,32077,17091,8045,10714,,,,,,
            Revestida a outros materiais,11592,6552,1654,718,974,650,304,740,,,,,,
          Mista (inclinada e terraço),10222,1200,1935,1408,1245,1036,840,2558,,,,,,
   Alentejo,,,,,,,,,,,,,,
      Tipo de estrutura da construção,383866,273573,92982,11637,3262,1391,495,526,,,,,,
          Betão armado,122506,72186,39603,6386,2350,1072,424,485,,,,,,
          Paredes de alvenaria com placa,153407,107853,40528,3803,805,308,71,39,,,,,,
"          Paredes de alvenaria, sem placa",64832,54519,8988,1212,102,11,0,0,,,,,,
          Paredes de alvenaria de pedra solta ou de adobe,40792,36948,3620,224,0,0,0,0,,,,,,
          Outros,2329,2067,243,12,5,0,0,2,,,,,,
      Revestimento exterior,383866,273573,92982,11637,3262,1391,495,526,,,,,,
          Reboco tradicional ou marmorite,362782,257032,89348,11074,3129,1314,453,432,,,,,,
          Pedra,11834,9608,1834,327,30,23,10,2,,,,,,
          Ladrilho cerâmico ou mosaico,6926,4791,1640,219,101,51,32,92,,,,,,
          Outros,2324,2142,160,17,2,3,0,0,,,,,,
      Cobertura,383866,273573,92982,11637,3262,1391,495,526,,,,,,
          Em terraço,4315,1348,1877,546,252,137,73,82,,,,,,
          Inclinada,372638,269216,88262,10449,2793,1161,396,361,,,,,,
            Revestida a telhas cerâmicas ou de betão,366814,264209,87657,10348,2729,1151,378,342,,,,,,
            Revestida a outros materiais,5824,5007,605,101,64,10,18,19,,,,,,
          Mista (inclinada e terraço),6913,3009,2843,642,217,93,26,83,,,,,,
   Algarve,,,,,,,,,,,,,,
      Tipo de estrutura da construção,198924,102291,70267,15327,5448,2649,1174,1768,,,,,,
          Betão armado,114188,42912,48475,12715,4768,2486,1098,1734,,,,,,
          Paredes de alvenaria com placa,51051,29693,18060,2377,654,159,76,32,,,,,,
"          Paredes de alvenaria, sem placa",18219,16143,1911,140,23,2,0,0,,,,,,
          Paredes de alvenaria de pedra solta ou de adobe,14136,12331,1723,82,0,0,0,0,,,,,,
          Outros,1330,1212,98,13,3,2,0,2,,,,,,
      Revestimento exterior,198924,102291,70267,15327,5448,2649,1174,1768,,,,,,
          Reboco tradicional ou marmorite,186296,93183,67789,14872,5175,2496,1103,1678,,,,,,
          Pedra,6513,5577,745,87,39,20,4,41,,,,,,
          Ladrilho cerâmico ou mosaico,4861,2385,1651,349,230,130,67,49,,,,,,
          Outros,1254,1146,82,19,4,3,0,0,,,,,,
      Cobertura,198924,102291,70267,15327,5448,2649,1174,1768,,,,,,
          Em terraço,28659,11413,8200,3292,2337,1401,723,1293,,,,,,
          Inclinada,143581,81611,49429,8879,2221,867,301,273,,,,,,
            Revestida a telhas cerâmicas ou de betão,139576,78184,49102,8742,2139,858,296,255,,,,,,
            Revestida a outros materiais,4005,3427,327,137,82,9,5,18,,,,,,
          Mista (inclinada e terraço),26684,9267,12638,3156,890,381,150,202,,,,,,
  Região Autónoma dos Açores,,,,,,,,,,,,,,
    Tipo de estrutura da construção,98818,42345,50355,5390,471,154,31,72,,,,,,
        Betão armado,51959,20967,27264,3184,332,120,24,68,,,,,,
        Paredes de alvenaria com placa,15589,4788,9584,1105,82,19,7,4,,,,,,
"        Paredes de alvenaria, sem placa",23954,12552,10410,920,57,15,0,0,,,,,,
        Paredes de alvenaria de pedra solta ou de adobe,6649,3585,2897,167,0,0,0,0,,,,,,
        Outros,667,453,200,14,0,0,0,0,,,,,,
    Revestimento exterior,98818,42345,50355,5390,471,154,31,72,,,,,,
        Reboco tradicional ou marmorite,84976,35251,44170,4869,438,148,30,70,,,,,,
        Pedra,12563,6393,5675,454,33,6,1,1,,,,,,
        Ladrilho cerâmico ou mosaico,607,257,318,32,0,0,0,0,,,,,,
        Outros,672,444,192,35,0,0,0,1,,,,,,
    Cobertura,98818,42345,50355,5390,471,154,31,72,,,,,,
        Em terraço,1067,216,551,160,77,37,9,17,,,,,,
        Inclinada,96323,41672,49062,5044,365,111,22,47,,,,,,
          Revestida a telhas cerâmicas ou de betão,94275,40366,48404,4973,355,110,21,46,,,,,,
          Revestida a outros materiais,2048,1306,658,71,10,1,1,1,,,,,,
        Mista (inclinada e terraço),1428,457,742,186,29,6,0,8,,,,,,
   Região Autónoma dos Açores,,,,,,,,,,,,,,
      Tipo de estrutura da construção,98818,42345,50355,5390,471,154,31,72,,,,,,
          Betão armado,51959,20967,27264,3184,332,120,24,68,,,,,,
          Paredes de alvenaria com placa,15589,4788,9584,1105,82,19,7,4,,,,,,
"          Paredes de alvenaria, sem placa",23954,12552,10410,920,57,15,0,0,,,,,,
          Paredes de alvenaria de pedra solta ou de adobe,6649,3585,2897,167,0,0,0,0,,,,,,
          Outros,667,453,200,14,0,0,0,0,,,,,,
      Revestimento exterior,98818,42345,50355,5390,471,154,31,72,,,,,,
          Reboco tradicional ou marmorite,84976,35251,44170,4869,438,148,30,70,,,,,,
          Pedra,12563,6393,5675,454,33,6,1,1,,,,,,
          Ladrilho cerâmico ou mosaico,607,257,318,32,0,0,0,0,,,,,,
          Outros,672,444,192,35,0,0,0,1,,,,,,
      Cobertura,98818,42345,50355,5390,471,154,31,72,,,,,,
          Em terraço,1067,216,551,160,77,37,9,17,,,,,,
          Inclinada,96323,41672,49062,5044,365,111,22,47,,,,,,
            Revestida a telhas cerâmicas ou de betão,94275,40366,48404,4973,355,110,21,46,,,,,,
            Revestida a outros materiais,2048,1306,658,71,10,1,1,1,,,,,,
          Mista (inclinada e terraço),1428,457,742,186,29,6,0,8,,,,,,
  Região Autónoma da Madeira,,,,,,,,,,,,,,
    Tipo de estrutura da construção,91961,30331,47424,10827,1508,767,393,711,,,,,,
        Betão armado,69716,20938,36198,9424,1343,726,383,704,,,,,,
        Paredes de alvenaria com placa,9941,3934,4963,910,99,21,10,4,,,,,,
"        Paredes de alvenaria, sem placa",7748,3222,4082,363,63,18,0,0,,,,,,
        Paredes de alvenaria de pedra solta ou de adobe,4002,1839,2059,104,0,0,0,0,,,,,,
        Outros,554,398,122,26,3,2,0,3,,,,,,
    Revestimento exterior,91961,30331,47424,10827,1508,767,393,711,,,,,,
        Reboco tradicional ou marmorite,85417,27140,44435,10576,1445,747,386,688,,,,,,
        Pedra,5895,2809,2827,206,33,11,6,3,,,,,,
        Ladrilho cerâmico ou mosaico,190,41,75,32,28,5,0,9,,,,,,
        Outros,459,341,87,13,2,4,1,11,,,,,,
    Cobertura,91961,30331,47424,10827,1508,767,393,711,,,,,,
        Em terraço,8621,3908,3425,569,210,155,78,276,,,,,,
        Inclinada,74942,23929,39426,9213,1160,570,279,365,,,,,,
          Revestida a telhas cerâmicas ou de betão,73521,23051,39037,9142,1103,554,278,356,,,,,,
          Revestida a outros materiais,1421,878,389,71,57,16,1,9,,,,,,
        Mista (inclinada e terraço),8398,2494,4573,1045,138,42,36,70,,,,,,
   Região Autónoma da Madeira,,,,,,,,,,,,,,
      Tipo de estrutura da construção,91961,30331,47424,10827,1508,767,393,711,,,,,,
          Betão armado,69716,20938,36198,9424,1343,726,383,704,,,,,,
          Paredes de alvenaria com placa,9941,3934,4963,910,99,21,10,4,,,,,,
"          Paredes de alvenaria, sem placa",7748,3222,4082,363,63,18,0,0,,,,,,
          Paredes de alvenaria de pedra solta ou de adobe,4002,1839,2059,104,0,0,0,0,,,,,,
          Outros,554,398,122,26,3,2,0,3,,,,,,
      Revestimento exterior,91961,30331,47424,10827,1508,767,393,711,,,,,,
          Reboco tradicional ou marmorite,85417,27140,44435,10576,1445,747,386,688,,,,,,
          Pedra,5895,2809,2827,206,33,11,6,3,,,,,,
          Ladrilho cerâmico ou mosaico,190,41,75,32,28,5,0,9,,,,,,
          Outros,459,341,87,13,2,4,1,11,,,,,,
      Cobertura,91961,30331,47424,10827,1508,767,393,711,,,,,,
          Em terraço,8621,3908,3425,569,210,155,78,276,,,,,,
          Inclinada,74942,23929,39426,9213,1160,570,279,365,,,,,,
            Revestida a telhas cerâmicas ou de betão,73521,23051,39037,9142,1103,554,278,356,,,,,,
            Revestida a outros materiais,1421,878,389,71,57,16,1,9,,,,,,
          Mista (inclinada e terraço),8398,2494,4573,1045,138,42,36,70,,,,,,
