"4.01 - FAMÍLIAS CLÁSSICAS E PESSOAS RESIDENTES NESTAS, SEGUNDO O ESCALÃO ETÁRIO E A SITUAÇÃO PERANTE A ACTIVIDADE ECONÓMICA, POR TIPO DE FAMILIA NA BASE DA ESTRUTURA ETÁRIA DOS SEUS MEMBROS E NÚMERO DE CRIANÇAS",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Famílias clássicas,Pessoas nas famílias clássicas,,,,,,,,,,,,
,,Total,,Com menos de 15 anos,,De 15 ou mais anos,,,,,,,,
      Uma pessoa do sexo masculino com 65 ou mais anos,90837,90837,90837,0,0,90837,90837,4104,4104,,,,,
      Uma pessoa do sexo feminino com idade entre 15 e 24 anos,10024,10024,0,0,0,10024,0,6826,0,,,,,
      Uma pessoa do sexo feminino com idade entre 25 e 64 anos,212491,212491,0,0,0,212491,0,153740,0,,,,,
      Uma pessoa do sexo feminino com 65 ou mais anos,302753,302753,0,0,0,302753,0,5540,0,,,,,
"      Uma pessoa do sexo masculino com 15 ou mais anos, com 1 ou mais pessoas de idade inferior a 15 anos",9053,20714,15475,11661,6422,9053,9053,8280,8280,,,,,
"      Uma pessoa do sexo feminino com 15 ou mais anos, com 1 ou mais pessoas de idade inferior a 15 anos",78288,184521,54077,106233,54077,78288,0,69353,0,,,,,
"      Duas pessoas, ambas com idade entre 15 e 24 anos",9325,18650,9319,0,0,18650,9319,15107,7923,,,,,
"      Duas pessoas, ambas com idade entre 25 e 64 anos",493236,986472,485689,0,0,986472,485689,692086,357459,,,,,
"      Duas pessoas, uma com idade entre 15 e 24 e outra de 25 a 64 anos",79460,158920,62296,0,0,158920,62296,106422,39735,,,,,
"      Duas pessoas, ambas ou pelo menos uma com 65 ou mais anos",589669,1179338,559128,0,0,1179338,559128,131362,70266,,,,,
"      Duas pessoas, ambas com 15 ou mais anos, com outras de idade inferior a 15 anos",642936,2231871,1106378,945999,484224,1285872,622154,1147095,583152,,,,,
      Uma pessoa de idade inferior a 15 anos,379241,1137723,555696,379241,192489,758482,363207,674739,336980,,,,,
      Duas pessoas de idade inferior a 15 anos,229922,919688,462548,459844,236477,459844,226071,417179,216240,,,,,
      Três pessoas de idade inferior a 15 anos,29153,145765,73802,87459,45372,58306,28430,48756,26213,,,,,
      Quatro ou mais pessoas de idade inferior a 15 anos,4620,28695,14332,19455,9886,9240,4446,6421,3719,,,,,
      Três ou mais pessoas com 15 ou mais anos,1132536,4312805,2150287,414812,211276,3897993,1939011,2260512,1223946,,,,,
      Sem outras pessoas de idade inferior a 15 anos,807830,2781472,1402504,0,0,2781472,1402504,1572934,863836,,,,,
      Uma pessoa de idade inferior a 15 anos,251849,1109065,542984,251849,127881,857216,415103,534471,279855,,,,,
      Duas pessoas ou mais de idade inferior a 15 anos,72857,422268,204799,162963,83395,259305,121404,153107,80255,,,,,
      Outros casos,39,45,28,45,28,0,0,0,0,,,,,
      Norte,1330892,3657065,1753238,555313,283816,3101752,1469422,1753641,922821,,,,,
        Uma pessoa do sexo masculino com idade entre 15 e 24 anos,2470,2470,2470,0,0,2470,2470,1628,1628,,,,,
        Uma pessoa do sexo masculino com idade entre 25 e 64 anos,53864,53864,53864,0,0,53864,53864,40653,40653,,,,,
        Uma pessoa do sexo masculino com 65 ou mais anos,24676,24676,24676,0,0,24676,24676,1009,1009,,,,,
        Uma pessoa do sexo feminino com idade entre 15 e 24 anos,2825,2825,0,0,0,2825,0,1849,0,,,,,
        Uma pessoa do sexo feminino com idade entre 25 e 64 anos,59872,59872,0,0,0,59872,0,39882,0,,,,,
        Uma pessoa do sexo feminino com 65 ou mais anos,85208,85208,0,0,0,85208,0,1081,0,,,,,
"        Uma pessoa do sexo masculino com 15 ou mais anos, com 1 ou mais pessoas de idade inferior a 15 anos",2058,4700,3528,2642,1470,2058,2058,1867,1867,,,,,
"        Uma pessoa do sexo feminino com 15 ou mais anos, com 1 ou mais pessoas de idade inferior a 15 anos",23747,56157,16571,32410,16571,23747,0,20308,0,,,,,
"        Duas pessoas, ambas com idade entre 15 e 24 anos",3166,6332,3153,0,0,6332,3153,5281,2756,,,,,
"        Duas pessoas, ambas com idade entre 25 e 64 anos",162611,325222,159366,0,0,325222,159366,215830,113679,,,,,
"        Duas pessoas, uma com idade entre 15 e 24 e outra de 25 a 64 anos",25520,51040,19557,0,0,51040,19557,33648,12607,,,,,
"        Duas pessoas, ambas ou pelo menos uma com 65 ou mais anos",181388,362776,168951,0,0,362776,168951,38493,20581,,,,,
"        Duas pessoas, ambas com 15 ou mais anos, com outras de idade inferior a 15 anos",238189,822318,408612,345940,177259,476378,231353,422226,217022,,,,,
        Uma pessoa de idade inferior a 15 anos,142558,427674,209680,142558,72457,285116,137223,252676,127554,,,,,
        Duas pessoas de idade inferior a 15 anos,84919,339676,171169,169838,87516,169838,83653,152424,79946,,,,,
        Três pessoas de idade inferior a 15 anos,9524,47620,24069,28572,14745,19048,9324,15547,8563,,,,,
        Quatro ou mais pessoas de idade inferior a 15 anos,1188,7348,3694,4972,2541,2376,1153,1579,959,,,,,
        Três ou mais pessoas com 15 ou mais anos,465290,1799597,892486,174313,88512,1625284,803974,929886,511019,,,,,
        Sem outras pessoas de idade inferior a 15 anos,326340,1141038,570970,0,0,1141038,570970,637143,353350,,,,,
        Uma pessoa de idade inferior a 15 anos,109172,486108,237889,109172,55246,376936,182643,230847,123956,,,,,
        Duas pessoas ou mais de idade inferior a 15 anos,29778,172451,83627,65141,33266,107310,50361,61896,33713,,,,,
        Outros casos,8,8,4,8,4,0,0,0,0,,,,,
      Centro,904770,2290030,1098314,318110,162820,1971920,935494,1054757,552414,,,,,
        Uma pessoa do sexo masculino com idade entre 15 e 24 anos,2142,2142,2142,0,0,2142,2142,1430,1430,,,,,
        Uma pessoa do sexo masculino com idade entre 25 e 64 anos,42639,42639,42639,0,0,42639,42639,32690,32690,,,,,
        Uma pessoa do sexo masculino com 65 ou mais anos,24767,24767,24767,0,0,24767,24767,867,867,,,,,
        Uma pessoa do sexo feminino com idade entre 15 e 24 anos,2166,2166,0,0,0,2166,0,1388,0,,,,,
        Uma pessoa do sexo feminino com idade entre 25 e 64 anos,41951,41951,0,0,0,41951,0,28893,0,,,,,
        Uma pessoa do sexo feminino com 65 ou mais anos,81694,81694,0,0,0,81694,0,1138,0,,,,,
"        Uma pessoa do sexo masculino com 15 ou mais anos, com 1 ou mais pessoas de idade inferior a 15 anos",1580,3601,2716,2021,1136,1580,1580,1421,1421,,,,,
"        Uma pessoa do sexo feminino com 15 ou mais anos, com 1 ou mais pessoas de idade inferior a 15 anos",14612,34440,10038,19828,10038,14612,0,12833,0,,,,,
"        Duas pessoas, ambas com idade entre 15 e 24 anos",2022,4044,2035,0,0,4044,2035,3316,1762,,,,,
"        Duas pessoas, ambas com idade entre 25 e 64 anos",112291,224582,110851,0,0,224582,110851,151127,79022,,,,,
"        Duas pessoas, uma com idade entre 15 e 24 e outra de 25 a 64 anos",15919,31838,12519,0,0,31838,12519,21126,8000,,,,,
"        Duas pessoas, ambas ou pelo menos uma com 65 ou mais anos",159478,318956,153196,0,0,318956,153196,29463,16130,,,,,
"        Duas pessoas, ambas com 15 ou mais anos, com outras de idade inferior a 15 anos",141821,492526,245002,208884,106993,283642,138009,254327,129852,,,,,
        Uma pessoa de idade inferior a 15 anos,82440,247320,121044,82440,41679,164880,79365,146971,73767,,,,,
        Duas pessoas de idade inferior a 15 anos,52703,210812,106557,105406,54463,105406,52094,96305,50083,,,,,
        Três pessoas de idade inferior a 15 anos,5854,29270,14883,17562,9129,11708,5754,9927,5343,,,,,
        Quatro ou mais pessoas de idade inferior a 15 anos,824,5124,2518,3476,1722,1648,796,1124,659,,,,,
        Três ou mais pessoas com 15 ou mais anos,261677,984671,492399,87364,44643,897307,447756,514738,281240,,,,,
        Sem outras pessoas de idade inferior a 15 anos,191054,657771,332121,0,0,657771,332121,367451,203534,,,,,
        Uma pessoa de idade inferior a 15 anos,56719,247811,121732,56719,28893,191092,92839,118675,62451,,,,,
        Duas pessoas ou mais de idade inferior a 15 anos,13904,79089,38546,30645,15750,48444,22796,28612,15255,,,,,
        Outros casos,11,13,10,13,10,0,0,0,0,,,,,
      Lisboa,1147775,2792992,1322295,436308,222710,2356684,1099585,1402755,697530,,,,,
        Uma pessoa do sexo masculino com idade entre 15 e 24 anos,3803,3803,3803,0,0,3803,3803,2720,2720,,,,,
        Uma pessoa do sexo masculino com idade entre 25 e 64 anos,81357,81357,81357,0,0,81357,81357,68353,68353,,,,,
        Uma pessoa do sexo masculino com 65 ou mais anos,25785,25785,25785,0,0,25785,25785,1579,1579,,,,,
        Uma pessoa do sexo feminino com idade entre 15 e 24 anos,3971,3971,0,0,0,3971,0,2788,0,,,,,
        Uma pessoa do sexo feminino com idade entre 25 e 64 anos,86236,86236,0,0,0,86236,0,67137,0,,,,,
        Uma pessoa do sexo feminino com 65 ou mais anos,92054,92054,0,0,0,92054,0,2535,0,,,,,
"        Uma pessoa do sexo masculino com 15 ou mais anos, com 1 ou mais pessoas de idade inferior a 15 anos",4198,9648,7149,5450,2951,4198,4198,3895,3895,,,,,
"        Uma pessoa do sexo feminino com 15 ou mais anos, com 1 ou mais pessoas de idade inferior a 15 anos",30330,71473,20855,41143,20855,30330,0,27634,0,,,,,
"        Duas pessoas, ambas com idade entre 15 e 24 anos",3005,6010,2995,0,0,6010,2995,4674,2417,,,,,
"        Duas pessoas, ambas com idade entre 25 e 64 anos",156603,313206,154073,0,0,313206,154073,236895,119344,,,,,
"        Duas pessoas, uma com idade entre 15 e 24 e outra de 25 a 64 anos",28314,56628,22237,0,0,56628,22237,38485,13934,,,,,
"        Duas pessoas, ambas ou pelo menos uma com 65 ou mais anos",164703,329406,155342,0,0,329406,155342,45080,23444,,,,,
"        Duas pessoas, ambas com 15 ou mais anos, com outras de idade inferior a 15 anos",188229,657332,323678,280874,143329,376458,180349,338289,168850,,,,,
        Uma pessoa de idade inferior a 15 anos,109963,329889,159970,109963,55867,219926,104103,196719,96375,,,,,
        Duas pessoas de idade inferior a 15 anos,66207,264828,132196,132414,67569,132414,64627,121284,61776,,,,,
        Três pessoas de idade inferior a 15 anos,10149,50745,25566,30447,15769,20298,9797,17431,9114,,,,,
        Quatro ou mais pessoas de idade inferior a 15 anos,1910,11870,5946,8050,4124,3820,1822,2855,1585,,,,,
        Três ou mais pessoas com 15 ou mais anos,279170,1056062,525009,108820,55563,947242,469446,562691,292994,,,,,
        Sem outras pessoas de idade inferior a 15 anos,198680,671495,338506,0,0,671495,338506,388843,206711,,,,,
        Uma pessoa de idade inferior a 15 anos,58966,257885,125561,58966,30146,198919,95415,127022,63281,,,,,
        Duas pessoas ou mais de idade inferior a 15 anos,21524,126682,60942,49854,25417,76828,35525,46826,23002,,,,,
        Outros casos,17,21,12,21,12,0,0,0,0,,,,,
      Alentejo,302975,741454,360166,102385,52597,639069,307569,341767,180951,,,,,
        Uma pessoa do sexo masculino com idade entre 15 e 24 anos,728,728,728,0,0,728,728,569,569,,,,,
        Uma pessoa do sexo masculino com idade entre 25 e 64 anos,16471,16471,16471,0,0,16471,16471,12908,12908,,,,,
        Uma pessoa do sexo masculino com 65 ou mais anos,10236,10236,10236,0,0,10236,10236,392,392,,,,,
        Uma pessoa do sexo feminino com idade entre 15 e 24 anos,589,589,0,0,0,589,0,416,0,,,,,
        Uma pessoa do sexo feminino com idade entre 25 e 64 anos,13099,13099,0,0,0,13099,0,9106,0,,,,,
        Uma pessoa do sexo feminino com 65 ou mais anos,30551,30551,0,0,0,30551,0,469,0,,,,,
"        Uma pessoa do sexo masculino com 15 ou mais anos, com 1 ou mais pessoas de idade inferior a 15 anos",660,1505,1140,845,480,660,660,589,589,,,,,
"        Uma pessoa do sexo feminino com 15 ou mais anos, com 1 ou mais pessoas de idade inferior a 15 anos",5168,12170,3610,7002,3610,5168,0,4592,0,,,,,
"        Duas pessoas, ambas com idade entre 15 e 24 anos",622,1244,624,0,0,1244,624,983,536,,,,,
"        Duas pessoas, ambas com idade entre 25 e 64 anos",37406,74812,37160,0,0,74812,37160,52324,26951,,,,,
"        Duas pessoas, uma com idade entre 15 e 24 e outra de 25 a 64 anos",5326,10652,4416,0,0,10652,4416,7185,2885,,,,,
"        Duas pessoas, ambas ou pelo menos uma com 65 ou mais anos",56227,112454,54592,0,0,112454,54592,11385,6482,,,,,
"        Duas pessoas, ambas com 15 ou mais anos, com outras de idade inferior a 15 anos",45582,158935,79164,67771,34804,91164,44360,81099,41408,,,,,
        Uma pessoa de idade inferior a 15 anos,26758,80274,39390,26758,13610,53516,25780,47597,23937,,,,,
        Duas pessoas de idade inferior a 15 anos,16032,64128,32340,32064,16502,32064,15838,29152,15089,,,,,
        Três pessoas de idade inferior a 15 anos,2341,11705,5997,7023,3692,4682,2305,3812,2063,,,,,
        Quatro ou mais pessoas de idade inferior a 15 anos,451,2828,1437,1926,1000,902,437,538,319,,,,,
        Três ou mais pessoas com 15 ou mais anos,80308,298006,152024,26765,13702,271241,138322,159750,88231,,,,,
        Sem outras pessoas de idade inferior a 15 anos,59238,200546,103835,0,0,200546,103835,115468,64915,,,,,
        Uma pessoa de idade inferior a 15 anos,16601,71819,35520,16601,8423,55218,27097,35334,18555,,,,,
        Duas pessoas ou mais de idade inferior a 15 anos,4469,25641,12669,10164,5279,15477,7390,8948,4761,,,,,
        Outros casos,2,2,1,2,1,0,0,0,0,,,,,
      Algarve,182776,446441,218042,66634,34084,379807,183958,220771,114413,,,,,
        Uma pessoa do sexo masculino com idade entre 15 e 24 anos,658,658,658,0,0,658,658,548,548,,,,,
        Uma pessoa do sexo masculino com idade entre 25 e 64 anos,14409,14409,14409,0,0,14409,14409,11765,11765,,,,,
        Uma pessoa do sexo masculino com 65 ou mais anos,5373,5373,5373,0,0,5373,5373,257,257,,,,,
        Uma pessoa do sexo feminino com idade entre 15 e 24 anos,473,473,0,0,0,473,0,385,0,,,,,
        Uma pessoa do sexo feminino com idade entre 25 e 64 anos,11333,11333,0,0,0,11333,0,8722,0,,,,,
        Uma pessoa do sexo feminino com 65 ou mais anos,13246,13246,0,0,0,13246,0,317,0,,,,,
"        Uma pessoa do sexo masculino com 15 ou mais anos, com 1 ou mais pessoas de idade inferior a 15 anos",557,1260,942,703,385,557,557,508,508,,,,,
"        Uma pessoa do sexo feminino com 15 ou mais anos, com 1 ou mais pessoas de idade inferior a 15 anos",4431,10281,3003,5850,3003,4431,0,3986,0,,,,,
"        Duas pessoas, ambas com idade entre 15 e 24 anos",510,1020,512,0,0,1020,512,853,452,,,,,
"        Duas pessoas, ambas com idade entre 25 e 64 anos",24325,48650,24239,0,0,48650,24239,35910,18463,,,,,
"        Duas pessoas, uma com idade entre 15 e 24 e outra de 25 a 64 anos",4381,8762,3567,0,0,8762,3567,5978,2309,,,,,
"        Duas pessoas, ambas ou pelo menos uma com 65 ou mais anos",27873,55746,27047,0,0,55746,27047,6941,3629,,,,,
"        Duas pessoas, ambas com 15 ou mais anos, com outras de idade inferior a 15 anos",29115,100760,49922,42530,21839,58230,28083,51154,26020,,,,,
        Uma pessoa de idade inferior a 15 anos,17522,52566,25612,17522,8876,35044,16736,30776,15347,,,,,
        Duas pessoas de idade inferior a 15 anos,10061,40244,20286,20122,10427,20122,9859,18014,9346,,,,,
        Três pessoas de idade inferior a 15 anos,1285,6425,3287,3855,2037,2570,1250,2039,1130,,,,,
        Quatro ou mais pessoas de idade inferior a 15 anos,247,1525,737,1031,499,494,238,325,197,,,,,
        Três ou mais pessoas com 15 ou mais anos,46091,174469,88369,17550,8856,156919,79513,93447,50462,,,,,
        Sem outras pessoas de idade inferior a 15 anos,32518,110622,57072,0,0,110622,57072,64029,35326,,,,,
        Uma pessoa de idade inferior a 15 anos,10391,45442,22282,10391,5173,35051,17109,22593,11612,,,,,
        Duas pessoas ou mais de idade inferior a 15 anos,3182,18405,9015,7159,3683,11246,5332,6825,3524,,,,,
        Outros casos,1,1,1,1,1,0,0,0,0,,,,,
    Região Autónoma dos Açores,81715,243882,120237,43954,22482,199928,97755,114544,64382,,,,,
      Uma pessoa do sexo masculino com idade entre 15 e 24 anos,200,200,200,0,0,200,200,163,163,,,,,
      Uma pessoa do sexo masculino com idade entre 25 e 64 anos,4389,4389,4389,0,0,4389,4389,3479,3479,,,,,
      Uma pessoa do sexo masculino com 65 ou mais anos,1299,1299,1299,0,0,1299,1299,79,79,,,,,
      Uma pessoa do sexo feminino com idade entre 15 e 24 anos,184,184,0,0,0,184,0,150,0,,,,,
      Uma pessoa do sexo feminino com idade entre 25 e 64 anos,3618,3618,0,0,0,3618,0,2567,0,,,,,
      Uma pessoa do sexo feminino com 65 ou mais anos,4316,4316,0,0,0,4316,0,63,0,,,,,
"      Uma pessoa do sexo masculino com 15 ou mais anos, com 1 ou mais pessoas de idade inferior a 15 anos",145,340,247,195,102,145,145,129,129,,,,,
"      Uma pessoa do sexo feminino com 15 ou mais anos, com 1 ou mais pessoas de idade inferior a 15 anos",1370,3346,973,1976,973,1370,0,1139,0,,,,,
"      Duas pessoas, ambas com idade entre 15 e 24 anos",257,514,260,0,0,514,260,425,230,,,,,
"      Duas pessoas, ambas com idade entre 25 e 64 anos",9316,18632,9312,0,0,18632,9312,13277,7161,,,,,
"      Duas pessoas, uma com idade entre 15 e 24 e outra de 25 a 64 anos",1718,3436,1485,0,0,3436,1485,2374,1059,,,,,
"      Duas pessoas, ambas ou pelo menos uma com 65 ou mais anos",8575,17150,7957,0,0,17150,7957,2188,1291,,,,,
"      Duas pessoas, ambas com 15 ou mais anos, com outras de idade inferior a 15 anos",15773,56319,28085,24773,12724,31546,15361,26786,14319,,,,,
      Uma pessoa de idade inferior a 15 anos,8551,25653,12698,8551,4439,17102,8259,14811,7652,,,,,
      Duas pessoas de idade inferior a 15 anos,5798,23192,11606,11596,5897,11596,5709,9894,5391,,,,,
      Três pessoas de idade inferior a 15 anos,1141,5705,2884,3423,1764,2282,1120,1716,1032,,,,,
      Quatro ou mais pessoas de idade inferior a 15 anos,283,1769,897,1203,624,566,273,365,244,,,,,
      Três ou mais pessoas com 15 ou mais anos,30555,130139,66030,17010,8683,113129,57347,61725,36472,,,,,
      Sem outras pessoas de idade inferior a 15 anos,18903,68762,35394,0,0,68762,35394,36529,21672,,,,,
      Uma pessoa de idade inferior a 15 anos,7851,36772,18361,7851,4049,28921,14312,16832,9670,,,,,
      Duas pessoas ou mais de idade inferior a 15 anos,3801,24605,12275,9159,4634,15446,7641,8364,5130,,,,,
      Outros casos,0,0,0,0,0,0,0,0,0,,,,,
      Região Autónoma dos Açores,81715,243882,120237,43954,22482,199928,97755,114544,64382,,,,,
        Uma pessoa do sexo masculino com idade entre 15 e 24 anos,200,200,200,0,0,200,200,163,163,,,,,
        Uma pessoa do sexo masculino com idade entre 25 e 64 anos,4389,4389,4389,0,0,4389,4389,3479,3479,,,,,
        Uma pessoa do sexo masculino com 65 ou mais anos,1299,1299,1299,0,0,1299,1299,79,79,,,,,
        Uma pessoa do sexo feminino com idade entre 15 e 24 anos,184,184,0,0,0,184,0,150,0,,,,,
        Uma pessoa do sexo feminino com idade entre 25 e 64 anos,3618,3618,0,0,0,3618,0,2567,0,,,,,
        Uma pessoa do sexo feminino com 65 ou mais anos,4316,4316,0,0,0,4316,0,63,0,,,,,
"        Uma pessoa do sexo masculino com 15 ou mais anos, com 1 ou mais pessoas de idade inferior a 15 anos",145,340,247,195,102,145,145,129,129,,,,,
"        Uma pessoa do sexo feminino com 15 ou mais anos, com 1 ou mais pessoas de idade inferior a 15 anos",1370,3346,973,1976,973,1370,0,1139,0,,,,,
"        Duas pessoas, ambas com idade entre 15 e 24 anos",257,514,260,0,0,514,260,425,230,,,,,
"        Duas pessoas, ambas com idade entre 25 e 64 anos",9316,18632,9312,0,0,18632,9312,13277,7161,,,,,
"        Duas pessoas, uma com idade entre 15 e 24 e outra de 25 a 64 anos",1718,3436,1485,0,0,3436,1485,2374,1059,,,,,
"        Duas pessoas, ambas ou pelo menos uma com 65 ou mais anos",8575,17150,7957,0,0,17150,7957,2188,1291,,,,,
"        Duas pessoas, ambas com 15 ou mais anos, com outras de idade inferior a 15 anos",15773,56319,28085,24773,12724,31546,15361,26786,14319,,,,,
        Uma pessoa de idade inferior a 15 anos,8551,25653,12698,8551,4439,17102,8259,14811,7652,,,,,
        Duas pessoas de idade inferior a 15 anos,5798,23192,11606,11596,5897,11596,5709,9894,5391,,,,,
        Três pessoas de idade inferior a 15 anos,1141,5705,2884,3423,1764,2282,1120,1716,1032,,,,,
        Quatro ou mais pessoas de idade inferior a 15 anos,283,1769,897,1203,624,566,273,365,244,,,,,
        Três ou mais pessoas com 15 ou mais anos,30555,130139,66030,17010,8683,113129,57347,61725,36472,,,,,
        Sem outras pessoas de idade inferior a 15 anos,18903,68762,35394,0,0,68762,35394,36529,21672,,,,,
        Uma pessoa de idade inferior a 15 anos,7851,36772,18361,7851,4049,28921,14312,16832,9670,,,,,
        Duas pessoas ou mais de idade inferior a 15 anos,3801,24605,12275,9159,4634,15446,7641,8364,5130,,,,,
        Outros casos,0,0,0,0,0,0,0,0,0,,,,,
    Região Autónoma da Madeira,92823,264652,125084,43794,22436,220858,102648,127282,66192,,,,,
      Uma pessoa do sexo masculino com idade entre 15 e 24 anos,173,173,173,0,0,173,173,128,128,,,,,
      Uma pessoa do sexo masculino com idade entre 25 e 64 anos,4882,4882,4882,0,0,4882,4882,3792,3792,,,,,
      Uma pessoa do sexo masculino com 65 ou mais anos,1512,1512,1512,0,0,1512,1512,77,77,,,,,
      Uma pessoa do sexo feminino com idade entre 15 e 24 anos,127,127,0,0,0,127,0,89,0,,,,,
      Uma pessoa do sexo feminino com idade entre 25 e 64 anos,5222,5222,0,0,0,5222,0,3785,0,,,,,
      Uma pessoa do sexo feminino com 65 ou mais anos,6225,6225,0,0,0,6225,0,112,0,,,,,
"      Uma pessoa do sexo masculino com 15 ou mais anos, com 1 ou mais pessoas de idade inferior a 15 anos",212,475,368,263,156,212,212,199,199,,,,,
"      Uma pessoa do sexo feminino com 15 ou mais anos, com 1 ou mais pessoas de idade inferior a 15 anos",1724,4134,1232,2410,1232,1724,0,1513,0,,,,,
"      Duas pessoas, ambas com idade entre 15 e 24 anos",135,270,139,0,0,270,139,229,122,,,,,
"      Duas pessoas, ambas com idade entre 25 e 64 anos",10250,20500,9945,0,0,20500,9945,14819,7618,,,,,
"      Duas pessoas, uma com idade entre 15 e 24 e outra de 25 a 64 anos",1890,3780,1453,0,0,3780,1453,2389,876,,,,,
"      Duas pessoas, ambas ou pelo menos uma com 65 ou mais anos",10077,20154,8523,0,0,20154,8523,3193,1649,,,,,
"      Duas pessoas, ambas com 15 ou mais anos, com outras de idade inferior a 15 anos",16790,58841,29113,25261,12938,33580,16175,29323,14975,,,,,
      Uma pessoa de idade inferior a 15 anos,9659,28977,14143,9659,4941,19318,9202,16869,8421,,,,,
      Duas pessoas de idade inferior a 15 anos,5993,23972,11985,11986,6114,11986,5871,10619,5537,,,,,
      Três pessoas de idade inferior a 15 anos,969,4845,2450,2907,1509,1938,941,1594,873,,,,,
      Quatro ou mais pessoas de idade inferior a 15 anos,169,1047,535,709,374,338,161,241,144,,,,,
      Três ou mais pessoas com 15 ou mais anos,33604,138357,67744,15860,8110,122497,59634,67634,36756,,,,,
      Sem outras pessoas de idade inferior a 15 anos,22099,79675,39484,0,0,79675,39484,42629,23477,,,,,
      Uma pessoa de idade inferior a 15 anos,8205,38140,18423,8205,4218,29935,14205,17594,9298,,,,,
      Duas pessoas ou mais de idade inferior a 15 anos,3300,20542,9837,7655,3892,12887,5945,7411,3981,,,,,
      Outros casos,0,0,0,0,0,0,0,0,0,,,,,
      Região Autónoma da Madeira,92823,264652,125084,43794,22436,220858,102648,127282,66192,,,,,
        Uma pessoa do sexo masculino com idade entre 15 e 24 anos,173,173,173,0,0,173,173,128,128,,,,,
