"6.17 - POPULAÇÃO RESIDENTE, SEGUNDO O ESTADO CIVIL LEGAL E SEXO, POR GRUPO SÓCIO-ECONÓMICO",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zona geográfica,Total,,Solteiro,,Casado,,Divorciado,,Viúvo,,,,,,,,,,,,,,,,,,,
Grupo sócio-económico,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HM,H,HM,H,HM,H,HM,H,HM,H,,,,,,,,,,,,,,,,,,
          Empregados administrativos do comércio e serviços,249477,81525,79488,30776,142337,44556,22976,5799,4676,394,,,,,,,,,,,,,,,,,,
          Operários qualificados e semi-qualificados,217310,177175,56901,50228,142980,114305,14979,11469,2450,1173,,,,,,,,,,,,,,,,,,
          Assalariados do sector primário,17098,11647,5180,4266,10233,6481,1176,754,509,146,,,,,,,,,,,,,,,,,,
          Trabalhadores administrativos do comércio e serviços não qualificados,81518,16997,16411,6581,53386,9117,8067,1147,3654,152,,,,,,,,,,,,,,,,,,
          Operários não qualificados,50539,28390,17698,13009,28269,13566,3703,1613,869,202,,,,,,,,,,,,,,,,,,
          Trabalhadores não qualificados do sector primário,3095,1797,996,769,1828,917,178,94,93,17,,,,,,,,,,,,,,,,,,
          Pessoal das forças armadas,7339,6321,4216,3421,2850,2666,262,225,11,9,,,,,,,,,,,,,,,,,,
          Outras pessoas activas n.e.,22045,10034,16793,8528,4374,1231,727,253,151,22,,,,,,,,,,,,,,,,,,
          Inactivos,1271530,558063,552964,275901,508873,234840,32945,13707,176748,33615,,,,,,,,,,,,,,,,,,
      Lisboa,2821876,1334605,1255673,637977,1165941,581135,209885,82505,190377,32988,,,,,,,,,,,,,,,,,,
"          Empresários com profissões intelectuais, científicas e técnicas",19238,10133,7257,3317,9476,5652,2325,1084,180,80,,,,,,,,,,,,,,,,,,
          Empresários da indústria comércio e serviços,24304,16076,7792,4908,13441,9450,2697,1567,374,151,,,,,,,,,,,,,,,,,,
          Empresários do sector primário,348,254,95,68,218,160,23,19,12,7,,,,,,,,,,,,,,,,,,
          Pequenos patrões com profissões intelectuais e científicas,13900,7791,4785,2490,7345,4391,1613,840,157,70,,,,,,,,,,,,,,,,,,
          Pequenos patrões com profissões técnicas intermédias,10012,6023,2707,1669,5787,3565,1352,732,166,57,,,,,,,,,,,,,,,,,,
          Pequenos patrões da indústria,25697,20922,5116,4384,17582,14339,2625,2003,374,196,,,,,,,,,,,,,,,,,,
          Pequenos patrões do comércio e serviços,35018,17131,7494,3461,23014,12013,3696,1453,814,204,,,,,,,,,,,,,,,,,,
          Pequenos patrões do sector primário,1541,1150,341,304,1061,754,105,81,34,11,,,,,,,,,,,,,,,,,,
          Profissionais intelectuais e científicos independentes,13037,7027,5070,2644,5984,3355,1806,938,177,90,,,,,,,,,,,,,,,,,,
          Profissionais técnicos intermédios independentes,8841,6043,2433,1687,4889,3431,1356,847,163,78,,,,,,,,,,,,,,,,,,
          Trabalhadores industriais e artesanais independentes,15559,13919,3124,2832,10363,9380,1763,1513,309,194,,,,,,,,,,,,,,,,,,
          Prestadores de serviços e comerciantes independentes,35715,10944,8436,2879,20693,6613,4830,1225,1756,227,,,,,,,,,,,,,,,,,,
          Trabalhadores independentes do sector primário,1937,1559,546,482,1142,901,176,144,73,32,,,,,,,,,,,,,,,,,,
          Directores e quadros dirigentes do Estado e empresas,45778,27958,12903,6679,27058,18228,5455,2895,362,156,,,,,,,,,,,,,,,,,,
          Dirigentes de pequenas empresas e organizações,8953,4854,2690,1337,5001,2935,1148,550,114,32,,,,,,,,,,,,,,,,,,
          Quadros intelectuais e científicos,203481,82233,84934,35195,96381,40135,20533,6543,1633,360,,,,,,,,,,,,,,,,,,
          Quadros técnicos intermédios,140008,77564,50911,28188,72262,41842,15568,7163,1267,371,,,,,,,,,,,,,,,,,,
          Quadros administrativos intermédios,27250,6920,7848,2137,14619,4104,4321,640,462,39,,,,,,,,,,,,,,,,,,
          Empregados administrativos do comércio e serviços,393354,143554,164609,67250,175553,62977,45925,12543,7267,784,,,,,,,,,,,,,,,,,,
          Operários qualificados e semi-qualificados,165946,151761,58026,54445,90412,82208,15694,13841,1814,1267,,,,,,,,,,,,,,,,,,
          Assalariados do sector primário,8254,5844,3340,2668,4060,2678,678,430,176,68,,,,,,,,,,,,,,,,,,
          Trabalhadores administrativos do comércio e serviços não qualificados,121302,23578,42185,12417,60710,9308,12699,1699,5708,154,,,,,,,,,,,,,,,,,,
          Operários não qualificados,34296,24400,16813,13552,14257,9110,2801,1610,425,128,,,,,,,,,,,,,,,,,,
          Trabalhadores não qualificados do sector primário,1198,684,483,330,594,299,80,46,41,9,,,,,,,,,,,,,,,,,,
          Pessoal das forças armadas,14609,12781,6215,4955,7399,6949,946,834,49,43,,,,,,,,,,,,,,,,,,
          Outras pessoas activas n.e.,35482,17886,28319,15341,5687,2007,1252,496,224,42,,,,,,,,,,,,,,,,,,
          Inactivos,1416818,635616,721201,362358,470953,224351,58418,20769,166246,28138,,,,,,,,,,,,,,,,,,
      Alentejo,757302,366739,288668,155742,357742,178913,40288,18214,70604,13870,,,,,,,,,,,,,,,,,,
"          Empresários com profissões intelectuais, científicas e técnicas",1595,843,591,273,833,484,154,81,17,5,,,,,,,,,,,,,,,,,,
          Empresários da indústria comércio e serviços,3639,2388,787,523,2463,1666,318,172,71,27,,,,,,,,,,,,,,,,,,
          Empresários do sector primário,301,226,65,51,211,155,14,12,11,8,,,,,,,,,,,,,,,,,,
          Pequenos patrões com profissões intelectuais e científicas,1659,872,511,238,944,528,178,91,26,15,,,,,,,,,,,,,,,,,,
          Pequenos patrões com profissões técnicas intermédias,1800,1133,368,230,1221,793,179,101,32,9,,,,,,,,,,,,,,,,,,
          Pequenos patrões da indústria,8092,6730,1362,1203,5977,4950,623,505,130,72,,,,,,,,,,,,,,,,,,
          Pequenos patrões do comércio e serviços,9321,4839,1425,796,6957,3654,717,334,222,55,,,,,,,,,,,,,,,,,,
          Pequenos patrões do sector primário,3038,2370,558,476,2249,1726,155,130,76,38,,,,,,,,,,,,,,,,,,
          Profissionais intelectuais e científicos independentes,1750,930,639,316,911,503,176,98,24,13,,,,,,,,,,,,,,,,,,
          Profissionais técnicos intermédios independentes,1702,1179,438,318,1021,703,212,142,31,16,,,,,,,,,,,,,,,,,,
          Trabalhadores industriais e artesanais independentes,5701,5183,1047,987,4033,3674,515,452,106,70,,,,,,,,,,,,,,,,,,
          Prestadores de serviços e comerciantes independentes,11048,3927,1868,895,7453,2561,1170,383,557,88,,,,,,,,,,,,,,,,,,
          Trabalhadores independentes do sector primário,4068,3500,1002,935,2696,2277,252,211,118,77,,,,,,,,,,,,,,,,,,
          Directores e quadros dirigentes do Estado e empresas,4244,2718,1021,528,2782,1938,410,235,31,17,,,,,,,,,,,,,,,,,,
          Dirigentes de pequenas empresas e organizações,1484,857,353,196,961,583,148,73,22,5,,,,,,,,,,,,,,,,,,
          Quadros intelectuais e científicos,32600,10838,12092,4301,17396,5720,2832,768,280,49,,,,,,,,,,,,,,,,,,
          Quadros técnicos intermédios,22915,13121,7664,4251,13013,7790,1995,996,243,84,,,,,,,,,,,,,,,,,,
          Quadros administrativos intermédios,3891,1529,1077,450,2369,971,394,102,51,6,,,,,,,,,,,,,,,,,,
          Empregados administrativos do comércio e serviços,85637,29155,28626,11696,46848,15059,8251,2234,1912,166,,,,,,,,,,,,,,,,,,
          Operários qualificados e semi-qualificados,59298,53271,18743,17359,35196,31351,4687,4098,672,463,,,,,,,,,,,,,,,,,,
          Assalariados do sector primário,10990,6901,3719,2877,6263,3541,723,416,285,67,,,,,,,,,,,,,,,,,,
          Trabalhadores administrativos do comércio e serviços não qualificados,31722,6892,7392,3038,19517,3284,3186,487,1627,83,,,,,,,,,,,,,,,,,,
          Operários não qualificados,15263,10444,6854,5588,7035,4132,1125,647,249,77,,,,,,,,,,,,,,,,,,
          Trabalhadores não qualificados do sector primário,10650,5837,3637,2726,6018,2697,689,360,306,54,,,,,,,,,,,,,,,,,,
          Pessoal das forças armadas,2858,2514,1667,1391,1067,1015,117,101,7,7,,,,,,,,,,,,,,,,,,
          Outras pessoas activas n.e.,7388,3399,5863,2952,1276,365,212,78,37,4,,,,,,,,,,,,,,,,,,
          Inactivos,414648,185143,179299,91148,161032,76793,10856,4907,63461,12295,,,,,,,,,,,,,,,,,,
      Algarve,451006,219931,194273,103743,191499,95828,32551,14178,32683,6182,,,,,,,,,,,,,,,,,,
"          Empresários com profissões intelectuais, científicas e técnicas",1391,726,535,246,676,389,172,87,8,4,,,,,,,,,,,,,,,,,,
          Empresários da indústria comércio e serviços,3530,2344,948,619,2135,1484,389,227,58,14,,,,,,,,,,,,,,,,,,
          Empresários do sector primário,154,122,40,35,92,70,17,15,5,2,,,,,,,,,,,,,,,,,,
          Pequenos patrões com profissões intelectuais e científicas,1800,1002,647,331,958,569,165,91,30,11,,,,,,,,,,,,,,,,,,
          Pequenos patrões com profissões técnicas intermédias,1821,1084,483,298,1050,650,258,125,30,11,,,,,,,,,,,,,,,,,,
          Pequenos patrões da indústria,6540,5381,1340,1171,4428,3638,676,521,96,51,,,,,,,,,,,,,,,,,,
          Pequenos patrões do comércio e serviços,8097,4218,1739,928,5339,2862,837,384,182,44,,,,,,,,,,,,,,,,,,
          Pequenos patrões do sector primário,1137,938,247,226,768,610,101,91,21,11,,,,,,,,,,,,,,,,,,
          Profissionais intelectuais e científicos independentes,1773,989,688,364,817,484,242,134,26,7,,,,,,,,,,,,,,,,,,
          Profissionais técnicos intermédios independentes,1670,1064,505,331,875,578,251,145,39,10,,,,,,,,,,,,,,,,,,
          Trabalhadores industriais e artesanais independentes,4681,4374,1045,991,3061,2875,498,450,77,58,,,,,,,,,,,,,,,,,,
          Prestadores de serviços e comerciantes independentes,7695,2685,1701,738,4493,1592,1104,307,397,48,,,,,,,,,,,,,,,,,,
          Trabalhadores independentes do sector primário,2402,2128,732,678,1423,1240,195,182,52,28,,,,,,,,,,,,,,,,,,
          Directores e quadros dirigentes do Estado e empresas,3498,2137,1067,565,1962,1321,436,240,33,11,,,,,,,,,,,,,,,,,,
          Dirigentes de pequenas empresas e organizações,1393,720,430,223,776,415,164,76,23,6,,,,,,,,,,,,,,,,,,
          Quadros intelectuais e científicos,19396,6663,8488,2920,8779,3161,1952,546,177,36,,,,,,,,,,,,,,,,,,
          Quadros técnicos intermédios,13882,7789,5188,2847,7071,4156,1464,738,159,48,,,,,,,,,,,,,,,,,,
          Quadros administrativos intermédios,2957,789,997,272,1534,442,389,72,37,3,,,,,,,,,,,,,,,,,,
          Empregados administrativos do comércio e serviços,68400,24938,28770,12391,30623,10244,7807,2188,1200,115,,,,,,,,,,,,,,,,,,
          Operários qualificados e semi-qualificados,29664,27934,10745,10272,15885,14930,2730,2501,304,231,,,,,,,,,,,,,,,,,,
          Assalariados do sector primário,5399,4366,2156,1899,2756,2105,420,326,67,36,,,,,,,,,,,,,,,,,,
          Trabalhadores administrativos do comércio e serviços não qualificados,22986,4971,6552,2575,12697,1997,2660,364,1077,35,,,,,,,,,,,,,,,,,,
          Operários não qualificados,4474,3807,2285,2096,1822,1445,325,250,42,16,,,,,,,,,,,,,,,,,,
          Trabalhadores não qualificados do sector primário,780,419,251,178,444,209,58,28,27,4,,,,,,,,,,,,,,,,,,
          Pessoal das forças armadas,528,453,370,302,131,125,25,24,2,2,,,,,,,,,,,,,,,,,,
          Outras pessoas activas n.e.,4913,2501,3741,2077,923,334,215,85,34,5,,,,,,,,,,,,,,,,,,
          Inactivos,230045,105389,112583,58170,79981,37903,9001,3981,28480,5335,,,,,,,,,,,,,,,,,,
    Região Autónoma dos Açores,246772,121534,106223,57352,111524,55744,12612,5801,16413,2637,,,,,,,,,,,,,,,,,,
"        Empresários com profissões intelectuais, científicas e técnicas",599,292,179,61,348,199,61,29,11,3,,,,,,,,,,,,,,,,,,
        Empresários da indústria comércio e serviços,1807,1269,357,243,1269,915,156,100,25,11,,,,,,,,,,,,,,,,,,
        Empresários do sector primário,116,105,14,11,96,89,6,5,0,0,,,,,,,,,,,,,,,,,,
        Pequenos patrões com profissões intelectuais e científicas,393,227,115,70,224,127,50,30,4,0,,,,,,,,,,,,,,,,,,
        Pequenos patrões com profissões técnicas intermédias,398,272,81,56,285,199,30,17,2,0,,,,,,,,,,,,,,,,,,
        Pequenos patrões da indústria,2502,2147,384,351,1904,1636,175,142,39,18,,,,,,,,,,,,,,,,,,
        Pequenos patrões do comércio e serviços,2185,1139,370,209,1550,815,212,103,53,12,,,,,,,,,,,,,,,,,,
        Pequenos patrões do sector primário,1366,1211,263,257,1014,879,59,55,30,20,,,,,,,,,,,,,,,,,,
        Profissionais intelectuais e científicos independentes,356,242,125,73,182,133,45,33,4,3,,,,,,,,,,,,,,,,,,
        Profissionais técnicos intermédios independentes,369,270,84,61,242,176,40,31,3,2,,,,,,,,,,,,,,,,,,
        Trabalhadores industriais e artesanais independentes,1999,1853,365,346,1426,1321,181,168,27,18,,,,,,,,,,,,,,,,,,
        Prestadores de serviços e comerciantes independentes,2523,805,373,129,1771,585,275,76,104,15,,,,,,,,,,,,,,,,,,
        Trabalhadores independentes do sector primário,3467,2977,782,751,2499,2075,130,119,56,32,,,,,,,,,,,,,,,,,,
        Directores e quadros dirigentes do Estado e empresas,1465,974,315,189,1014,707,126,73,10,5,,,,,,,,,,,,,,,,,,
        Dirigentes de pequenas empresas e organizações,442,272,111,68,285,178,42,24,4,2,,,,,,,,,,,,,,,,,,
        Quadros intelectuais e científicos,12189,4008,4491,1490,6627,2216,988,290,83,12,,,,,,,,,,,,,,,,,,
        Quadros técnicos intermédios,8247,4993,2521,1458,4989,3151,655,367,82,17,,,,,,,,,,,,,,,,,,
        Quadros administrativos intermédios,1220,414,299,84,779,296,127,31,15,3,,,,,,,,,,,,,,,,,,
        Empregados administrativos do comércio e serviços,27784,10103,8005,3519,16558,5843,2709,695,512,46,,,,,,,,,,,,,,,,,,
        Operários qualificados e semi-qualificados,18599,16810,4751,4489,12223,10962,1432,1246,193,113,,,,,,,,,,,,,,,,,,
