"4.19 - FAMÍLIAS INSTITUCIONAIS, SEGUNDO A CONDIÇÃO PERANTE A ACTIVIDADE ECONÓMICA (SENTIDO RESTRITO) DOS SEUS MEMBROS, A DIMENSÃO DA FAMÍLIA INSTITUCIONAL E PESSOAS RESIDENTES, POR TIPO DE ALOJAMENTO COLECTIVO  ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Total,Principalmente com actividade económica,,,,Principalmente sem actividade económica ,,,,Pessoas residentes,,,,
          Estabelecimentos hoteleiros ou similares,50,7,7,0,0,43,24,10,9,1173,378,,,
          Convivências,1185,133,119,2,12,1052,522,365,165,31226,12471,,,
          Apoio social,811,19,19,0,0,792,364,300,128,23024,7715,,,
          Educação,36,7,7,0,0,29,18,10,1,538,214,,,
          Militar,2,1,1,0,0,1,1,0,0,7,1,,,
          Prisional,35,12,0,0,12,23,1,6,16,2797,2537,,,
          Religiosa,188,77,75,2,0,111,85,23,3,2122,623,,,
          Saúde,76,6,6,0,0,70,34,22,14,2232,1143,,,
          Trabalho,7,5,5,0,0,2,1,1,0,67,29,,,
          Outras,30,6,6,0,0,24,18,3,3,439,209,,,
      Centro,1477,142,134,7,1,1335,644,463,228,37659,12897,,,
          Estabelecimentos hoteleiros ou similares,65,13,13,0,0,52,30,12,10,1412,434,,,
          Convivências,1412,129,121,7,1,1283,614,451,218,36247,12463,,,
          Apoio social,1058,18,16,2,0,1040,436,414,190,30814,9980,,,
          Educação,37,8,8,0,0,29,22,6,1,438,201,,,
          Militar,3,3,3,0,0,0,0,0,0,21,19,,,
          Prisional,20,3,1,2,0,17,4,2,11,1149,1141,,,
          Religiosa,200,82,79,3,0,118,102,12,4,1861,315,,,
          Saúde,43,0,0,0,0,43,24,10,9,1228,487,,,
          Trabalho,10,6,5,0,1,4,2,2,0,182,106,,,
          Outras,41,9,9,0,0,32,24,5,3,554,214,,,
      Lisboa,1172,137,124,10,3,1035,565,322,148,28643,12108,,,
          Estabelecimentos hoteleiros ou similares,76,18,18,0,0,58,33,22,3,1223,468,,,
          Convivências,1096,119,106,10,3,977,532,300,145,27420,11640,,,
          Apoio social,747,25,20,4,1,722,396,236,90,18411,6315,,,
          Educação,36,11,11,0,0,25,14,9,2,659,455,,,
          Militar,12,11,8,1,2,1,0,1,0,286,260,,,
          Prisional,41,4,4,0,0,37,1,3,33,3238,3064,,,
          Religiosa,118,51,47,4,0,67,54,11,2,1348,371,,,
          Saúde,77,2,2,0,0,75,36,26,13,2254,742,,,
          Trabalho,9,3,3,0,0,6,3,1,2,210,73,,,
          Outras,56,12,11,1,0,44,28,13,3,1014,360,,,
      Alentejo,543,37,32,1,4,506,234,173,99,15823,6555,,,
          Estabelecimentos hoteleiros ou similares,31,2,2,0,0,29,17,8,4,695,280,,,
          Convivências,512,35,30,1,4,477,217,165,95,15128,6275,,,
          Apoio social,376,7,7,0,0,369,150,141,78,11719,3923,,,
          Educação,16,1,0,1,0,15,10,3,2,384,184,,,
          Militar,0,0,0,0,0,0,0,0,0,0,0,,,
          Prisional,26,4,0,0,4,22,4,5,13,1755,1702,,,
          Religiosa,55,17,17,0,0,38,35,3,0,472,124,,,
          Saúde,21,1,1,0,0,20,11,8,1,425,228,,,
          Trabalho,4,3,3,0,0,1,0,1,0,71,30,,,
          Outras,14,2,2,0,0,12,7,4,1,302,84,,,
      Algarve,152,19,18,0,1,133,54,49,30,4452,1789,,,
          Estabelecimentos hoteleiros ou similares,10,1,1,0,0,9,4,4,1,234,106,,,
          Convivências,142,18,17,0,1,124,50,45,29,4218,1683,,,
          Apoio social,98,3,3,0,0,95,31,39,25,3471,1253,,,
          Educação,3,2,2,0,0,1,1,0,0,17,4,,,
          Militar,5,5,5,0,0,0,0,0,0,15,15,,,
          Prisional,4,1,0,0,1,3,1,1,1,203,203,,,
          Religiosa,10,5,5,0,0,5,5,0,0,59,24,,,
          Saúde,10,0,0,0,0,10,6,2,2,233,79,,,
          Trabalho,1,1,1,0,0,0,0,0,0,3,3,,,
          Outras,11,1,1,0,0,10,6,3,1,217,102,,,
    Região Autónoma dos Açores,141,31,29,1,1,110,71,21,18,2879,1286,,,
        Estabelecimentos hoteleiros ou similares,11,1,1,0,0,10,8,2,0,111,40,,,
        Convivências,130,30,28,1,1,100,63,19,18,2768,1246,,,
        Apoio social,77,10,10,0,0,67,45,12,10,1516,556,,,
        Educação,4,1,1,0,0,3,2,1,0,48,11,,,
        Militar,5,4,2,1,1,1,1,0,0,138,110,,,
        Prisional,2,0,0,0,0,2,1,1,0,46,43,,,
        Religiosa,22,11,11,0,0,11,9,2,0,177,23,,,
        Saúde,10,0,0,0,0,10,2,3,5,598,300,,,
        Trabalho,3,2,2,0,0,1,1,0,0,15,15,,,
        Outras,7,2,2,0,0,5,2,0,3,230,188,,,
      Região Autónoma dos Açores,141,31,29,1,1,110,71,21,18,2879,1286,,,
          Estabelecimentos hoteleiros ou similares,11,1,1,0,0,10,8,2,0,111,40,,,
          Convivências,130,30,28,1,1,100,63,19,18,2768,1246,,,
          Apoio social,77,10,10,0,0,67,45,12,10,1516,556,,,
          Educação,4,1,1,0,0,3,2,1,0,48,11,,,
          Militar,5,4,2,1,1,1,1,0,0,138,110,,,
          Prisional,2,0,0,0,0,2,1,1,0,46,43,,,
          Religiosa,22,11,11,0,0,11,9,2,0,177,23,,,
          Saúde,10,0,0,0,0,10,2,3,5,598,300,,,
          Trabalho,3,2,2,0,0,1,1,0,0,15,15,,,
          Outras,7,2,2,0,0,5,2,0,3,230,188,,,
    Região Autónoma da Madeira,113,25,24,1,0,88,44,22,22,3111,1167,,,
        Estabelecimentos hoteleiros ou similares,2,0,0,0,0,2,2,0,0,23,3,,,
        Convivências,111,25,24,1,0,86,42,22,22,3088,1164,,,
        Apoio social,52,3,3,0,0,49,20,18,11,1682,375,,,
        Educação,9,6,6,0,0,3,1,0,2,233,98,,,
        Militar,0,0,0,0,0,0,0,0,0,0,0,,,
        Prisional,4,0,0,0,0,4,1,0,3,286,277,,,
        Religiosa,30,14,14,0,0,16,13,2,1,267,53,,,
        Saúde,11,0,0,0,0,11,4,2,5,569,316,,,
        Trabalho,2,1,0,1,0,1,1,0,0,29,25,,,
        Outras,3,1,1,0,0,2,2,0,0,22,20,,,
      Região Autónoma da Madeira,113,25,24,1,0,88,44,22,22,3111,1167,,,
          Estabelecimentos hoteleiros ou similares,2,0,0,0,0,2,2,0,0,23,3,,,
          Convivências,111,25,24,1,0,86,42,22,22,3088,1164,,,
          Apoio social,52,3,3,0,0,49,20,18,11,1682,375,,,
          Educação,9,6,6,0,0,3,1,0,2,233,98,,,
          Militar,0,0,0,0,0,0,0,0,0,0,0,,,
          Prisional,4,0,0,0,0,4,1,0,3,286,277,,,
          Religiosa,30,14,14,0,0,16,13,2,1,267,53,,,
          Saúde,11,0,0,0,0,11,4,2,5,569,316,,,
          Trabalho,2,1,0,1,0,1,1,0,0,29,25,,,
          Outras,3,1,1,0,0,2,2,0,0,22,20,,,
