"4.02 - FAMÍLIAS CLÁSSICAS, SEGUNDO A SUA DIMENSÃO E PESSOAS NAS FAMÍLIAS, POR TIPO DE FAMÍLIA",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Famílias clássicas segundo a dimensão (pessoas),,,,,,,,,,Total de pessoas,,,
Tipo de família com base no número de núcleos,Total,Com 1,Com 2,Com 3,Com 4,Com 5,Com 6,Com 7,Com 8,Com 9 ou mais,,,,
          Pai com filho(s) tendo o mais novo 25 ou mais anos com outras pessoas,1731,0,0,1324,319,58,24,3,3,0,5727,,,
        Mãe com pelo menos um filho com menos de 25 anos,216160,0,103659,81805,23320,5402,1434,358,123,59,585691,,,
          Mãe com pelo menos um filho com menos de 25 anos sem outras pessoas,184409,0,103659,63245,13851,2718,716,153,50,17,471977,,,
          Mãe com pelo menos um filho com menos de 25 anos com outras pessoas,31751,0,0,18560,9469,2684,718,205,73,42,113714,,,
        Mãe com filho(s) tendo o mais novo 25 ou mais anos,142759,0,111479,25782,4320,875,225,54,13,11,323902,,,
          Mãe com filho(s) tendo o mais novo 25 ou mais anos sem outras pessoas,130624,0,111479,16535,2123,384,79,16,6,2,283627,,,
          Mãe com filho(s) tendo o mais novo 25 ou mais anos com outras pessoas,12135,0,0,9247,2197,491,146,38,7,9,40275,,,
      Famílias com dois núcleos,114488,0,0,0,33662,41595,27388,7963,2533,1347,595908,,,
        Famílias sem filhos nos dois núcleos,13783,0,0,0,12142,1407,186,31,9,8,57089,,,
          Famílias sem filhos nos dois núcleos sem outras pessoas,12142,0,0,0,12142,0,0,0,0,0,48568,,,
          Famílias sem filhos nos dois núcleos com outras pessoas,1641,0,0,0,0,1407,186,31,9,8,8521,,,
        Famílias com filhos só num dos núcleos,62772,0,0,0,16765,27689,15020,2602,514,182,319678,,,
          Famílias com filhos só num dos núcleos sem outras pessoas,56897,0,0,0,16765,26072,12287,1486,221,66,283927,,,
          Famílias com filhos só num dos núcleos com outras pessoas,5875,0,0,0,0,1617,2733,1116,293,116,35751,,,
        Famílias com filhos nos dois núcleos,37933,0,0,0,4755,12499,12182,5330,2010,1157,219141,,,
          Famílias com filhos nos dois núcleos sem outras pessoas,33029,0,0,0,4755,11808,10638,3942,1268,618,185541,,,
          Famílias com filhos nos dois núcleos com outras pessoas,4904,0,0,0,0,691,1544,1388,742,539,33600,,,
      Famílias com três ou mais núcleos,4183,0,0,0,0,0,745,1026,955,1457,34336,,,
        Famílias com três ou mais núcleos sem outras pessoas,3540,0,0,0,0,0,745,943,822,1030,28128,,,
        Famílias com três ou mais núcleos com outras pessoas,643,0,0,0,0,0,0,83,133,427,6208,,,
    Continente,3869188,834680,1232982,923812,637236,168748,51222,13291,4421,2796,9927982,,,
        Famílias sem núcleos,904095,834680,58403,8275,1904,529,184,41,30,49,988730,,,
          Famílias sem núcleos com uma só pessoa,834680,834680,0,0,0,0,0,0,0,0,834680,,,
          Famílias sem núcleos só pessoas aparentadas,48718,0,41616,5566,1143,280,70,20,10,13,106674,,,
          Famílias sem núcleos só pessoas aparentadas e/ou não aparentadas,20697,0,16787,2709,761,249,114,21,20,36,47376,,,
        Famílias com um núcleo,2855945,0,1174579,915537,603617,129386,25230,5428,1488,680,8365011,,,
          Casal de direito sem filhos,864598,0,804363,54859,4527,686,124,25,7,7,1795894,,,
            Casal de direito sem filhos sem outras pessoas,804363,0,804363,0,0,0,0,0,0,0,1608726,,,
            Casal de direito sem filhos com outras pessoas,60235,0,0,54859,4527,686,124,25,7,7,187168,,,
          Casal de direito com pelo menos um filho com menos de 25 anos,1024200,0,0,442044,462776,97514,17126,3380,938,422,3802787,,,
            Casal de direito com pelo menos um filho com menos de 25 anos sem outras pessoas,954371,0,0,442044,432499,67296,9900,1898,508,226,3471532,,,
            Casal de direito com pelo menos um filho com menos de 25 anos com outras pessoas,69829,0,0,0,30277,30218,7226,1482,430,196,331255,,,
          Casal de direito com filho(s) tendo o mais novo 25 ou mais anos,248842,0,0,192465,48451,6752,970,157,35,12,812273,,,
            Casal de direito com filho(s) tendo o mais novo 25 ou mais anos sem outras pessoas,228352,0,0,192465,32794,2697,338,48,6,4,724506,,,
            Casal de direito com filho(s) tendo o mais novo 25 ou mais anos com outras pessoas,20490,0,0,0,15657,4055,632,109,29,8,87767,,,
          Casal de facto sem filhos,139212,0,129253,8933,819,142,50,12,3,0,289699,,,
            Casal de facto sem filhos sem outras pessoas,129253,0,129253,0,0,0,0,0,0,0,258506,,,
            Casal de facto sem filhos com outras pessoas,9959,0,0,8933,819,142,50,12,3,0,31193,,,
          Casal de facto com pelo menos um filho com menos de 25 anos,176401,0,0,94521,56808,17770,5310,1445,377,170,646255,,,
            Casal de facto com pelo menos um filho com menos de 25 anos sem outras pessoas,163380,0,0,94521,50138,13662,3743,961,253,102,584598,,,
            Casal de facto com pelo menos um filho com menos de 25 anos com outras pessoas,13021,0,0,0,6670,4108,1567,484,124,68,61657,,,
          Casal de facto com filho(s) tendo o mais novo 25 ou mais anos,8624,0,0,6726,1581,256,44,11,5,1,28172,,,
            Casal de facto com filho(s) tendo o mais novo 25 ou mais anos sem outras pessoas,7763,0,0,6726,935,87,13,1,1,0,24446,,,
            Casal de facto com filho(s) tendo o mais novo 25 ou mais anos com outras pessoas,861,0,0,0,646,169,31,10,4,1,3726,,,
          Pai com pelo menos um filho com menos de 25 anos,29044,0,16117,10057,2277,449,104,22,9,9,74711,,,
            Pai com pelo menos um filho com menos de 25 anos sem outras pessoas,24820,0,16117,7187,1249,213,39,11,2,2,60201,,,
            Pai com pelo menos um filho com menos de 25 anos com outras pessoas,4224,0,0,2870,1028,236,65,11,7,7,14510,,,
          Pai com filho(s) tendo o mais novo 25 ou mais anos,23771,0,19169,3875,583,97,35,9,3,0,53077,,,
            Pai com filho(s) tendo o mais novo 25 ou mais anos sem outras pessoas,22137,0,19169,2612,292,44,14,6,0,0,47688,,,
            Pai com filho(s) tendo o mais novo 25 ou mais anos com outras pessoas,1634,0,0,1263,291,53,21,3,3,0,5389,,,
          Mãe com pelo menos um filho com menos de 25 anos,206413,0,99710,78086,21911,4954,1281,322,100,49,557309,,,
            Mãe com pelo menos um filho com menos de 25 anos sem outras pessoas,176430,0,99710,60467,12972,2455,631,139,41,15,450216,,,
            Mãe com pelo menos um filho com menos de 25 anos com outras pessoas,29983,0,0,17619,8939,2499,650,183,59,34,107093,,,
          Mãe com filho(s) tendo o mais novo 25 ou mais anos,134840,0,105967,23971,3884,766,186,45,11,10,304834,,,
            Mãe com filho(s) tendo o mais novo 25 ou mais anos sem outras pessoas,123445,0,105967,15221,1861,317,59,15,4,1,267126,,,
            Mãe com filho(s) tendo o mais novo 25 ou mais anos com outras pessoas,11395,0,0,8750,2023,449,127,30,7,9,37708,,,
        Famílias com dois núcleos,105667,0,0,0,31715,38833,25123,6908,2088,1000,546406,,,
          Famílias sem filhos nos dois núcleos,12931,0,0,0,11408,1304,176,29,6,8,53540,,,
            Famílias sem filhos nos dois núcleos sem outras pessoas,11408,0,0,0,11408,0,0,0,0,0,45632,,,
            Famílias sem filhos nos dois núcleos com outras pessoas,1523,0,0,0,0,1304,176,29,6,8,7908,,,
          Famílias com filhos só num dos núcleos,58878,0,0,0,15922,26020,14036,2313,434,153,299119,,,
            Famílias com filhos só num dos núcleos sem outras pessoas,53512,0,0,0,15922,24518,11522,1306,188,56,266581,,,
            Famílias com filhos só num dos núcleos com outras pessoas,5366,0,0,0,0,1502,2514,1007,246,97,32538,,,
          Famílias com filhos nos dois núcleos,33858,0,0,0,4385,11509,10911,4566,1648,839,193747,,,
            Famílias com filhos nos dois núcleos sem outras pessoas,29574,0,0,0,4385,10881,9508,3358,1019,423,164680,,,
            Famílias com filhos nos dois núcleos com outras pessoas,4284,0,0,0,0,628,1403,1208,629,416,29067,,,
        Famílias com três ou mais núcleos,3481,0,0,0,0,0,685,914,815,1067,27835,,,
          Famílias com três ou mais núcleos sem outras pessoas,2956,0,0,0,0,0,685,841,691,739,22905,,,
          Famílias com três ou mais núcleos com outras pessoas,525,0,0,0,0,0,0,73,124,328,4930,,,
      Norte,1330892,228923,390608,349821,256375,72880,23355,5935,1898,1097,3657065,,,
          Famílias sem núcleos,251478,228923,18985,2766,573,169,41,4,9,8,278767,,,
            Famílias sem núcleos com uma só pessoa,228923,228923,0,0,0,0,0,0,0,0,228923,,,
            Famílias sem núcleos só pessoas aparentadas,17174,0,14491,2130,422,105,19,2,3,2,37755,,,
            Famílias sem núcleos só pessoas aparentadas e/ou não aparentadas,5381,0,4494,636,151,64,22,2,6,6,12089,,,
          Famílias com um núcleo,1027419,0,371623,347055,242823,53653,9716,1859,494,196,3101094,,,
            Casal de direito sem filhos,284002,0,262063,19881,1718,278,52,7,2,1,592418,,,
              Casal de direito sem filhos sem outras pessoas,262063,0,262063,0,0,0,0,0,0,0,524126,,,
              Casal de direito sem filhos com outras pessoas,21939,0,0,19881,1718,278,52,7,2,1,68292,,,
            Casal de direito com pelo menos um filho com menos de 25 anos,434479,0,0,185892,195678,43602,7456,1361,349,141,1616790,,,
              Casal de direito com pelo menos um filho com menos de 25 anos sem outras pessoas,400076,0,0,185892,180992,28365,3916,670,172,69,1453689,,,
              Casal de direito com pelo menos um filho com menos de 25 anos com outras pessoas,34403,0,0,0,14686,15237,3540,691,177,72,163101,,,
            Casal de direito com filho(s) tendo o mais novo 25 ou mais anos,99163,0,0,73947,21162,3397,525,100,25,7,327591,,,
              Casal de direito com filho(s) tendo o mais novo 25 ou mais anos sem outras pessoas,90556,0,0,73947,14830,1511,226,34,5,3,290379,,,
              Casal de direito com filho(s) tendo o mais novo 25 ou mais anos com outras pessoas,8607,0,0,0,6332,1886,299,66,20,4,37212,,,
            Casal de facto sem filhos,33502,0,30900,2354,197,38,12,1,0,0,69919,,,
              Casal de facto sem filhos sem outras pessoas,30900,0,30900,0,0,0,0,0,0,0,61800,,,
              Casal de facto sem filhos com outras pessoas,2602,0,0,2354,197,38,12,1,0,0,8119,,,
            Casal de facto com pelo menos um filho com menos de 25 anos,42117,0,0,22955,13446,4172,1162,272,80,30,153312,,,
              Casal de facto com pelo menos um filho com menos de 25 anos sem outras pessoas,38809,0,0,22955,11659,3158,789,174,56,18,137865,,,
              Casal de facto com pelo menos um filho com menos de 25 anos com outras pessoas,3308,0,0,0,1787,1014,373,98,24,12,15447,,,
            Casal de facto com filho(s) tendo o mais novo 25 ou mais anos,2282,0,0,1736,467,64,8,5,2,0,7495,,,
              Casal de facto com filho(s) tendo o mais novo 25 ou mais anos sem outras pessoas,2045,0,0,1736,288,18,2,0,1,0,6470,,,
              Casal de facto com filho(s) tendo o mais novo 25 ou mais anos com outras pessoas,237,0,0,0,179,46,6,5,1,0,1025,,,
            Pai com pelo menos um filho com menos de 25 anos,7914,0,4247,2816,692,128,25,6,0,0,20542,,,
              Pai com pelo menos um filho com menos de 25 anos sem outras pessoas,6784,0,4247,2067,379,74,14,3,0,0,16686,,,
              Pai com pelo menos um filho com menos de 25 anos com outras pessoas,1130,0,0,749,313,54,11,3,0,0,3856,,,
            Pai com filho(s) tendo o mais novo 25 ou mais anos,8525,0,6584,1559,305,50,20,6,1,0,19485,,,
              Pai com filho(s) tendo o mais novo 25 ou mais anos sem outras pessoas,7949,0,6584,1144,182,26,9,4,0,0,17540,,,
              Pai com filho(s) tendo o mais novo 25 ou mais anos com outras pessoas,576,0,0,415,123,24,11,2,1,0,1945,,,
            Mãe com pelo menos um filho com menos de 25 anos,66856,0,31410,26104,7319,1548,357,77,30,11,181173,,,
              Mãe com pelo menos um filho com menos de 25 anos sem outras pessoas,56891,0,31410,20190,4327,737,175,32,13,7,145827,,,
              Mãe com pelo menos um filho com menos de 25 anos com outras pessoas,9965,0,0,5914,2992,811,182,45,17,4,35346,,,
            Mãe com filho(s) tendo o mais novo 25 ou mais anos,48579,0,36419,9811,1839,376,99,24,5,6,112369,,,
              Mãe com filho(s) tendo o mais novo 25 ou mais anos sem outras pessoas,44381,0,36419,6674,1042,193,37,12,3,1,98332,,,
              Mãe com filho(s) tendo o mais novo 25 ou mais anos com outras pessoas,4198,0,0,3137,797,183,62,12,2,5,14037,,,
          Famílias com dois núcleos,50367,0,0,0,12979,19058,13318,3626,986,400,264177,,,
            Famílias sem filhos nos dois núcleos,5979,0,0,0,5315,573,72,14,3,2,24697,,,
              Famílias sem filhos nos dois núcleos sem outras pessoas,5315,0,0,0,5315,0,0,0,0,0,21260,,,
              Famílias sem filhos nos dois núcleos com outras pessoas,664,0,0,0,0,573,72,14,3,2,3437,,,
            Famílias com filhos só num dos núcleos,28826,0,0,0,6074,13471,7826,1218,181,56,149113,,,
              Famílias com filhos só num dos núcleos sem outras pessoas,26287,0,0,0,6074,12858,6570,695,76,14,133614,,,
              Famílias com filhos só num dos núcleos com outras pessoas,2539,0,0,0,0,613,1256,523,105,42,15499,,,
            Famílias com filhos nos dois núcleos,15562,0,0,0,1590,5014,5420,2394,802,342,90367,,,
              Famílias com filhos nos dois núcleos sem outras pessoas,13813,0,0,0,1590,4811,4919,1815,493,185,78342,,,
              Famílias com filhos nos dois núcleos com outras pessoas,1749,0,0,0,0,203,501,579,309,157,12025,,,
          Famílias com três ou mais núcleos,1628,0,0,0,0,0,280,446,409,493,13027,,,
            Famílias com três ou mais núcleos sem outras pessoas,1419,0,0,0,0,0,280,425,357,357,11055,,,
            Famílias com três ou mais núcleos com outras pessoas,209,0,0,0,0,0,0,21,52,136,1972,,,
      Centro,904770,195368,301017,209076,149577,36393,9912,2379,689,359,2290030,,,
          Famílias sem núcleos,207973,195368,10898,1341,276,64,20,2,1,3,222783,,,
            Famílias sem núcleos com uma só pessoa,195368,195368,0,0,0,0,0,0,0,0,195368,,,
            Famílias sem núcleos só pessoas aparentadas,9157,0,8015,927,174,34,6,1,0,0,19720,,,
            Famílias sem núcleos só pessoas aparentadas e/ou não aparentadas,3448,0,2883,414,102,30,14,1,1,3,7695,,,
          Famílias com um núcleo,674009,0,290119,207735,142279,27913,4688,970,215,90,1949615,,,
            Casal de direito sem filhos,229890,0,214399,14248,1077,133,23,7,1,2,476729,,,
              Casal de direito sem filhos sem outras pessoas,214399,0,214399,0,0,0,0,0,0,0,428798,,,
              Casal de direito sem filhos com outras pessoas,15491,0,0,14248,1077,133,23,7,1,2,47931,,,
            Casal de direito com pelo menos um filho com menos de 25 anos,241012,0,0,101853,112924,21948,3445,629,151,62,893860,,,
              Casal de direito com pelo menos um filho com menos de 25 anos sem outras pessoas,225043,0,0,101853,105826,15014,1871,354,88,37,818692,,,
              Casal de direito com pelo menos um filho com menos de 25 anos com outras pessoas,15969,0,0,0,7098,6934,1574,275,63,25,75168,,,
            Casal de direito com filho(s) tendo o mais novo 25 ou mais anos,61425,0,0,47356,12240,1621,180,21,5,2,200419,,,
              Casal de direito com filho(s) tendo o mais novo 25 ou mais anos sem outras pessoas,56188,0,0,47356,8153,617,53,7,1,1,178149,,,
              Casal de direito com filho(s) tendo o mais novo 25 ou mais anos com outras pessoas,5237,0,0,0,4087,1004,127,14,4,1,22270,,,
            Casal de facto sem filhos,27853,0,25863,1822,136,23,5,4,0,0,57909,,,
              Casal de facto sem filhos sem outras pessoas,25863,0,25863,0,0,0,0,0,0,0,51726,,,
              Casal de facto sem filhos com outras pessoas,1990,0,0,1822,136,23,5,4,0,0,6183,,,
            Casal de facto com pelo menos um filho com menos de 25 anos,32738,0,0,17973,10444,3178,818,259,47,19,118868,,,
              Casal de facto com pelo menos um filho com menos de 25 anos sem outras pessoas,30384,0,0,17973,9145,2443,599,178,35,11,107934,,,
              Casal de facto com pelo menos um filho com menos de 25 anos com outras pessoas,2354,0,0,0,1299,735,219,81,12,8,10934,,,
            Casal de facto com filho(s) tendo o mais novo 25 ou mais anos,1599,0,0,1259,298,39,3,0,0,0,5182,,,
              Casal de facto com filho(s) tendo o mais novo 25 ou mais anos sem outras pessoas,1445,0,0,1259,177,9,0,0,0,0,4530,,,
              Casal de facto com filho(s) tendo o mais novo 25 ou mais anos com outras pessoas,154,0,0,0,121,30,3,0,0,0,652,,,
            Pai com pelo menos um filho com menos de 25 anos,5488,0,3107,1897,406,64,13,1,0,0,13934,,,
              Pai com pelo menos um filho com menos de 25 anos sem outras pessoas,4754,0,3107,1376,228,37,6,0,0,0,11475,,,
              Pai com pelo menos um filho com menos de 25 anos com outras pessoas,734,0,0,521,178,27,7,1,0,0,2459,,,
            Pai com filho(s) tendo o mais novo 25 ou mais anos,5374,0,4463,798,91,14,6,2,0,0,11804,,,
              Pai com filho(s) tendo o mais novo 25 ou mais anos sem outras pessoas,5073,0,4463,546,51,8,3,2,0,0,10840,,,
              Pai com filho(s) tendo o mais novo 25 ou mais anos com outras pessoas,301,0,0,252,40,6,3,0,0,0,964,,,
            Mãe com pelo menos um filho com menos de 25 anos,39446,0,18999,15516,3936,767,171,42,10,5,105570,,,
              Mãe com pelo menos um filho com menos de 25 anos sem outras pessoas,34149,0,18999,12395,2266,358,101,23,5,2,86862,,,
              Mãe com pelo menos um filho com menos de 25 anos com outras pessoas,5297,0,0,3121,1670,409,70,19,5,3,18708,,,
            Mãe com filho(s) tendo o mais novo 25 ou mais anos,29184,0,23288,5013,727,126,24,5,1,0,65340,,,
              Mãe com filho(s) tendo o mais novo 25 ou mais anos sem outras pessoas,26917,0,23288,3240,330,51,6,1,1,0,57922,,,
              Mãe com filho(s) tendo o mais novo 25 ou mais anos com outras pessoas,2267,0,0,1773,397,75,18,4,0,0,7418,,,
          Famílias com dois núcleos,22200,0,0,0,7022,8416,5067,1232,345,118,113066,,,
            Famílias sem filhos nos dois núcleos,3285,0,0,0,2883,354,39,8,0,1,13603,,,
              Famílias sem filhos nos dois núcleos sem outras pessoas,2883,0,0,0,2883,0,0,0,0,0,11532,,,
              Famílias sem filhos nos dois núcleos com outras pessoas,402,0,0,0,0,354,39,8,0,1,2071,,,
            Famílias com filhos só num dos núcleos,13107,0,0,0,3442,5965,3063,502,107,28,66602,,,
              Famílias com filhos só num dos núcleos sem outras pessoas,11885,0,0,0,3442,5647,2456,280,44,16,59200,,,
              Famílias com filhos só num dos núcleos com outras pessoas,1222,0,0,0,0,318,607,222,63,12,7402,,,
            Famílias com filhos nos dois núcleos,5808,0,0,0,697,2097,1965,722,238,89,32861,,,
              Famílias com filhos nos dois núcleos sem outras pessoas,5138,0,0,0,697,2004,1718,519,151,49,28415,,,
              Famílias com filhos nos dois núcleos com outras pessoas,670,0,0,0,0,93,247,203,87,40,4446,,,
          Famílias com três ou mais núcleos,588,0,0,0,0,0,137,175,128,148,4566,,,
            Famílias com três ou mais núcleos sem outras pessoas,502,0,0,0,0,0,137,161,108,96,3758,,,
            Famílias com três ou mais núcleos com outras pessoas,86,0,0,0,0,0,0,14,20,52,808,,,
      Lisboa,1147775,293220,376955,255823,160522,42043,12967,3754,1414,1077,2792992,,,
          Famílias sem núcleos,319912,293220,22034,3344,874,254,107,29,15,35,353426,,,
            Famílias sem núcleos com uma só pessoa,293220,293220,0,0,0,0,0,0,0,0,293220,,,
            Famílias sem núcleos só pessoas aparentadas,17138,0,14479,1987,470,129,42,14,6,11,37956,,,
            Famílias sem núcleos só pessoas aparentadas e/ou não aparentadas,9554,0,7555,1357,404,125,65,15,9,24,22250,,,
          Famílias com um núcleo,804531,0,354921,252479,151712,34297,8135,2058,619,310,2316840,,,
            Casal de direito sem filhos,234193,0,218947,13791,1210,196,34,9,4,2,485416,,,
              Casal de direito sem filhos sem outras pessoas,218947,0,218947,0,0,0,0,0,0,0,437894,,,
              Casal de direito sem filhos com outras pessoas,15246,0,0,13791,1210,196,34,9,4,2,47522,,,
            Casal de direito com pelo menos um filho com menos de 25 anos,242190,0,0,107223,105992,22709,4628,1106,352,180,899283,,,
              Casal de direito com pelo menos um filho com menos de 25 anos sem outras pessoas,228869,0,0,107223,100308,17272,3081,688,200,97,835110,,,
              Casal de direito com pelo menos um filho com menos de 25 anos com outras pessoas,13321,0,0,0,5684,5437,1547,418,152,83,64173,,,
            Casal de direito com filho(s) tendo o mais novo 25 ou mais anos,59214,0,0,48172,9721,1106,181,28,3,3,190265,,,
              Casal de direito com filho(s) tendo o mais novo 25 ou mais anos sem outras pessoas,54982,0,0,48172,6393,370,43,4,0,0,172224,,,
              Casal de direito com filho(s) tendo o mais novo 25 ou mais anos com outras pessoas,4232,0,0,0,3328,736,138,24,3,3,18041,,,
            Casal de facto sem filhos,57395,0,53492,3433,366,67,27,7,3,0,119317,,,
              Casal de facto sem filhos sem outras pessoas,53492,0,53492,0,0,0,0,0,0,0,106984,,,
              Casal de facto sem filhos com outras pessoas,3903,0,0,3433,366,67,27,7,3,0,12333,,,
            Casal de facto com pelo menos um filho com menos de 25 anos,72502,0,0,38067,23482,7490,2490,702,186,85,267733,,,
              Casal de facto com pelo menos um filho com menos de 25 anos sem outras pessoas,67080,0,0,38067,20935,5743,1725,453,111,46,241506,,,
              Casal de facto com pelo menos um filho com menos de 25 anos com outras pessoas,5422,0,0,0,2547,1747,765,249,75,39,26227,,,
            Casal de facto com filho(s) tendo o mais novo 25 ou mais anos,3247,0,0,2570,539,104,25,6,2,1,10603,,,
              Casal de facto com filho(s) tendo o mais novo 25 ou mais anos sem outras pessoas,2927,0,0,2570,306,41,9,1,0,0,9200,,,
              Casal de facto com filho(s) tendo o mais novo 25 ou mais anos com outras pessoas,320,0,0,0,233,63,16,5,2,1,1403,,,
            Pai com pelo menos um filho com menos de 25 anos,11798,0,6540,4050,917,210,55,12,8,6,30500,,,
              Pai com pelo menos um filho com menos de 25 anos sem outras pessoas,9995,0,6540,2845,503,81,17,6,2,1,24201,,,
              Pai com pelo menos um filho com menos de 25 anos com outras pessoas,1803,0,0,1205,414,129,38,6,6,5,6299,,,
            Pai com filho(s) tendo o mais novo 25 ou mais anos,6816,0,5542,1089,151,26,6,0,2,0,15137,,,
              Pai com filho(s) tendo o mais novo 25 ou mais anos sem outras pessoas,6233,0,5542,634,49,7,1,0,0,0,13223,,,
              Pai com filho(s) tendo o mais novo 25 ou mais anos com outras pessoas,583,0,0,455,102,19,5,0,2,0,1914,,,
            Mãe com pelo menos um filho com menos de 25 anos,76373,0,37265,27591,8416,2199,643,174,54,31,207779,,,
              Mãe com pelo menos um filho com menos de 25 anos sem outras pessoas,64799,0,37265,20991,5010,1134,303,69,21,6,165743,,,
              Mãe com pelo menos um filho com menos de 25 anos com outras pessoas,11574,0,0,6600,3406,1065,340,105,33,25,42036,,,
            Mãe com filho(s) tendo o mais novo 25 ou mais anos,40803,0,33135,6493,918,190,46,14,5,2,90807,,,
              Mãe com filho(s) tendo o mais novo 25 ou mais anos sem outras pessoas,37186,0,33135,3680,313,48,9,1,0,0,78863,,,
              Mãe com filho(s) tendo o mais novo 25 ou mais anos com outras pessoas,3617,0,0,2813,605,142,37,13,5,2,11944,,,
          Famílias com dois núcleos,22375,0,0,0,7936,7492,4517,1463,568,399,114971,,,
            Famílias sem filhos nos dois núcleos,2264,0,0,0,1980,228,44,6,3,3,9422,,,
              Famílias sem filhos nos dois núcleos sem outras pessoas,1980,0,0,0,1980,0,0,0,0,0,7920,,,
              Famílias sem filhos nos dois núcleos com outras pessoas,284,0,0,0,0,228,44,6,3,3,1502,,,
            Famílias com filhos só num dos núcleos,10914,0,0,0,4346,4081,1947,381,107,52,53496,,,
              Famílias com filhos só num dos núcleos sem outras pessoas,9876,0,0,0,4346,3703,1546,214,49,18,47232,,,
              Famílias com filhos só num dos núcleos com outras pessoas,1038,0,0,0,0,378,401,167,58,34,6264,,,
            Famílias com filhos nos dois núcleos,9197,0,0,0,1610,3183,2526,1076,458,344,52053,,,
              Famílias com filhos nos dois núcleos sem outras pessoas,7738,0,0,0,1610,2925,2023,748,278,154,42135,,,
              Famílias com filhos nos dois núcleos com outras pessoas,1459,0,0,0,0,258,503,328,180,190,9918,,,
